SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABBY KELLEY FOSTER R           - Abby Kelley Foster Reg CS           ,04450105,0,0,95,92,90,90,89,91,89,87,0,0,0,0,0,0,0,723
ABINGTON                       - Abington ECC                        ,00010003,0,39,178,199,187,0,0,0,0,0,0,0,0,0,0,0,0,603
ABINGTON                       - Abington High                       ,00010505,0,0,0,0,0,0,0,0,0,0,0,141,133,146,143,0,0,563
ABINGTON                       - Center                              ,00010005,0,0,0,0,0,54,50,53,43,0,0,0,0,0,0,0,0,200
ABINGTON                       - Frolio Jr Hs                        ,00010405,0,0,0,0,0,0,0,0,0,174,202,0,0,0,0,0,0,376
ABINGTON                       - North                               ,00010010,0,0,0,0,0,50,42,48,47,0,0,0,0,0,0,0,0,187
ABINGTON                       - Woodsdale                           ,00010015,0,0,0,0,0,101,96,104,93,0,0,0,0,0,0,0,0,394
ACADEMY OF PACIFIC R           - ACADEMY OF PACIFIC RIM CS,04120530,0,0,0,0,0,0,0,0,82,59,48,38,15,0,0,0,0,242
ACTON                          - Douglas                             ,00020020,0,0,66,69,76,73,78,78,75,0,0,0,0,0,0,0,0,515
ACTON                          - Gates                               ,00020025,0,0,67,66,72,71,78,78,72,0,0,0,0,0,0,0,0,504
ACTON                          - Luther Conant                       ,00020030,0,0,65,68,71,73,76,78,77,0,0,0,0,0,0,0,0,508
ACTON                          - McCarthy-Towne                      ,00020015,0,0,64,80,72,66,78,77,73,0,0,0,0,0,0,0,0,510
ACTON                          - Merriam                             ,00020010,0,0,63,64,69,50,52,53,48,0,0,0,0,0,0,0,0,399
ACTON-BOXBOROUGH               - Acton-Boxborough Reg High           ,06000505,0,0,0,0,0,0,0,0,0,0,0,413,361,340,361,0,0,"1,490"
ACTON-BOXBOROUGH               - Raymond J Grey Reg JH               ,06000405,0,0,0,0,0,0,0,0,0,415,428,0,0,0,0,0,0,843
ACUSHNET                       - Acushnet Elementary Sch             ,00030025,0,28,78,101,113,109,127,131,0,0,0,0,0,0,0,0,0,687
ACUSHNET                       - Albert F Ford Middle Sch            ,00030305,0,0,0,0,0,0,0,0,125,141,142,0,0,0,0,0,0,408
ADAMS-CHESHIRE                 - Adams Middle                        ,06030305,0,0,0,0,0,0,0,0,126,137,156,0,0,0,0,0,0,419
ADAMS-CHESHIRE                 - Cheshire Elementary                 ,06030004,0,52,45,33,43,40,47,40,54,0,0,0,0,0,0,0,0,354
