DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Northern Berkshire Voc,08510000,0,0,0,0,0,0,0,0,0,0,0,119,121,96,91,0,0,427
Norton,02180000,0,92,274,306,287,268,279,260,262,240,242,188,164,151,141,0,0,"3,154"
Norwell,02190000,0,40,148,162,139,156,182,166,170,168,145,133,132,128,129,0,0,"1,998"
Norwood,02200000,0,2,267,266,266,273,311,286,296,267,299,275,259,258,230,0,0,"3,555"
Oak Bluffs,02210000,0,8,42,47,48,59,44,60,49,50,58,0,0,0,0,0,0,465
Old Colony Reg Voc Tech,08550000,0,0,0,0,0,0,0,0,0,0,0,151,144,132,130,0,0,557
Old Rochester,07400000,0,0,0,0,0,0,0,0,0,229,220,168,181,175,165,0,0,"1,138"
Orange,02230000,0,85,97,102,117,102,94,101,138,0,0,0,0,0,0,0,0,836
Orleans,02240000,0,0,40,33,40,39,35,49,0,0,0,0,0,0,0,0,0,236
Oxford,02260000,0,49,164,168,165,180,180,168,186,169,182,152,158,155,110,0,0,"2,186"
Palmer,02270000,0,52,152,168,177,159,205,188,161,175,167,146,165,131,136,0,0,"2,182"
Pathfinder Voc Tech,08600000,0,0,0,0,0,0,0,0,0,0,0,273,210,11,9,38,6,547
Peabody,02290000,0,167,505,557,494,539,517,534,525,554,537,466,459,452,409,0,0,"6,715"
Pelham,02300000,0,2,14,16,18,14,17,22,24,0,0,0,0,0,0,0,0,127
Pembroke,02310000,0,0,242,256,235,286,259,262,276,0,0,0,0,0,0,0,0,"1,816"
Pentucket,07450000,0,14,254,265,281,260,261,290,303,278,282,229,255,218,213,0,0,"3,403"
Petersham,02340000,0,2,17,16,16,18,10,23,12,0,0,0,0,0,0,0,0,114
Pioneer Valley,07500000,0,68,57,63,68,65,74,85,107,79,93,98,67,62,50,0,3,"1,039"
Pioneer Valley Performing Arts Charter,04790000,0,0,0,0,0,0,0,0,0,1,7,82,66,65,80,0,0,301
Pittsfield,02360000,0,193,502,490,500,490,497,525,551,521,514,626,493,430,395,6,0,"6,726"
Plainville,02380000,0,60,106,108,111,117,100,102,100,0,0,0,0,0,0,0,0,804
