DISTRICT,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District),04450000,0,111,113,122,111,127,113,126,115,116,95,97,105,75,0,"1,426"
Abington,00010000,54,143,167,156,172,156,153,181,168,163,136,106,144,126,1,"2,026"
Academy Of the Pacific Rim Charter Public (District),04120000,0,0,0,0,0,0,75,74,82,82,64,44,35,44,0,500
Acton,00020000,65,301,341,361,354,353,374,365,0,0,0,0,0,0,0,"2,514"
Acton-Boxborough,06000000,0,0,0,0,0,0,0,0,467,488,471,528,494,462,0,"2,910"
Acushnet,00030000,23,98,108,71,111,109,113,108,129,135,0,0,0,0,0,"1,005"
Adams-Cheshire,06030000,54,113,105,120,107,101,122,112,103,114,103,95,94,112,1,"1,456"
Advanced Math and Science Academy Charter (District),04300000,0,0,0,0,0,0,0,131,187,256,149,103,75,62,0,963
Agawam,00050000,118,259,299,262,298,284,311,314,365,343,377,342,335,297,0,"4,204"
Alma del Mar Charter School (District),04090000,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,120
Amesbury,00070000,78,175,170,182,172,187,178,168,195,201,143,156,156,150,4,"2,315"
Amesbury Academy Charter Public (District),04150000,0,0,0,0,0,0,0,0,0,0,9,7,16,17,0,49
Amherst,00080000,62,138,140,174,179,168,183,170,0,0,0,0,0,0,0,"1,214"
Amherst-Pelham,06050000,0,0,0,0,0,0,0,0,240,222,273,252,284,274,0,"1,545"
Andover,00090000,70,391,467,453,512,507,507,471,523,514,448,450,462,424,0,"6,199"
Arlington,00100000,48,450,455,427,429,390,415,349,331,346,300,297,331,290,0,"4,858"
Ashburnham-Westminster,06100000,57,146,162,151,178,157,165,188,195,199,177,145,162,189,6,"2,277"
Ashland,00140000,109,187,186,201,211,213,189,173,191,206,171,186,176,184,0,"2,583"
Assabet Valley Regional Vocational Technical,08010000,0,0,0,0,0,0,0,0,0,0,273,258,252,230,0,"1,013"
Athol-Royalston,06150000,49,113,113,123,116,131,103,121,107,142,126,69,94,112,6,"1,525"
Atlantis Charter (District),04910000,0,90,69,69,69,72,94,97,85,86,0,0,0,0,0,731
Attleboro,00160000,162,437,432,470,439,433,441,438,455,470,458,449,447,402,0,"5,933"
Auburn,00170000,45,159,172,181,172,173,184,194,183,168,163,177,183,200,3,"2,357"
Avon,00180000,22,41,55,55,54,54,62,62,66,65,61,46,65,48,0,756
Ayer Shirley School District,06160000,79,146,168,135,133,134,155,149,121,128,69,80,72,86,0,"1,655"
Barnstable,00200000,102,313,310,316,316,0,0,388,389,421,409,354,407,405,14,"4,144"
Barnstable Community Horace Mann Charter Public (District),04270000,0,78,88,59,92,0,0,0,0,0,0,0,0,0,0,317
Barnstable Horace Mann Charter (District),04230000,0,0,0,0,0,407,399,0,0,0,0,0,0,0,0,806
Bedford,00230000,20,157,166,190,147,174,180,199,189,186,236,197,215,187,0,"2,443"
Belchertown,00240000,19,163,198,182,189,195,214,203,191,204,194,198,195,170,3,"2,518"
Bellingham,00250000,91,182,169,182,203,202,180,168,182,204,188,167,162,190,0,"2,470"
Belmont,00260000,66,344,301,330,310,316,297,312,300,302,280,273,256,274,0,"3,961"
Benjamin Banneker Charter Public (District),04200000,0,69,36,46,54,57,55,36,0,0,0,0,0,0,0,353
Benjamin Franklin Classical Charter Public (District),04470000,0,50,50,50,50,50,51,48,51,50,0,0,0,0,0,450
Berkley,00270000,62,74,88,90,93,87,85,89,106,102,0,0,0,0,0,876
Berkshire Arts and Technology Charter Public (District),04140000,0,0,0,0,0,0,0,48,57,65,42,28,28,8,0,276
Berkshire Hills,06180000,13,79,89,94,83,69,77,95,114,106,117,125,129,144,5,"1,339"
Berlin,00280000,11,36,20,31,31,27,23,34,0,0,0,0,0,0,0,213
Berlin-Boylston,06200000,0,0,0,0,0,0,0,0,86,84,58,60,58,72,0,418
Beverly,00300000,112,297,347,368,320,328,287,348,305,317,360,322,295,281,5,"4,292"
Billerica,00310000,133,391,419,408,436,520,460,472,489,501,383,370,359,370,9,"5,720"
Blackstone Valley Regional Vocational Technical,08050000,0,0,0,0,0,0,0,0,0,0,299,293,280,275,0,"1,147"
Blackstone-Millville,06220000,60,122,137,154,144,153,157,143,179,162,123,142,148,124,0,"1,948"
Blue Hills Regional Vocational Technical,08060000,0,0,0,0,0,0,0,0,0,0,204,220,206,206,0,836
Boston,00350000,"2,582","4,133","4,364","4,227","4,118","3,971","3,829","3,447","3,892","3,814","4,488","4,078","4,023","3,892",169,"55,027"
Boston Collegiate Charter (District),04490000,0,0,0,0,0,0,86,100,95,91,81,46,44,28,0,571
Boston Day and Evening Academy Charter (District),04240000,0,0,0,0,0,0,0,0,0,0,85,55,73,134,0,347
Boston Green Academy Horace Mann Charter School (District),04110000,0,0,0,0,0,0,0,0,0,0,86,85,101,63,0,335
Boston Preparatory Charter Public (District),04160000,0,0,0,0,0,0,0,50,53,86,61,46,41,22,0,359
Boston Renaissance Charter Public (District),04810000,0,154,130,166,164,159,135,119,0,0,0,0,0,0,0,"1,027"
Bourne,00360000,50,126,172,170,180,172,165,187,183,195,130,142,160,143,0,"2,175"
Boxborough,00370000,19,58,51,54,68,66,75,84,0,0,0,0,0,0,0,475
Boxford,00380000,53,93,101,108,104,114,130,120,0,0,0,0,0,0,0,823
Boylston,00390000,21,55,48,61,56,45,49,51,0,0,0,0,0,0,0,386
Braintree,00400000,103,351,439,435,441,464,436,460,437,423,366,380,377,362,4,"5,478"
Brewster,00410000,41,79,76,64,72,76,88,0,0,0,0,0,0,0,0,496
Bridge Boston Charter School (District),04170000,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,71
Bridgewater-Raynham,06250000,93,329,412,396,438,413,492,445,504,463,376,384,398,405,8,"5,556"
Brimfield,00430000,41,44,35,39,39,49,41,40,0,0,0,0,0,0,0,328
Bristol County Agricultural,09100000,0,0,0,0,0,0,0,0,0,0,118,117,107,103,0,445
Bristol-Plymouth Regional Vocational Technical,08100000,0,0,0,0,0,0,0,0,0,0,343,308,309,271,0,"1,231"
Brockton,00440000,259,"1,394","1,289","1,267","1,255","1,239","1,280","1,215","1,228","1,283","1,338","1,102","1,012",976,25,"16,162"
Brookfield,00450000,32,42,46,39,41,41,41,46,0,0,0,0,0,0,0,328
Brookline,00460000,277,602,550,658,567,532,538,516,437,425,458,421,432,459,3,"6,875"
Burlington,00480000,95,255,271,282,282,309,280,279,292,273,257,262,260,229,0,"3,626"
Cambridge,00490000,498,488,521,485,452,460,403,407,359,363,411,395,413,394,3,"6,052"
Canton,00500000,98,218,237,253,265,268,269,272,241,246,228,208,228,219,0,"3,250"
Cape Cod Lighthouse Charter (District),04320000,0,0,0,0,0,0,0,76,76,76,0,0,0,0,0,228
Cape Cod Regional Vocational Technical,08150000,0,0,0,0,0,0,0,0,0,0,158,173,178,158,1,668
Carlisle,00510000,13,54,49,69,68,74,75,71,94,86,0,0,0,0,0,653
Carver,00520000,26,130,137,122,155,132,125,154,150,136,131,120,131,108,3,"1,760"
Central Berkshire,06350000,42,125,101,130,155,116,148,123,163,155,171,133,124,156,3,"1,845"
Chatham,00550000,20,35,55,54,50,51,53,43,50,50,27,39,55,47,6,635
Chelmsford,00560000,106,316,369,387,396,404,373,407,407,450,439,380,370,406,1,"5,211"
Chelsea,00570000,241,575,540,514,450,451,401,423,383,384,366,387,310,260,7,"5,692"
Chesterfield-Goshen,06320000,11,21,19,24,23,25,20,26,0,0,0,0,0,0,0,169
Chicopee,00610000,268,538,518,535,567,522,523,523,592,582,662,669,649,666,30,"7,844"
Christa McAuliffe Regional Charter Public (District),04180000,0,0,0,0,0,0,0,85,105,79,0,0,0,0,0,269
City On A Hill Charter Public (District),04370000,0,0,0,0,0,0,0,0,0,0,113,84,56,38,0,291
Clarksburg,00630000,0,15,18,21,19,17,23,20,26,21,0,0,0,0,0,180
Clinton,00640000,134,181,140,129,162,139,139,152,141,142,108,112,132,106,4,"1,921"
Codman Academy Charter Public (District),04380000,0,0,0,0,0,0,0,0,0,0,50,43,33,23,0,149
Cohasset,00650000,39,103,127,136,144,126,144,110,116,121,84,98,87,95,0,"1,530"
Community Charter School of Cambridge (District),04360000,0,0,0,0,0,0,0,0,72,70,78,47,37,26,0,330
Community Day Charter Public (District),04400000,0,80,22,24,49,46,47,22,21,20,0,0,0,0,0,331
Concord,00670000,36,199,231,236,233,201,223,218,209,205,0,0,0,0,0,"1,991"
Concord-Carlisle,06400000,0,0,0,0,0,0,0,0,0,0,294,300,306,309,0,"1,209"
Conservatory Lab Charter (District),04390000,23,26,26,25,21,23,15,12,0,0,0,0,0,0,0,171
Conway,00680000,20,16,24,23,24,23,28,23,0,0,0,0,0,0,0,181
Danvers,00710000,59,263,280,261,275,289,279,287,310,293,281,240,262,234,4,"3,617"
Dartmouth,00720000,59,217,271,282,303,304,320,305,334,335,273,307,270,283,1,"3,864"
Dedham,00730000,124,197,207,206,234,227,234,201,233,215,179,215,191,199,0,"2,862"
Deerfield,00740000,31,49,57,57,70,69,62,69,0,0,0,0,0,0,0,464
Dennis-Yarmouth,06450000,74,252,224,249,236,258,256,232,243,251,195,203,211,209,6,"3,099"
Dighton-Rehoboth,06500000,83,194,229,200,247,215,254,259,277,244,240,201,241,264,8,"3,156"
Dorchester Collegiate Academy Charter (District),04750000,0,0,0,0,0,35,36,39,0,0,0,0,0,0,0,110
Douglas,00770000,83,129,107,131,138,145,129,107,141,136,120,129,95,118,0,"1,708"
Dover,00780000,0,68,74,91,88,102,89,0,0,0,0,0,0,0,0,512
Dover-Sherborn,06550000,0,0,0,0,0,0,0,192,168,194,158,153,167,159,0,"1,191"
Dracut,00790000,45,296,314,310,302,329,317,305,315,339,309,294,237,240,1,"3,953"
Dudley-Charlton Reg,06580000,135,246,305,308,321,313,316,360,349,371,263,273,271,314,3,"4,148"
Duxbury,00820000,25,171,200,212,228,246,255,292,273,282,283,226,255,258,2,"3,208"
East Bridgewater,00830000,93,152,178,182,183,186,169,190,220,181,138,164,125,123,0,"2,284"
East Longmeadow,00870000,42,154,201,207,190,220,216,220,229,238,218,216,226,220,0,"2,797"
Eastham,00850000,0,25,30,34,44,30,44,0,0,0,0,0,0,0,0,207
Easthampton,00860000,48,114,111,146,115,116,142,116,113,123,124,117,106,98,3,"1,592"
Easton,00880000,79,244,270,268,289,275,324,345,311,292,281,311,291,300,0,"3,880"
Edgartown,00890000,4,36,33,33,37,40,39,37,34,42,0,0,0,0,0,335
Edward Brooke Charter (District),04280000,0,60,65,65,60,62,53,47,36,22,0,0,0,0,0,470
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,0,0,0,0,0,0,0,0,0,0,58,55,40,72,0,225
Edward W. Brooke Charter School 2 (District),04430000,0,60,60,0,0,0,47,0,0,0,0,0,0,0,0,167
Erving,00910000,25,21,12,26,21,17,22,13,0,0,0,0,0,0,0,157
Essex Agricultural Technical,09130000,0,0,0,0,0,0,0,0,0,0,127,121,121,113,0,482
Everett,00930000,511,520,476,465,418,429,452,440,429,422,493,453,467,384,12,"6,371"
Excel Academy Charter (District),04100000,0,0,0,0,0,0,54,54,54,48,0,0,0,0,0,210
Excel Academy Charter School - Chelsea (District),04610000,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,56
Fairhaven,00940000,44,144,158,144,139,142,123,135,145,170,200,121,172,123,3,"1,963"
Fall River,00950000,180,823,854,867,846,765,775,780,777,736,694,578,645,514,0,"9,834"
