DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
BROOKLINE                     ,00460000,0,0,404,431,464,463,483,473,498,472,480,487,455,477,441,0,0,"6,028"
BURLINGTON                    ,00480000,0,0,300,283,290,287,308,315,284,293,278,223,214,242,212,0,0,"3,529"
CAMBRIDGE                     ,00490000,0,32,707,561,535,563,559,551,579,538,534,481,498,507,465,0,0,"7,110"
CANTON                        ,00500000,0,49,213,261,230,230,221,238,266,231,210,209,169,173,179,0,0,"2,879"
CAPE COD LIGHTHOUSE           ,04320000,0,0,0,0,0,0,0,0,57,57,57,0,0,0,0,0,0,171
CAPE COD REGION VOC           ,08150000,0,0,0,0,0,0,0,0,0,0,0,150,173,157,145,0,0,625
CARLISLE                      ,00510000,0,9,85,103,87,88,68,101,89,84,93,0,0,0,0,0,0,807
CARVER                        ,00520000,0,39,155,167,173,200,174,176,179,190,185,171,135,150,130,3,0,"2,227"
CENTRAL BERKSHIRE             ,06350000,0,42,141,152,169,163,166,198,203,198,201,242,182,175,142,0,0,"2,374"
CHAMPION HMCS                 ,04340000,0,0,0,0,0,0,0,0,0,0,0,53,28,13,7,0,0,101
CHATHAM                       ,00550000,0,14,53,59,55,36,57,56,54,56,59,60,64,56,47,0,0,726
CHELMSFORD                    ,00560000,0,0,412,461,458,461,441,461,443,464,416,466,451,373,390,0,0,"5,697"
CHELSEA                       ,00570000,0,328,495,401,524,476,500,517,480,471,412,394,292,238,213,0,0,"5,741"
CHESTERFIELD-GOSHEN           ,06320000,0,16,19,23,16,24,18,20,11,0,0,0,0,0,0,0,0,147
CHICOPEE                      ,00610000,0,225,524,595,563,585,591,607,565,606,578,771,638,484,517,0,0,"7,849"
CITY ON A HILL CHART          ,04370000,0,0,0,0,0,0,0,0,0,0,0,57,63,49,33,0,0,202
CLARKSBURG                    ,00630000,0,0,25,28,22,20,29,18,30,19,26,0,0,0,0,0,0,217
CLINTON                       ,00640000,0,99,149,146,151,148,170,156,171,152,171,148,144,121,98,0,0,"2,024"
COHASSET                      ,00650000,0,0,124,111,115,133,112,102,128,114,78,86,84,80,70,0,0,"1,337"
COMMUNITY DAY CHARTE          ,04400000,0,0,18,24,21,45,30,34,28,22,18,0,0,0,0,0,0,240
CONCORD                       ,00670000,0,5,202,199,245,256,250,225,233,228,217,0,0,0,0,0,0,"2,060"
CONCORD-CARLISLE              ,06400000,0,0,0,0,0,0,0,0,0,0,0,273,301,264,218,0,0,"1,056"
CONSERVATORY LAB CHA          ,04390000,0,0,21,23,23,20,0,0,0,0,0,0,0,0,0,0,0,87
CONWAY                        ,00680000,0,12,15,17,17,21,17,33,24,0,0,0,0,0,0,0,0,156
DANVERS                       ,00710000,0,35,262,271,296,295,268,323,316,305,320,264,264,275,239,0,0,"3,733"
DARTMOUTH                     ,00720000,0,25,250,305,291,289,334,341,332,375,348,308,339,301,259,0,0,"4,097"
DEDHAM                        ,00730000,0,116,246,290,241,245,231,259,269,224,209,227,175,187,166,0,0,"3,085"
DEERFIELD                     ,00740000,0,37,47,58,57,58,49,62,56,0,0,0,0,0,0,0,0,424
DENNIS-YARMOUTH               ,06450000,0,0,320,348,332,359,367,398,342,385,411,381,304,246,224,0,0,"4,417"
DIGHTON-REHOBOTH              ,06500000,0,98,212,231,207,249,229,257,271,242,267,269,221,243,207,0,0,"3,203"
DOUGLAS                       ,00770000,0,102,84,115,112,121,128,113,96,98,120,69,76,69,86,0,0,"1,389"
DOVER                         ,00780000,0,0,99,105,89,101,94,89,0,0,0,0,0,0,0,0,0,577
DOVER-SHERBORN                ,06550000,0,0,0,0,0,0,0,0,177,145,163,114,105,115,123,0,0,942
DRACUT                        ,00790000,0,49,310,306,376,347,375,366,352,344,331,295,280,226,196,0,0,"4,153"
DUDLEY-CHARLTON REG           ,06580000,0,192,233,354,321,322,337,352,345,367,327,295,247,272,185,0,0,"4,149"
DUXBURY                       ,00820000,0,62,214,251,222,255,258,228,261,255,251,231,234,202,224,0,0,"3,148"
EAST BRIDGEWATER              ,00830000,0,23,175,199,158,190,212,226,208,211,195,167,191,175,141,0,0,"2,471"
EAST LONGMEADOW               ,00870000,0,46,176,157,199,187,186,206,227,196,211,221,210,198,186,0,0,"2,606"
EASTHAM                       ,00850000,0,0,30,39,48,61,53,55,0,0,0,0,0,0,0,0,0,286
EASTHAMPTON                   ,00860000,0,39,116,143,132,138,167,152,169,133,140,116,143,98,91,0,0,"1,777"
EASTON                        ,00880000,0,48,285,315,318,294,314,281,296,284,260,268,275,216,239,4,2,"3,699"
EDGARTOWN                     ,00890000,0,0,36,45,30,44,48,40,50,40,47,0,0,0,0,0,0,380
ERVING                        ,00910000,0,28,14,17,21,17,22,13,27,0,0,0,0,0,0,0,0,159
ESSEX AGR TECH                ,09130000,0,0,0,0,0,0,0,0,0,0,0,99,117,88,66,0,0,370
EVERETT                       ,00930000,0,369,316,375,366,437,432,394,443,396,419,459,367,381,335,0,0,"5,489"
FAIRHAVEN                     ,00940000,0,0,142,149,167,184,194,185,215,204,182,177,173,153,127,0,0,"2,252"
FALL RIVER                    ,00950000,0,213,"1,052",950,971,977,"1,035","1,048","1,056",972,981,"1,041",642,655,511,0,0,"12,104"
FALMOUTH                      ,00960000,0,125,327,325,344,370,401,417,414,389,431,334,337,334,275,0,0,"4,823"
FARMINGTON RIVER REG          ,06620000,0,28,10,20,29,21,19,23,26,0,0,0,0,0,0,0,0,176
FITCHBURG                     ,00970000,0,121,482,521,539,535,538,541,567,546,487,521,301,299,296,0,0,"6,294"
FLORIDA                       ,00980000,0,11,9,10,9,11,11,11,13,9,13,0,0,0,0,0,0,107
FOXBOROUGH                    ,00990000,0,93,201,210,211,211,239,237,226,242,223,217,203,185,170,0,0,"2,868"
FRAMINGHAM                    ,01000000,0,212,722,723,718,746,749,677,776,673,644,566,480,430,402,0,0,"8,518"
FRANCIS W PARKER CHA          ,04780000,0,0,0,0,0,0,0,0,0,70,74,57,57,50,48,0,0,356
FRANKLIN                      ,01010000,0,162,545,471,482,488,436,476,423,402,393,311,322,265,239,0,0,"5,415"
FRANKLIN COUNTY               ,08180000,0,0,0,0,0,0,0,0,0,0,0,143,147,120,98,0,0,508
FREDERICK DOUGLASS C          ,04420000,0,0,0,0,0,0,0,50,51,0,0,0,0,0,0,0,0,101
FREETOWN                      ,01020000,0,18,76,83,91,98,92,0,0,0,0,0,0,0,0,0,0,458
FREETOWN-LAKEVILLE            ,06650000,0,0,0,0,0,0,0,243,258,261,263,187,158,211,181,0,0,"1,762"
FRONTIER                      ,06700000,0,0,0,0,0,0,0,0,0,122,129,109,90,103,93,0,0,646
GARDNER                       ,01030000,0,84,229,240,241,236,251,241,263,246,226,254,259,219,182,0,0,"3,171"
GATEWAY                       ,06720000,0,49,92,94,107,108,100,121,127,139,147,122,126,85,95,0,0,"1,512"
GEORGETOWN                    ,01050000,0,138,110,133,122,132,110,99,121,114,109,90,111,77,61,0,0,"1,527"
GILL-MONTAGUE                 ,06740000,0,32,103,104,80,107,123,127,100,141,129,121,124,100,92,0,0,"1,483"
GLOUCESTER                    ,01070000,0,60,305,300,332,299,332,297,346,262,321,361,352,337,299,0,0,"4,203"
GOSNOLD                       ,01090000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
GRAFTON                       ,01100000,0,55,167,184,212,195,207,177,204,132,154,169,137,132,104,0,0,"2,229"
GRANBY                        ,01110000,0,0,71,79,94,83,111,91,69,84,74,89,82,76,68,0,0,"1,071"
GRANVILLE                     ,01120000,0,17,17,21,22,39,19,35,31,30,26,0,0,0,0,0,0,257
GREATER FALL RIVER            ,08210000,0,0,0,0,0,0,0,0,0,0,0,335,317,283,262,51,0,"1,248"
GREATER LAWRENCE RVT          ,08230000,0,0,0,0,0,0,0,0,0,0,0,453,378,300,273,0,0,"1,404"
GREATER LOWELL VOC T          ,08280000,0,0,0,0,0,0,0,0,0,0,0,511,454,424,388,83,0,"1,860"
GREATER NEW BEDFORD           ,08250000,0,0,0,0,0,0,0,0,0,0,0,502,474,444,396,0,0,"1,816"
GREENFIELD                    ,01140000,0,71,145,177,164,170,192,191,220,189,196,202,154,135,126,0,0,"2,332"
GROTON-DUNSTABLE              ,06730000,0,57,217,234,239,237,215,238,208,214,183,203,133,142,113,1,0,"2,634"
HADLEY                        ,01170000,0,59,36,53,49,52,55,41,48,41,50,45,45,36,47,0,0,657
HALIFAX                       ,01180000,0,0,88,113,102,95,118,101,88,0,0,0,0,0,0,0,0,705
HAMILTON-WENHAM               ,06750000,0,29,134,161,159,179,158,162,171,175,162,192,180,176,180,0,0,"2,218"
HAMPDEN-WILBRAHAM             ,06800000,0,61,256,238,247,252,316,293,329,317,314,314,346,315,289,3,0,"3,890"
HAMPSHIRE                     ,06830000,0,0,0,0,0,0,0,0,0,158,154,119,141,139,135,0,0,846
HANCOCK                       ,01210000,0,6,4,8,8,5,10,8,9,0,0,0,0,0,0,0,0,58
HANOVER                       ,01220000,0,65,209,202,223,203,212,192,234,227,206,183,167,171,195,0,0,"2,689"
HARVARD                       ,01250000,0,0,67,79,99,78,106,105,109,88,100,107,84,80,89,0,0,"1,191"
HARWICH                       ,01260000,0,26,109,98,131,113,131,157,127,137,113,119,107,91,103,0,0,"1,562"
HATFIELD                      ,01270000,0,38,28,35,29,40,44,43,26,31,38,36,25,32,27,0,0,472
HAVERHILL                     ,01280000,0,177,582,675,691,699,796,788,766,703,786,586,494,448,357,0,17,"8,565"
HAWLEMONT                     ,06850000,0,17,20,19,15,21,15,18,32,0,0,0,0,0,0,0,0,157
HEALTH CAREERS ACAD           ,04520000,0,0,0,0,0,0,0,0,0,0,0,67,50,42,21,0,0,180
HILLTOWN CHARTER SCH          ,04500000,0,0,14,12,17,17,18,15,16,14,0,0,0,0,0,0,0,123
HINGHAM                       ,01310000,0,40,285,269,257,260,291,316,289,287,245,211,241,221,189,0,0,"3,401"
HOLBROOK                      ,01330000,0,15,79,121,125,110,140,133,119,115,130,107,83,69,70,0,0,"1,416"
HOLLAND                       ,01350000,0,36,28,29,35,41,46,42,40,0,0,0,0,0,0,0,0,297
HOLLISTON                     ,01360000,0,84,231,259,246,237,281,269,214,250,273,210,203,181,225,0,0,"3,163"
HOLYOKE                       ,01370000,0,176,570,609,509,635,530,527,647,545,553,635,534,409,367,0,0,"7,246"
HOPEDALE                      ,01380000,0,133,87,82,80,78,89,83,99,77,78,68,49,52,63,0,0,"1,118"
HOPKINTON                     ,01390000,0,51,231,260,274,264,234,254,227,241,220,181,168,141,130,0,0,"2,876"
HUDSON                        ,01410000,0,108,209,220,232,203,219,223,225,208,177,208,224,140,150,0,0,"2,746"
HULL                          ,01420000,0,20,88,88,96,104,110,123,103,101,121,116,110,97,110,0,0,"1,387"
IPSWICH                       ,01440000,0,51,130,166,144,165,177,164,177,158,167,138,140,112,115,0,0,"2,004"
KING PHILIP                   ,06900000,0,0,0,0,0,0,0,0,0,383,353,307,242,251,224,0,0,"1,760"
KINGSTON                      ,01450000,0,0,188,165,167,185,148,194,162,0,0,0,0,0,0,0,0,"1,209"
LAKEVILLE                     ,01460000,0,23,104,137,130,151,146,0,0,0,0,0,0,0,0,0,0,691
LANESBOROUGH                  ,01480000,0,23,33,38,35,50,38,51,49,0,0,0,0,0,0,0,0,317
LAWRENCE                      ,01490000,0,366,963,"1,154","1,150","1,196","1,194","1,194","1,179","1,059","1,011",708,582,434,304,0,0,"12,494"
LAWRENCE FAMILY DEV           ,04540000,0,0,69,58,63,60,60,57,40,37,38,0,0,0,0,0,0,482
LEE                           ,01500000,0,27,55,55,46,49,51,68,55,81,59,125,79,75,77,0,0,902
LEICESTER                     ,01510000,0,95,125,149,143,150,144,162,165,128,159,152,118,130,111,0,0,"1,931"
LENOX                         ,01520000,0,22,50,58,56,73,62,68,64,70,66,70,62,69,64,0,0,854
LEOMINSTER                    ,01530000,0,157,439,549,441,523,504,523,491,507,469,455,478,408,359,1,0,"6,304"
LEVERETT                      ,01540000,0,14,31,10,17,14,23,33,26,0,0,0,0,0,0,0,0,168
LEXINGTON                     ,01550000,0,0,394,467,485,462,477,550,484,469,451,457,426,407,369,0,0,"5,898"
LINCOLN                       ,01570000,0,0,168,148,169,135,152,151,149,115,124,0,0,0,0,0,0,"1,311"
LINCOLN-SUDBURY               ,06950000,0,0,0,0,0,0,0,0,0,0,0,338,320,299,285,0,0,"1,242"
LITTLETON                     ,01580000,0,45,107,170,127,130,123,122,123,120,80,77,86,80,81,0,0,"1,471"
LONGMEADOW                    ,01590000,0,0,222,240,228,233,245,258,225,257,247,284,276,273,211,0,0,"3,199"
LOWELL                        ,01600000,0,354,"1,187","1,199","1,267","1,398","1,370","1,471","1,364","1,308","1,445","1,140",974,834,678,0,0,"15,989"
LOWELL COMMUNITY CHA          ,04560000,0,0,173,61,41,41,0,0,0,0,0,0,0,0,0,0,0,316
LOWELL MIDDLESEX ACA          ,04580000,0,0,0,0,0,0,0,0,0,0,0,8,19,18,57,0,0,102
LUDLOW                        ,01610000,0,49,185,189,193,193,253,259,234,272,230,239,247,233,210,0,0,"2,986"
LUNENBURG                     ,01620000,0,65,120,129,128,136,141,157,172,123,156,142,158,147,115,0,0,"1,889"
LYNN                          ,01630000,0,657,"1,061","1,345","1,187","1,263","1,209","1,136","1,255","1,118","1,062","1,239","1,077",924,785,0,0,"15,318"
LYNN COMMUNITY CHART          ,04600000,0,0,30,29,23,32,26,28,28,21,29,0,0,0,0,0,0,246
LYNNFIELD                     ,01640000,0,0,125,144,158,161,143,170,152,148,147,127,121,116,147,0,0,"1,859"
Ma Academy/Math,04680000,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37,0,0,87
MALDEN                        ,01650000,0,282,448,470,431,408,461,464,467,447,425,439,354,357,354,0,0,"5,807"
MANCHESTER ESSEX REG          ,06980000,0,0,88,99,107,99,94,101,113,120,91,102,83,91,78,0,0,"1,266"
MANSFIELD                     ,01670000,0,106,412,410,405,390,383,369,351,307,314,259,231,207,196,0,0,"4,340"
MARBLEHEAD                    ,01680000,0,26,201,223,267,233,244,198,215,224,186,215,231,176,153,0,0,"2,792"
MARBLEHEAD COMMUNITY          ,04640000,0,0,0,0,0,0,0,44,44,44,44,0,0,0,0,0,0,176
MARION                        ,01690000,0,13,48,68,69,78,63,84,75,0,0,0,0,0,0,0,0,498
MARLBOROUGH                   ,01700000,0,143,367,400,404,402,394,394,411,397,424,328,226,235,168,0,0,"4,693"
MARSHFIELD                    ,01710000,0,88,353,389,345,390,348,347,359,356,355,343,334,295,277,0,0,"4,579"
MARTHA'S VINEYARD CH          ,04660000,0,0,14,9,14,13,14,13,14,15,14,5,8,7,7,0,0,147
MARTHAS VINEYARD              ,07000000,0,0,0,0,0,0,0,0,0,0,0,206,200,227,162,0,0,795
MASCONOMET                    ,07050000,0,0,0,0,0,0,0,0,0,362,331,297,289,253,249,0,0,"1,781"
MASHPEE                       ,01720000,0,30,174,153,190,197,211,188,188,210,173,163,153,117,103,0,0,"2,250"
MATTAPOISETT                  ,01730000,0,11,74,82,93,74,81,83,81,0,0,0,0,0,0,0,0,579
MAYNARD                       ,01740000,0,53,114,137,136,155,135,127,112,114,110,88,99,92,66,0,0,"1,538"
MEDFIELD                      ,01750000,0,43,236,232,257,228,248,258,265,205,249,190,156,178,142,0,0,"2,887"
MEDFORD                       ,01760000,0,32,315,356,349,370,385,384,330,361,352,429,318,305,309,0,0,"4,595"
MEDIA & TECH CHARTER          ,04690000,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,78
MEDWAY                        ,01770000,0,69,235,235,238,225,238,191,218,202,205,182,159,159,133,0,0,"2,689"
MELROSE                       ,01780000,0,40,267,287,259,305,273,279,259,302,269,258,241,219,239,1,0,"3,498"
MENDON-UPTON                  ,07100000,0,0,209,196,198,187,189,182,184,170,166,146,122,132,99,4,0,"2,184"
METHUEN                       ,01810000,0,117,534,556,583,551,612,617,578,642,552,498,469,419,397,0,0,"7,125"
MIDDLEBOROUGH                 ,01820000,0,0,280,288,285,301,308,302,322,321,288,309,243,208,165,0,0,"3,620"
MIDDLETON                     ,01840000,0,65,86,93,101,116,105,92,110,0,0,0,0,0,0,0,0,768
MILFORD                       ,01850000,0,139,360,340,339,320,347,339,329,338,364,305,313,269,273,0,0,"4,375"
MILLBURY                      ,01860000,0,44,135,123,177,151,176,157,179,153,153,120,100,104,118,0,0,"1,890"
MILLIS                        ,01870000,0,53,108,113,120,112,113,93,112,93,96,71,76,62,72,0,0,"1,294"
MILTON                        ,01890000,0,70,250,281,298,353,315,341,298,317,308,255,250,259,212,0,0,"3,807"
MINUTEMAN VOC TECH            ,08300000,0,0,0,0,0,0,0,0,0,0,0,175,214,183,175,52,10,809
MOHAWK TRAIL                  ,07170000,0,59,99,102,97,106,122,130,131,143,169,142,134,120,122,0,0,"1,676"
MONSON                        ,01910000,0,45,107,119,118,100,119,131,115,121,118,116,81,74,62,0,0,"1,426"
MONTACHUSETT VOC TEC          ,08320000,0,0,0,0,0,0,0,0,0,0,0,302,326,269,223,0,0,"1,120"
MOUNT GREYLOCK                ,07150000,0,0,0,0,0,0,0,0,0,147,145,134,130,116,132,0,0,804
MURDOCH MIDDLE PCS            ,04350000,0,0,0,0,0,0,0,56,57,50,39,0,0,0,0,0,0,202
MYSTIC VALLEY ADV RE          ,04700000,0,0,120,119,117,90,90,89,82,63,0,0,0,0,0,0,0,770
NAHANT                        ,01960000,0,0,33,26,42,34,24,28,35,0,0,0,0,0,0,0,0,222
NANTUCKET                     ,01970000,0,19,69,94,89,95,98,103,100,103,83,95,95,76,82,0,0,"1,201"
NARRAGANSETT                  ,07200000,0,31,119,118,102,105,117,148,125,158,131,111,103,68,97,0,0,"1,533"
NASHOBA                       ,07250000,0,0,222,250,224,233,222,260,250,267,234,194,211,166,193,0,0,"2,926"
NASHOBA VALLEY TECH           ,08520000,0,0,0,0,0,0,0,0,0,0,0,135,157,155,118,0,0,565
NATICK                        ,01980000,0,114,394,394,359,370,342,362,334,349,325,291,282,256,240,0,0,"4,412"
NAUSET                        ,06600000,0,0,0,0,0,0,0,0,273,272,251,302,232,240,220,0,0,"1,790"
NEEDHAM                       ,01990000,0,0,346,346,325,375,338,379,376,337,338,327,329,275,283,0,0,"4,374"
NEIGHBORHOOD HOUSE C          ,04440000,0,0,40,20,20,18,18,20,17,18,18,0,0,0,0,0,0,189
NEW BEDFORD                   ,02010000,0,384,"1,067","1,317","1,232","1,252","1,200","1,240","1,232","1,205","1,140","1,107",746,897,590,0,0,"14,609"
NEW LEADERSHIP HMCS           ,04710000,0,0,0,0,0,0,0,0,74,68,45,39,0,0,0,0,0,226
NEW SALEM-WENDELL             ,07280000,0,27,15,20,22,19,23,33,18,0,0,0,0,0,0,0,0,177
NEWBURYPORT                   ,02040000,0,40,176,158,182,168,174,179,186,229,194,182,159,164,164,0,0,"2,355"
NEWTON                        ,02070000,0,0,736,804,860,893,907,897,877,934,861,879,911,885,799,3,0,"11,246"
NORFOLK                       ,02080000,0,57,156,174,172,165,151,177,163,0,0,0,0,0,0,0,0,"1,215"
NORFOLK COUNTY AGR            ,09150000,0,0,0,0,0,0,0,0,0,0,0,103,113,113,105,0,0,434
NORTH ADAMS                   ,02090000,0,69,153,161,164,183,159,167,170,167,189,209,137,143,121,3,0,"2,195"
NORTH ANDOVER                 ,02110000,0,80,307,357,328,362,356,361,378,364,340,260,296,258,227,0,0,"4,274"
NORTH ATTLEBOROUGH            ,02120000,0,104,352,352,361,362,405,395,378,408,363,296,282,275,267,0,0,"4,600"
NORTH BROOKFIELD              ,02150000,0,0,58,69,69,58,75,69,74,73,60,51,60,47,47,0,0,810
NORTH MIDDLESEX               ,07350000,0,121,313,367,352,397,379,407,399,422,424,312,326,302,270,0,0,"4,791"
NORTH READING                 ,02170000,0,21,212,224,231,235,223,209,184,211,180,172,99,137,141,0,0,"2,479"
NORTH SHORE REG VOC           ,08540000,0,0,0,0,0,0,0,0,0,0,0,114,119,111,100,0,0,444
North Star Academy,04730000,0,0,0,0,0,0,0,0,0,0,0,37,27,8,6,0,0,78
NORTHAMPTON                   ,02100000,0,60,176,180,240,210,230,213,262,267,270,199,191,203,176,0,0,"2,877"
NORTHAMPTON-SMITH             ,04060000,0,0,0,0,0,0,0,0,0,0,0,125,124,115,112,0,0,476
NORTHBORO-SOUTHBORO           ,07300000,0,0,0,0,0,0,0,0,0,0,0,303,258,268,227,0,0,"1,056"
NORTHBOROUGH                  ,02130000,0,54,183,202,216,245,247,227,244,219,212,0,0,0,0,0,0,"2,049"
NORTHBRIDGE                   ,02140000,0,110,225,194,198,197,181,212,200,180,173,184,115,124,110,3,0,"2,406"
NORTHEAST METRO VOC           ,08530000,0,0,0,0,0,0,0,0,0,0,0,326,314,268,227,0,0,"1,135"
NORTHERN BERKSHIRE V          ,08510000,0,0,0,0,0,0,0,0,0,0,0,138,117,99,86,44,0,484
NORTON                        ,02180000,0,84,299,306,284,278,259,262,237,247,223,173,162,152,121,0,0,"3,087"
NORWELL                       ,02190000,0,41,145,141,156,179,166,173,171,151,153,140,140,132,144,0,0,"2,032"
NORWOOD                       ,02200000,0,115,283,265,274,299,294,300,283,299,295,256,252,220,218,0,0,"3,653"
OAK BLUFFS                    ,02210000,0,3,41,47,58,41,63,53,53,57,47,0,0,0,0,0,0,463
OLD COLONY REG VOC T          ,08550000,0,0,0,0,0,0,0,0,0,0,0,145,146,143,104,0,0,538
