DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABBY KELLEY FOSTER R          ,04450000,0,0,95,92,90,90,89,91,89,87,0,0,0,0,0,0,0,723
ABINGTON                      ,00010000,0,39,178,199,187,205,188,205,183,174,202,141,133,146,143,0,0,"2,323"
ACADEMY OF PACIFIC R          ,04120000,0,0,0,0,0,0,0,0,82,59,48,38,15,0,0,0,0,242
ACADEMY OF STRATEGIC          ,04150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON                         ,00020000,0,0,325,347,360,333,362,364,345,0,0,0,0,0,0,0,0,"2,436"
ACTON-BOXBOROUGH              ,06000000,0,0,0,0,0,0,0,0,0,415,428,413,361,340,361,0,15,"2,333"
ACUSHNET                      ,00030000,0,28,78,101,113,109,127,131,125,141,142,0,0,0,0,0,0,"1,095"
ADAMS-CHESHIRE                ,06030000,0,52,132,146,157,132,155,152,180,137,156,144,152,145,110,0,0,"1,950"
AGAWAM                        ,00050000,0,151,304,304,326,332,351,338,344,320,342,312,327,317,299,0,0,"4,367"
AMESBURY                      ,00070000,0,55,196,208,205,210,207,244,197,259,212,276,218,171,131,0,0,"2,789"
AMHERST                       ,00080000,0,64,198,193,209,214,237,222,257,0,0,0,0,0,0,0,0,"1,594"
AMHERST-PELHAM                ,06050000,0,0,0,0,0,0,0,0,0,324,364,363,345,358,299,0,0,"2,053"
ANDOVER                       ,00090000,0,32,425,422,476,463,486,504,495,504,472,445,395,405,381,0,0,"5,905"
ARLINGTON                     ,00100000,0,0,388,354,378,322,340,354,345,345,320,284,280,261,244,0,0,"4,215"
ASHBURNHAM-WESTMINST          ,06100000,0,44,162,181,168,185,199,213,200,195,221,200,186,185,171,1,2,"2,513"
ASHLAND                       ,00140000,0,0,213,217,199,205,201,193,188,199,170,153,149,151,134,0,0,"2,372"
ASSABET VALLEY RVSD           ,08010000,0,0,0,0,0,0,0,0,0,0,0,203,248,224,167,88,0,930
ATHOL-ROYALSTON               ,06150000,0,33,138,169,164,150,147,212,189,217,188,166,151,147,133,0,0,"2,204"
ATLANTIS CHARTER SCH          ,04910000,0,0,86,69,69,70,69,67,72,64,20,0,0,0,0,0,0,586
ATTLEBORO                     ,00160000,0,125,542,506,531,532,498,604,527,550,560,535,506,455,415,0,0,"6,886"
AUBURN                        ,00170000,0,70,194,192,189,202,203,207,219,199,206,159,169,164,134,0,0,"2,507"
AVON                          ,00180000,0,0,50,58,61,56,63,61,59,59,64,67,49,52,58,0,0,757
AYER                          ,00190000,0,31,128,125,110,106,103,94,102,88,80,94,86,97,74,0,0,"1,318"
BARNSTABLE                    ,00200000,0,67,473,544,473,557,543,2,571,550,555,584,503,430,457,1,0,"6,310"
Barnstable Grade 5,04230000,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,614
BEDFORD                       ,00230000,0,0,174,167,181,163,176,164,156,175,150,191,168,168,144,0,0,"2,177"
BELCHERTOWN                   ,00240000,0,53,186,173,210,191,182,200,217,190,189,166,131,139,120,0,0,"2,347"
BELLINGHAM                    ,00250000,0,127,175,232,209,228,203,231,251,234,220,221,181,174,147,0,0,"2,833"
BELMONT                       ,00260000,0,50,252,261,293,280,282,318,286,270,292,269,222,264,224,0,0,"3,563"
BENJAMIN BANNEKER CH          ,04200000,0,0,58,39,41,38,29,38,32,33,20,0,0,0,0,0,0,328
BENJAMIN FRANKLIN CH          ,04470000,0,0,40,43,43,46,44,48,46,39,40,0,0,0,0,0,0,389
BERKLEY                       ,00270000,0,18,101,83,93,121,110,81,107,96,99,0,0,0,0,0,0,909
BERKSHIRE HILLS               ,06180000,0,6,82,85,88,107,95,105,105,117,116,159,191,185,157,11,0,"1,609"
BERLIN                        ,00280000,0,0,35,36,34,29,41,29,29,0,0,0,0,0,0,0,0,233
BERLIN-BOYLSTON REG           ,06200000,0,0,0,0,0,0,0,0,0,84,79,71,71,64,67,0,0,436
BEVERLY                       ,00300000,0,54,349,392,351,386,376,396,379,371,339,378,326,317,266,0,0,"4,680"
BILLERICA                     ,00310000,0,0,525,620,529,567,518,565,523,575,522,416,364,336,336,0,0,"6,396"
BLACKSTONE VALLEY RE          ,08050000,0,0,0,0,0,0,0,0,0,0,0,219,219,208,196,0,0,842
BLACKSTONE-MILLVILLE          ,06220000,0,76,195,189,165,192,209,200,181,187,200,161,156,114,108,0,0,"2,333"
BLUE HILLS VOC                ,08060000,0,0,0,0,0,0,0,0,0,0,0,341,292,268,227,57,0,"1,185"
BOSTON                        ,00350000,0,950,"4,265","5,100","5,008","5,457","5,046","5,004","4,883","4,778","4,640","6,009","4,026","4,093","3,765",0,0,"63,024"
BOSTON EVENING ACAD           ,04240000,0,0,0,0,0,0,0,0,0,0,0,0,0,138,32,0,0,170
BOSTON RENAISSANCE C          ,04810000,0,0,249,165,165,143,115,114,105,73,82,0,0,0,0,0,0,"1,211"
BOURNE                        ,00360000,0,24,210,198,202,238,205,215,229,216,199,183,148,150,131,0,0,"2,548"
BOXBOROUGH                    ,00370000,0,0,78,81,105,91,83,94,93,0,0,0,0,0,0,0,0,625
BOXFORD                       ,00380000,0,78,130,137,138,161,136,161,148,0,0,0,0,0,0,0,0,"1,089"
BOYLSTON                      ,00390000,0,0,49,57,50,68,54,55,49,0,0,0,0,0,0,0,0,382
BRAINTREE                     ,00400000,0,0,339,393,389,390,416,416,382,428,385,328,352,346,312,0,12,"4,888"
BREWSTER                      ,00410000,0,0,90,102,105,126,137,130,0,0,0,0,0,0,0,0,0,690
BRIDGEWATER-RAYNHAM           ,06250000,0,113,450,458,502,489,501,497,496,494,481,416,394,380,343,0,0,"6,014"
BRIMFIELD                     ,00430000,0,43,42,33,51,39,56,39,49,0,0,0,0,0,0,0,0,352
BRISTOL COUNTY AGR            ,09100000,0,0,0,0,0,0,0,0,0,0,0,113,105,92,84,0,0,394
BRISTOL-PLYMOUTH VOC          ,08100000,0,0,0,0,0,0,0,0,0,0,0,212,204,216,180,38,0,850
BROCKTON                      ,00440000,0,293,"1,301","1,283","1,392","1,426","1,380","1,492","1,387","1,438","1,360","1,456",991,842,750,0,0,"16,791"
BROOKFIELD                    ,00450000,0,30,48,44,41,42,33,46,54,0,0,0,0,0,0,0,0,338
