SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,0,98,124,136,117,137,124,132,126,122,117,89,66,38,0,"1,426"
Abington - Abington ECC,00010003,52,154,170,156,0,0,0,0,0,0,0,0,0,0,0,532
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,141,131,141,145,0,558
Abington - Center,00010005,0,0,0,0,66,57,56,56,0,0,0,0,0,0,0,235
Abington - Frolio Middle School,00010405,0,0,0,0,0,0,0,0,209,188,0,0,0,0,0,397
Abington - Woodsdale,00010015,0,0,0,0,99,135,116,117,0,0,0,0,0,0,0,467
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public Sch,04120530,0,0,0,0,0,0,84,83,75,65,49,49,44,33,0,482
Acton - Douglas,00020020,0,65,67,69,73,73,74,78,0,0,0,0,0,0,0,499
Acton - Gates,00020025,0,63,67,69,74,71,73,73,0,0,0,0,0,0,0,490
Acton - Luther Conant,00020030,0,65,69,70,72,70,78,76,0,0,0,0,0,0,0,500
Acton - McCarthy-Towne,00020015,0,64,66,71,72,73,73,78,0,0,0,0,0,0,0,497
Acton - Merriam,00020010,64,83,67,71,72,74,94,103,0,0,0,0,0,0,0,628
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0,0,0,0,0,0,0,0,0,0,505,477,512,459,0,"1,953"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,475,502,0,0,0,0,0,977
Acushnet - Acushnet Elementary Sch,00030025,26,72,107,105,102,102,0,0,0,0,0,0,0,0,0,514
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,118,133,113,118,0,0,0,0,0,482
Adams-Cheshire - Cheshire Elementary,06030004,47,31,24,36,34,33,25,38,0,0,0,0,0,0,0,268
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,125,130,112,130,104,90,1,692
Adams-Cheshire - Plunkett Elementary,06030020,0,96,78,78,88,84,92,78,0,0,0,0,0,0,0,594
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter Sch,04300305,0,0,0,0,0,0,0,243,210,144,80,61,63,0,0,801
Agawam - Agawam ECC,00050003,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,371,335,302,304,0,"1,312"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,357,367,0,0,0,0,0,724
Agawam - Agawam Middle School,00050303,0,0,0,0,0,0,344,352,0,0,0,0,0,0,0,696
Agawam - Benjamin J Phelps,00050020,0,61,77,77,79,80,0,0,0,0,0,0,0,0,0,374
Agawam - Clifford M Granger,00050010,0,53,72,61,64,56,0,0,0,0,0,0,0,0,0,306
Agawam - James Clark School,00050030,0,64,70,67,81,82,0,0,0,0,0,0,0,0,0,364
Agawam - Robinson Park,00050025,0,58,83,68,87,73,0,0,0,0,0,0,0,0,0,369
Amesbury - Amesbury Elementary,00070005,51,72,74,82,78,76,0,0,0,0,0,0,0,0,0,433
