DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABINGTON,00010000,0,30,187,208,198,176,199,188,186,171,191,136,163,140,163,0,0,"2,336"
ACTON,00020000,0,0,311,331,312,331,327,331,318,0,0,0,0,0,0,0,0,"2,261"
ACTON-BOXBOROUGH,06000000,16,0,0,0,0,0,0,0,0,346,369,355,321,288,325,0,0,"2,020"
ACUSHNET,00030000,0,24,89,112,102,108,122,114,123,126,112,0,0,0,0,0,0,"1,032"
ADAMS-CHESHIRE,06030000,0,52,151,137,180,128,131,156,174,171,161,159,116,147,124,0,0,"1,987"
AGAWAM,00050000,5,0,320,358,328,311,345,337,308,359,353,352,314,331,271,0,0,"4,292"
AMESBURY,00070000,0,57,221,283,243,246,210,261,230,216,197,193,163,154,125,0,0,"2,799"
AMHERST,00080000,0,58,232,227,250,219,261,260,225,0,0,0,0,0,0,0,0,"1,732"
AMHERST-PELHAM,06050000,0,0,0,0,0,0,0,0,0,378,314,329,351,256,279,0,0,"1,907"
ANDOVER,00090000,13,31,425,473,462,486,463,478,468,458,434,368,338,312,292,0,0,"5,501"
ARLINGTON,00100000,31,0,360,402,381,373,357,319,335,306,276,256,275,243,202,0,0,"4,116"
ASHBURNHAM-WESTMINSTER,06100000,0,20,164,198,181,178,218,216,204,215,188,174,167,140,184,0,0,"2,447"
ASHLAND,00140000,0,0,161,181,184,192,162,143,164,164,153,150,109,116,90,0,0,"1,969"
ASSABET VALLEY,08010000,0,0,0,0,0,0,0,0,0,0,0,206,214,187,193,84,0,884
ATHOL-ROYALSTON,06150000,4,34,133,204,190,181,169,201,193,206,171,173,143,96,122,0,0,"2,220"
ATLANTIS CHARTER,04910000,0,0,66,70,60,63,24,23,25,0,0,0,0,0,0,0,0,331
ATTLEBORO,00160000,0,76,522,647,559,542,534,511,511,511,487,499,486,372,304,0,0,"6,561"
AUBURN,00170000,6,60,181,194,199,195,198,177,187,200,159,135,163,150,144,0,0,"2,348"
AVON,00180000,0,0,62,66,62,64,64,70,65,64,71,59,54,58,58,0,0,817
AYER,00190000,0,19,108,115,91,98,82,67,74,69,67,102,64,65,62,0,0,"1,083"
BARNSTABLE,00200000,9,140,547,618,620,578,596,541,532,532,584,498,451,432,325,0,0,"7,003"
BEDFORD,00230000,0,0,154,154,143,176,150,141,145,152,120,169,158,154,124,0,0,"1,940"
BELCHERTOWN,00240000,2,44,188,186,196,185,181,181,208,177,188,146,130,164,112,0,0,"2,288"
BELLINGHAM,00250000,47,117,198,238,240,223,220,218,193,214,181,166,151,145,133,0,0,"2,684"
BELMONT,00260000,0,18,275,282,292,270,306,288,276,291,271,244,239,220,191,0,0,"3,463"
BENJAMIN BANNEKER CHARTER,04200000,0,0,40,30,36,31,28,30,0,0,0,0,0,0,0,0,0,195
BENJAMIN FRANKLIN CHARTER,04470000,0,0,42,42,37,21,38,20,0,0,0,0,0,0,0,0,0,200
BERKLEY,00270000,12,51,93,75,101,90,83,88,85,85,66,0,0,0,0,0,0,829
BERKSHIRE HILLS,06180000,7,9,100,112,118,111,98,131,133,148,130,163,183,173,168,0,0,"1,784"
BERLIN,00280000,0,0,41,32,27,38,36,33,36,0,0,0,0,0,0,0,0,243
BERLIN-BOYLSTON,06200000,0,0,0,0,0,0,0,0,0,84,79,52,54,60,51,0,0,380
BEVERLY,00300000,11,45,378,410,429,416,366,414,426,396,372,303,321,307,276,0,0,"4,870"
BILLERICA,00310000,7,0,464,576,512,572,516,552,504,461,503,341,375,355,332,0,0,"6,070"
BLACKSTONE VALLEY REG,08050000,0,0,0,0,0,0,0,0,0,0,0,228,236,216,167,0,0,847
BLACKSTONE-MILLVILLE,06220000,29,81,202,206,183,172,219,186,218,167,175,140,143,119,87,0,0,"2,327"
BLUE HILLS VOC,08060000,0,0,0,0,0,0,0,0,0,0,0,306,269,235,216,60,0,"1,086"
BOSTON,00350000,0,0,"7,931","5,733","5,301","4,984","4,740","4,448","4,196","4,468","4,245","5,039","4,584","4,182","3,388",0,0,"63,239"
BOSTON RENAISSANCE CH SCH,04810000,0,0,105,109,108,111,112,113,158,134,105,0,0,0,0,0,0,"1,055"
BOURNE,00360000,0,6,211,202,214,227,201,220,225,173,198,156,153,142,105,0,0,"2,433"
BOXBOROUGH,00370000,0,9,74,86,81,85,66,73,67,0,0,0,0,0,0,0,0,541
BOXFORD,00380000,0,0,126,145,137,141,143,147,136,0,0,0,0,0,0,0,0,975
BOYLSTON,00390000,0,0,49,55,49,56,39,43,41,0,0,0,0,0,0,0,0,332
BRAINTREE,00400000,20,0,393,399,393,439,377,378,400,419,392,344,324,288,319,0,0,"4,885"
BREWSTER,00410000,0,0,110,117,132,133,122,128,0,0,0,0,0,0,0,0,0,742
BRIDGEWATER-RAYNHAM,06250000,0,87,416,487,463,456,438,460,440,453,435,378,402,360,284,0,0,"5,559"
BRIMFIELD,00430000,0,0,55,37,53,71,33,49,51,0,0,0,0,0,0,0,0,349
BRISTOL COUNTY AGR,09100000,0,0,0,0,0,0,0,0,0,0,0,99,106,75,62,0,0,342
BRISTOL-PLYMOUTH VOC TECH,08100000,0,0,0,0,0,0,0,0,0,0,0,224,210,162,144,40,0,780
BROCKTON,00440000,106,249,"1,264","1,558","1,319","1,352","1,290","1,251","1,248","1,201","1,206","1,025","1,093",684,615,0,0,"15,461"
