SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,0,111,113,122,111,127,113,126,115,116,95,97,105,75,0,"1,426"
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,136,106,144,126,1,513
Abington - Beaver Brook Elementary School,00010003,0,0,167,156,172,156,0,0,0,0,0,0,0,0,0,651
Abington - Center Elementary School,00010002,54,143,0,0,0,0,0,0,0,0,0,0,0,0,0,197
Abington - Frolio Middle School,00010405,0,0,0,0,0,0,0,0,168,163,0,0,0,0,0,331
Abington - Woodsdale Elementary School,00010015,0,0,0,0,0,0,153,181,0,0,0,0,0,0,0,334
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,0,0,0,0,0,0,75,74,82,82,64,44,35,44,0,500
Acton - Douglas,00020020,0,60,66,68,71,70,75,73,0,0,0,0,0,0,0,483
Acton - Gates,00020025,0,59,65,68,72,71,76,73,0,0,0,0,0,0,0,484
Acton - Luther Conant,00020030,0,60,64,70,70,70,75,72,0,0,0,0,0,0,0,481
Acton - McCarthy-Towne,00020015,0,61,62,65,71,69,73,75,0,0,0,0,0,0,0,476
Acton - Merriam,00020010,65,61,84,90,70,73,75,72,0,0,0,0,0,0,0,590
Acton-Boxborough - Acton-Boxborough Regional High,06000505,0,0,0,0,0,0,0,0,0,0,471,528,494,462,0,"1,955"
Acton-Boxborough - Raymond J Grey Junior High,06000405,0,0,0,0,0,0,0,0,467,488,0,0,0,0,0,955
Acushnet - Acushnet Elementary School,00030025,23,98,108,71,111,109,0,0,0,0,0,0,0,0,0,520
Acushnet - Albert F Ford Middle School,00030305,0,0,0,0,0,0,113,108,129,135,0,0,0,0,0,485
Adams-Cheshire - Cheshire Elementary,06030004,54,29,30,29,23,30,32,32,0,0,0,0,0,0,0,259
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,103,114,103,95,94,112,1,622
Adams-Cheshire - Plunkett Elementary,06030020,0,84,75,91,84,71,90,80,0,0,0,0,0,0,0,575
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0,0,0,0,0,0,0,131,187,256,149,103,75,62,0,963
Agawam - Agawam Early Childhood Center,00050003,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,377,342,335,297,0,"1,351"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,358,339,0,0,0,0,0,697
Agawam - Benjamin J Phelps,00050020,0,66,79,63,75,81,0,0,0,0,0,0,0,0,0,364
Agawam - Clifford M Granger,00050010,0,58,55,59,72,65,0,0,0,0,0,0,0,0,0,309
Agawam - James Clark School,00050030,0,57,87,69,73,69,0,0,0,0,0,0,0,0,0,355
Agawam - Roberta G. Doering School,00050303,0,0,0,0,0,0,311,314,7,4,0,0,0,0,0,636
Agawam - Robinson Park,00050025,0,78,78,71,78,69,0,0,0,0,0,0,0,0,0,374
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,120
Amesbury - Amesbury Elementary,00070005,49,79,81,68,76,82,0,0,0,0,0,0,0,0,0,435
Amesbury - Amesbury High,00070505,0,0,0,0,0,0,0,0,0,0,143,156,156,150,4,609
Amesbury - Amesbury Middle,00070013,0,0,0,0,0,0,178,168,195,201,0,0,0,0,0,742
Amesbury - Charles C Cashman Elementary,00070010,29,96,89,114,96,105,0,0,0,0,0,0,0,0,0,529
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150505,0,0,0,0,0,0,0,0,0,0,9,7,16,17,0,49
Amherst - Crocker Farm Elementary,00080009,62,34,50,45,56,42,46,48,0,0,0,0,0,0,0,383
Amherst - Fort River Elementary,00080020,0,54,43,60,54,53,62,65,0,0,0,0,0,0,0,391
Amherst - Wildwood Elementary,00080050,0,50,47,69,69,73,75,57,0,0,0,0,0,0,0,440
Amherst-Pelham - Amherst Regional High,06050505,0,0,0,0,0,0,0,0,0,0,273,252,284,274,0,"1,083"
Amherst-Pelham - Amherst Regional Middle School,06050405,0,0,0,0,0,0,0,0,240,222,0,0,0,0,0,462
Andover - Andover High,00090505,0,0,0,0,0,0,0,0,0,0,448,450,462,424,0,"1,784"
Andover - Andover West Middle,00090310,0,0,0,0,0,0,0,177,183,183,0,0,0,0,0,543
Andover - Bancroft Elementary,00090003,0,66,87,67,95,91,88,0,0,0,0,0,0,0,0,494
Andover - Doherty Middle,00090305,0,0,0,0,0,0,0,179,200,193,0,0,0,0,0,572
Andover - Henry C Sanborn Elementary,00090010,0,42,52,59,72,61,73,0,0,0,0,0,0,0,0,359
Andover - High Plain Elementary,00090004,0,63,75,96,114,94,94,0,0,0,0,0,0,0,0,536
Andover - Shawsheen School,00090005,69,70,72,52,0,0,0,0,0,0,0,0,0,0,0,263
Andover - South Elementary,00090020,0,77,92,100,86,107,114,0,0,0,0,0,0,0,0,576
Andover - West Elementary,00090025,1,73,89,79,145,154,138,0,0,0,0,0,0,0,0,679
Andover - Wood Hill Middle School,00090350,0,0,0,0,0,0,0,115,140,138,0,0,0,0,0,393
Arlington - Arlington High,00100505,0,0,0,0,0,0,0,0,0,0,300,297,331,290,0,"1,218"
Arlington - Brackett,00100010,0,84,90,70,73,64,72,0,0,0,0,0,0,0,0,453
Arlington - Cyrus E Dallin,00100025,0,74,94,73,70,62,63,0,0,0,0,0,0,0,0,436
Arlington - Hardy,00100030,0,64,46,65,58,64,56,0,0,0,0,0,0,0,0,353
Arlington - John A Bishop,00100005,0,70,68,54,73,64,57,0,0,0,0,0,0,0,0,386
Arlington - M Norcross Stratton,00100055,0,52,53,65,56,49,59,0,0,0,0,0,0,0,0,334
Arlington - Menotomy Preschool,00100038,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Arlington - Ottoson Middle,00100410,0,0,0,0,0,0,0,349,331,346,0,0,0,0,0,"1,026"
Arlington - Peirce,00100045,0,50,46,45,53,39,50,0,0,0,0,0,0,0,0,283
Arlington - Thompson,00100050,0,56,58,55,46,48,58,0,0,0,0,0,0,0,0,321
Ashburnham-Westminster - Briggs Elementary,06100025,0,52,76,84,75,71,71,0,0,0,0,0,0,0,0,429
Ashburnham-Westminster - Meetinghouse School,06100010,57,94,86,0,0,0,0,0,0,0,0,0,0,0,0,237
Ashburnham-Westminster - Oakmont Regional High School,06100505,0,0,0,0,0,0,0,0,0,0,177,145,162,189,6,679
Ashburnham-Westminster - Overlook Middle School,06100305,0,0,0,0,0,0,0,188,195,199,0,0,0,0,0,582
Ashburnham-Westminster - Westminster Elementary,06100005,0,0,0,67,103,86,94,0,0,0,0,0,0,0,0,350
Ashland - Ashland High,00140505,0,0,0,0,0,0,0,0,0,0,171,186,176,184,0,717
Ashland - Ashland Middle,00140405,0,0,0,0,0,0,0,173,191,206,0,0,0,0,0,570
Ashland - David Mindess,00140015,0,0,0,0,211,213,189,0,0,0,0,0,0,0,0,613
Ashland - Henry E Warren Elementary,00140010,0,187,186,201,0,0,0,0,0,0,0,0,0,0,0,574
Ashland - William Pittaway Elementary,00140005,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,0,0,0,0,0,0,0,0,0,0,273,258,252,230,0,"1,013"
Athol-Royalston - Athol High,06150505,0,0,0,0,0,0,0,0,0,0,118,67,91,109,5,390
Athol-Royalston - Athol-Royalston Middle School,06150305,0,0,0,0,0,0,78,97,105,138,0,0,0,0,0,418
Athol-Royalston - Ellen Bigelow,06150005,0,0,0,0,0,0,3,2,2,4,8,2,3,3,1,28
Athol-Royalston - Pleasant Street,06150016,49,47,47,43,46,49,0,0,0,0,0,0,0,0,0,281
Athol-Royalston - Riverbend,06150020,0,0,0,23,51,61,0,0,0,0,0,0,0,0,0,135
Athol-Royalston - Royalston Community School,06150050,0,22,16,25,19,21,22,22,0,0,0,0,0,0,0,147
Athol-Royalston - Sanders Street,06150025,0,44,50,32,0,0,0,0,0,0,0,0,0,0,0,126
Atlantis Charter (District) - Atlantis Charter School,04910550,0,90,69,69,69,72,94,97,85,86,0,0,0,0,0,731
Attleboro - A. Irvin Studley Elementary School,00160001,0,90,83,86,79,89,0,0,0,0,0,0,0,0,0,427
Attleboro - Attleboro High,00160505,0,0,0,0,0,0,0,0,0,0,458,449,447,402,0,"1,756"
