SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,,117,141,132,131,135,124,114,102,62,54,24,23,12,0,"1,171"
Abington - Abington ECC,00010003,46,139,198,179,,,,,,,,,,,0,562
Abington - Abington High,00010505,,,,,,,,,,,150,151,137,150,0,588
Abington - Center,00010005,,,,,43,52,49,54,,,,,,,0,198
Abington - Frolio Jr Hs,00010405,,,,,,,,,200,198,,,,,0,398
Abington - North,00010010,,,,,43,53,47,52,,,,,,,0,195
Abington - Woodsdale,00010015,,,,,93,109,93,96,,,,,,,0,391
Academy of Strategic Learning Charter (District) - Academy of Strategic Learning Charter School,04150505,,,,,,,,,4,7,9,10,10,9,0,49
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,,,,,,,,81,76,66,53,41,41,30,0,388
Acton - Douglas,00020020,,61,63,74,76,71,77,76,,,,,,,0,498
Acton - Gates,00020025,,59,63,72,75,71,76,74,,,,,,,0,490
Acton - Luther Conant,00020030,,63,64,76,75,70,70,71,,,,,,,0,489
Acton - McCarthy-Towne,00020015,,64,63,73,75,71,71,73,,,,,,,0,490
Acton - Merriam,00020010,33,64,63,76,76,94,94,97,,,,,,,0,597
Acton-Boxborough - Acton-Boxborough Reg High,06000505,,,,,,,,,,,469,500,474,441,2,"1,886"
Acton-Boxborough - Raymond J Grey JH,06000405,,,,,,,,,476,514,,,,,0,990
Acushnet - Acushnet Elementary Sch,00030025,27,106,102,112,134,111,,,,,,,,,0,592
Acushnet - Albert F Ford Middle Sch,00030305,,,,,,,109,118,134,132,,,,,0,493
Adams-Cheshire - Adams Middle,06030305,,,,,,,,87,130,131,,,,,0,348
Adams-Cheshire - Cheshire Elementary,06030004,18,39,37,25,35,41,41,33,,,,,,,0,269
Adams-Cheshire - Hoosac Valley High,06030505,,,,,,,,,,,124,121,110,118,4,477
Adams-Cheshire - Plunkett Elementary,06030020,25,98,82,81,88,94,90,,,,,,,,0,558
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,,,,,,,,146,143,120,,,,,0,409
Agawam - Agawam ECC,00050003,119,,,,,,,,,,,,,,0,119
Agawam - Agawam High,00050505,,,,,,,,,,,395,355,277,276,0,"1,303"
Agawam - Agawam Junior High,00050405,,,,,,,,,344,353,,,,,0,697
Agawam - Agawam Middle School,00050303,,,,,,,347,363,,,,,,,0,710
Agawam - Benjamin J Phelps,00050020,,68,74,74,82,92,,,,,,,,,0,390
Agawam - Clifford M Granger,00050010,,63,66,78,77,86,,,,,,,,,0,370
Agawam - James Clark School,00050030,,66,70,83,85,72,,,,,,,,,0,376
Agawam - Robinson Park,00050025,,80,78,84,85,82,,,,,,,,,0,409
Amesbury - Amesbury Elementary,00070005,48,82,69,85,76,83,,,,,,,,,0,443
Amesbury - Amesbury High,00070505,,,,,,,,,,,186,175,180,166,2,709
Amesbury - Amesbury Middle,00070013,,,,,,,193,175,178,205,,,,,0,751
Amesbury - Charles C Cashman El,00070010,31,104,102,106,94,93,,,,,,,,,0,530
Amherst - Crocker Farm Elementary,00080009,64,52,42,50,36,38,42,41,,,,,,,0,365
Amherst - Fort River Elementary,00080020,,53,57,64,69,69,59,97,,,,,,,0,468
Amherst - Marks Meadow Elementary School,00080030,,21,26,25,36,35,20,18,,,,,,,0,181
Amherst - Wildwood Elementary,00080050,,64,54,57,64,55,74,66,,,,,,,0,434
Amherst-Pelham - Amherst Regional High,06050505,,,,,,,,,,,307,320,328,349,0,"1,304"
Amherst-Pelham - Amherst Regional MS,06050405,,,,,,,,,272,281,,,,,0,553
Andover - Andover High,00090505,,,,,,,,,,,452,410,456,427,1,"1,746"
Andover - Andover West Middle,00090310,,,,,,,,168,169,171,,,,,0,508
Andover - Bancroft Elementary,00090003,,66,73,87,80,72,83,,,,,,,,0,461
Andover - Doherty Middle,00090305,,,,,,,,196,178,182,,,,,0,556
Andover - Henry C Sanborn Elem,00090010,,47,53,63,67,56,69,,,,,,,,0,355
Andover - High Plain Elementary,00090004,,76,75,87,89,109,97,,,,,,,,0,533
Andover - Shawsheen School,00090005,71,58,56,57,,,,,,,,,,,0,242
Andover - South Elementary,00090020,,90,88,88,112,94,85,,,,,,,,0,557
Andover - West Elementary,00090025,,66,78,106,121,143,132,,,,,,,,0,646
Andover - Wood Hill Middle School,00090350,,,,,,,,135,122,137,,,,,0,394
Arlington - Arlington High,00100505,,,,,,,,,,,250,304,287,300,0,"1,141"
Arlington - Brackett,00100010,,79,78,77,61,71,60,,,,,,,,0,426
Arlington - Cyrus E Dallin,00100025,,62,66,51,65,55,49,,,,,,,,0,348
Arlington - Hardy,00100030,,58,48,68,41,50,58,,,,,,,,0,323
Arlington - John A Bishop,00100005,,70,42,64,69,68,59,,,,,,,,0,372
Arlington - M Norcross Stratton,00100055,,67,52,41,53,54,33,,,,,,,,0,300
