DISTRICT,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Somerset Berkley Regional School District,07630000,0,0,0,0,0,0,0,0,0,0,208,256,238,223,0,925
Somerville,02740000,311,467,419,425,400,330,342,328,335,338,314,355,308,311,4,"4,987"
South Hadley,02780000,65,137,112,146,141,147,124,143,138,148,137,144,139,138,9,"1,868"
South Middlesex Regional Vocational Technical,08290000,0,0,0,0,0,0,0,0,0,0,179,170,192,152,0,693
South Shore Charter Public,04880000,0,43,43,46,45,44,45,46,45,44,52,46,43,45,0,587
South Shore Regional Vocational Technical,08730000,0,0,0,0,0,0,0,0,0,0,170,147,148,134,0,599
Southampton,02750000,45,60,66,82,70,65,77,76,0,0,0,0,0,0,0,541
Southborough,02760000,40,119,107,126,156,128,166,153,160,181,0,0,0,0,0,"1,336"
Southbridge,02770000,95,182,174,189,163,169,170,176,186,182,163,130,143,106,0,"2,228"
Southeastern Regional Vocational Technical,08720000,0,0,0,0,0,0,0,0,0,0,380,336,313,294,1,"1,324"
Southern Berkshire,07650000,22,77,47,67,56,61,54,48,55,52,50,51,68,54,0,762
Southern Worcester County Regional Vocational Technical,08760000,0,0,0,0,0,0,0,0,0,0,303,275,275,267,0,"1,120"
Southwick-Tolland-Granville Regional School District,07660000,48,102,103,112,105,118,120,118,137,134,131,123,156,126,3,"1,636"
Spencer-E Brookfield,07670000,98,134,137,138,143,141,114,122,116,135,105,135,83,94,4,"1,699"
Springfield,02810000,"1,107","2,176","2,269","2,103","1,997","1,920","1,789","1,727","1,692","1,825","2,310","1,836","1,475","1,345",74,"25,645"
Stoneham,02840000,109,159,174,170,163,165,168,192,206,179,155,173,144,159,1,"2,317"
Stoughton,02850000,115,269,258,274,306,254,242,289,310,328,278,254,262,216,3,"3,658"
Sturbridge,02870000,74,111,134,127,137,125,144,131,0,0,0,0,0,0,0,983
Sturgis Charter Public,04890000,0,0,0,0,0,0,0,0,0,0,200,189,206,211,0,806
Sudbury,02880000,59,247,279,312,317,309,341,328,325,357,0,0,0,0,0,"2,874"
