SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,0,117,125,122,123,121,128,123,117,109,96,87,81,79,0,"1,428"
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,131,96,117,128,5,477
Abington - Beaver Brook Elementary School,00010003,0,0,131,143,174,172,0,0,0,0,0,0,0,0,0,620
Abington - Center Elementary School,00010002,76,148,0,0,0,0,0,0,0,0,0,0,0,0,0,224
Abington - Frolio Middle School,00010405,0,0,0,0,0,0,0,0,156,149,0,0,0,0,0,305
Abington - Woodsdale Elementary School,00010015,0,0,0,0,0,0,156,174,0,0,0,0,0,0,0,330
Academy Of the Pacific Rim Charter Public - Academy Of the Pacific Rim Charter Public School,04120530,0,0,0,0,0,0,77,74,77,78,52,56,58,47,0,519
Acton-Boxborough - Acton-Boxborough Regional High,06000505,0,0,0,0,0,0,0,0,0,0,457,479,486,481,0,"1,903"
Acton-Boxborough - Blanchard Memorial School,06000005,21,41,40,52,67,59,59,75,0,0,0,0,0,0,0,414
Acton-Boxborough - C.T. Douglas Elementary School,06000020,0,61,64,69,68,72,74,72,0,0,0,0,0,0,0,480
Acton-Boxborough - Luther Conant School,06000030,0,40,68,67,66,73,73,72,0,0,0,0,0,0,0,459
Acton-Boxborough - McCarthy-Towne School,06000015,0,60,64,68,63,71,69,72,0,0,0,0,0,0,0,467
Acton-Boxborough - Merriam School,06000010,81,57,67,67,65,93,95,73,0,0,0,0,0,0,0,598
Acton-Boxborough - Paul P Gates Elementary School,06000025,0,61,44,44,66,72,71,72,0,0,0,0,0,0,0,430
Acton-Boxborough - Raymond J Grey Junior High,06000405,0,0,0,0,0,0,0,0,428,479,0,0,0,0,0,907
Acushnet - Acushnet Elementary School,00030025,51,96,101,87,105,113,0,0,0,0,0,0,0,0,0,553
Acushnet - Albert F Ford Middle School,00030305,0,0,0,0,0,0,78,116,111,115,0,0,0,0,0,420
Adams-Cheshire - Cheshire Elementary,06030004,44,33,29,32,30,26,29,0,0,0,0,0,0,0,0,223
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,0,0,0,0,0,0,0,96,113,115,79,95,73,91,0,662
Adams-Cheshire - Plunkett Elementary,06030020,0,83,80,76,73,69,86,0,0,0,0,0,0,0,0,467
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0,0,0,0,0,0,0,138,147,145,116,138,186,129,0,999
Agawam - Agawam Early Childhood Center,00050003,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,317,339,329,295,0,"1,280"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,300,317,0,0,0,0,0,617
Agawam - Benjamin J Phelps,00050020,0,76,94,79,76,81,0,0,0,0,0,0,0,0,0,406
Agawam - Clifford M Granger,00050010,0,54,55,64,66,64,0,0,0,0,0,0,0,0,0,303
Agawam - James Clark School,00050030,0,52,73,62,61,84,0,0,0,0,0,0,0,0,0,332
Agawam - Roberta G. Doering School,00050303,0,0,0,0,0,0,266,316,3,5,0,0,0,0,0,590
Agawam - Robinson Park,00050025,0,71,73,81,91,82,0,0,0,0,0,0,0,0,0,398
Alma del Mar Charter School - Alma del Mar Charter School,04090205,0,39,40,38,44,38,41,0,0,0,0,0,0,0,0,240
Amesbury - Amesbury Elementary,00070005,29,87,83,74,86,74,0,0,0,0,0,0,0,0,0,433
Amesbury - Amesbury High,00070505,0,0,0,0,0,0,0,0,0,0,160,154,168,136,3,621
Amesbury - Amesbury Middle,00070013,0,0,0,0,0,0,177,175,192,180,0,0,0,0,0,724
Amesbury - Charles C Cashman Elementary,00070010,36,83,93,93,106,91,0,0,0,0,0,0,0,0,0,502
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150505,0,0,0,0,0,0,0,0,0,0,9,15,9,13,0,46
Amherst - Crocker Farm Elementary,00080009,61,40,55,43,60,54,47,62,0,0,0,0,0,0,0,422
Amherst - Fort River Elementary,00080020,0,43,43,65,58,45,60,52,0,0,0,0,0,0,0,366
Amherst - Wildwood Elementary,00080050,0,57,51,64,49,55,66,70,0,0,0,0,0,0,0,412
Amherst-Pelham - Amherst Regional High,06050505,0,0,0,0,0,0,0,0,0,0,244,236,233,263,4,980
Amherst-Pelham - Amherst Regional Middle School,06050405,0,0,0,0,0,0,0,0,221,240,0,0,0,0,0,461
Andover - Andover High,00090505,0,0,0,0,0,0,0,0,0,0,420,477,432,415,16,"1,760"
Andover - Andover West Middle,00090310,0,0,0,0,0,0,0,182,192,193,0,0,0,0,0,567
Andover - Bancroft Elementary,00090003,0,65,62,80,90,95,70,0,0,0,0,0,0,0,0,462
Andover - Doherty Middle,00090305,0,0,0,0,0,0,0,190,192,192,0,0,0,0,0,574
Andover - Henry C Sanborn Elementary,00090010,0,46,48,61,73,72,66,0,0,0,0,0,0,0,0,366
Andover - High Plain Elementary,00090004,0,56,76,82,95,104,110,0,0,0,0,0,0,0,0,523
Andover - Shawsheen School,00090005,60,70,50,53,0,0,0,0,0,0,0,0,0,0,0,233
Andover - South Elementary,00090020,0,69,73,79,96,96,106,0,0,0,0,0,0,0,0,519
Andover - West Elementary,00090025,3,69,78,89,125,152,137,0,0,0,0,0,0,0,0,653
Andover - Wood Hill Middle School,00090350,0,0,0,0,0,0,0,158,124,137,0,0,0,0,0,419
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,103
Arlington - Arlington High,00100505,0,0,0,0,0,0,0,0,0,0,306,289,310,312,0,"1,217"
