DISTRICT,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Regional Charter,04450000,0,116,115,118,91,112,103,75,57,43,33,26,0,0,0,889
Abington,00010000,40,179,210,201,200,203,189,210,200,214,148,150,166,144,3,"2,457"
Academy of Strategic Learning HMCS,04150000,0,0,0,0,0,0,0,0,3,7,10,9,9,7,0,45
Academy Of the Pacific Rim Charter,04120000,0,0,0,0,0,0,0,77,69,59,42,31,27,22,0,327
Acton,00020000,28,334,350,371,362,357,368,352,0,0,0,0,0,0,0,"2,522"
Acton-Boxborough,06000000,0,0,0,0,0,0,0,0,472,458,441,433,400,407,0,"2,611"
Acushnet,00030000,22,114,92,102,108,121,120,129,151,150,0,0,0,0,0,"1,109"
Adams-Cheshire,06030000,35,123,137,139,135,138,143,149,177,146,148,127,127,120,3,"1,847"
Agawam,00050000,124,297,314,335,338,325,354,338,367,369,369,289,261,255,0,"4,335"
Amesbury,00070000,109,183,196,188,179,193,210,215,205,238,196,227,189,192,6,"2,726"
Amherst,00080000,54,178,206,193,201,205,220,205,0,0,0,0,0,0,0,"1,462"
Amherst-Pelham,06050000,0,0,0,0,0,0,0,0,326,337,378,319,349,332,0,"2,041"
Andover,00090000,62,409,425,438,482,461,493,476,478,503,468,464,375,405,0,"5,939"
Arlington,00100000,87,393,411,379,374,354,353,294,338,344,275,287,263,273,0,"4,425"
Ashburnham-Westminster,06100000,61,178,168,158,188,187,179,202,211,228,166,166,165,176,6,"2,439"
Ashland,00140000,142,218,191,218,207,204,201,200,192,191,167,173,143,143,0,"2,590"
Assabet Valley,08010000,0,0,0,0,0,0,0,0,0,0,254,240,223,180,0,897
Athol-Royalston,06150000,30,164,162,143,173,168,183,169,165,216,187,172,136,132,1,"2,201"
Atlantis Charter,04910000,0,104,88,84,69,69,72,72,68,67,0,0,0,0,0,693
Attleboro,00160000,140,458,493,494,491,469,495,498,486,564,580,488,466,409,0,"6,531"
Auburn,00170000,68,149,174,182,202,200,189,210,180,184,152,162,165,154,1,"2,372"
Avon,00180000,15,35,48,56,47,49,55,54,63,63,69,50,52,46,0,702
Ayer,00190000,93,118,110,89,122,119,92,95,93,85,101,92,101,80,0,"1,390"
Barnstable,00200000,70,468,483,496,505,510,0,0,481,582,601,488,499,403,0,"5,586"
Barnstable HMCS,04230000,0,0,0,0,0,0,435,526,0,0,0,0,0,0,0,961
Bedford,00230000,16,156,177,154,179,162,175,161,187,160,183,206,175,155,0,"2,246"
Belchertown,00240000,38,189,189,205,201,182,219,200,200,206,218,167,148,151,0,"2,513"
Bellingham,00250000,18,191,226,199,194,218,217,216,206,217,215,217,194,201,0,"2,729"
Belmont,00260000,42,276,254,286,272,269,295,296,290,293,314,286,291,249,0,"3,713"
Benjamin Banneker Charter,04200000,0,39,41,44,38,37,37,25,35,33,0,0,0,0,0,329
Benjamin Franklin Classical Charter,04470000,0,44,43,44,44,46,48,38,48,26,0,0,0,0,0,381
Berkley,00270000,91,97,99,88,104,99,111,119,126,88,0,0,0,0,0,"1,022"
Berkshire Hills,06180000,8,64,69,74,69,80,80,109,105,115,166,154,158,164,0,"1,415"
Berlin,00280000,8,36,34,28,41,34,36,29,0,0,0,0,0,0,0,246
Berlin-Boylston,06200000,0,0,0,0,0,0,0,0,91,83,76,81,59,71,0,461
Beverly,00300000,59,319,345,362,368,353,341,367,355,363,405,314,282,324,0,"4,557"
Billerica,00310000,102,498,574,523,537,555,490,530,499,559,400,388,369,371,0,"6,395"
Blackstone Valley Reg,08050000,0,0,0,0,0,0,0,0,0,0,225,209,196,191,0,821
Blackstone-Millville,06220000,106,135,140,176,187,178,166,206,217,182,179,135,169,118,0,"2,294"
Blue Hills Voc,08060000,0,0,0,0,0,0,0,0,0,0,205,216,199,189,0,809
Boston,00350000,981,"3,945","4,489","4,193","4,612","4,481","4,564","4,332","4,958","4,893","6,169","4,646","4,031","3,856",0,"60,150"
Boston Evening Academy HMCS,04240000,0,0,0,0,0,0,0,0,0,0,0,0,163,38,0,201
Boston Renaissance Charter,04810000,0,263,139,143,189,171,170,139,93,93,0,0,0,0,0,"1,400"
Bourne,00360000,44,202,225,201,217,171,201,232,201,203,190,148,151,144,2,"2,532"
Boxborough,00370000,13,65,67,91,87,86,108,94,0,0,0,0,0,0,0,611
Boxford,00380000,61,125,128,148,124,145,136,171,0,0,0,0,0,0,0,"1,038"
Boylston,00390000,0,46,48,50,54,55,57,67,0,0,0,0,0,0,0,377
Braintree,00400000,102,313,363,406,425,384,399,392,421,419,338,380,341,316,4,"5,003"
Brewster,00410000,0,79,87,74,89,106,102,0,0,0,0,0,0,0,0,537
Bridgewater-Raynham,06250000,121,462,478,478,496,453,497,506,518,489,410,415,379,359,0,"6,061"
Brimfield,00430000,55,41,43,39,49,37,51,50,0,0,0,0,0,0,0,365
Bristol County Agr,09100000,0,0,0,0,0,0,0,0,0,0,117,107,103,88,0,415
Bristol-Plymouth Voc Tech,08100000,0,0,0,0,0,0,0,0,0,0,253,249,224,172,0,898
Brockton,00440000,330,"1,258","1,167","1,206","1,306","1,275","1,327","1,389","1,418","1,415","1,410","1,186",946,821,17,"16,471"
Brookfield,00450000,36,26,36,27,43,48,45,43,0,0,0,0,0,0,0,304
Brookline,00460000,207,406,439,432,411,418,446,437,464,448,474,492,491,453,4,"6,022"
Burlington,00480000,0,278,291,292,266,274,292,280,282,303,240,232,239,217,0,"3,486"
Cambridge,00490000,54,697,479,476,483,456,466,486,475,482,467,495,454,467,0,"6,437"
Canton,00500000,55,205,253,238,249,259,239,238,210,231,227,207,181,214,0,"3,006"
Cape Cod Lighthouse Charter,04320000,0,0,0,0,0,0,0,60,60,60,0,0,0,0,0,180
Cape Cod Region Voc Tech,08150000,0,0,0,0,0,0,0,0,0,0,182,188,175,154,0,699
Carlisle,00510000,13,76,73,92,102,109,84,96,74,100,0,0,0,0,0,819
Carver,00520000,39,135,169,160,169,152,168,200,172,174,136,152,131,137,3,"2,097"
Central Berkshire,06350000,25,138,156,132,138,159,167,181,179,224,225,190,181,191,0,"2,286"
Champion HMCS,04340000,0,0,0,0,0,0,0,0,0,0,46,22,4,15,0,87
Chatham,00550000,17,55,55,59,55,56,55,44,54,62,52,52,59,55,1,731
Chelmsford,00560000,63,418,469,428,443,459,434,439,431,466,470,445,406,402,0,"5,773"
Chelsea,00570000,295,475,504,439,447,371,451,420,463,480,512,341,304,170,6,"5,678"
Chesterfield-Goshen,06320000,21,25,19,21,25,22,18,26,0,0,0,0,0,0,0,177
Chicopee,00610000,195,512,500,502,539,588,561,566,621,613,640,645,574,472,0,"7,528"
City On A Hill Charter,04370000,0,0,0,0,0,0,0,0,0,0,66,93,51,38,0,248
Clarksburg,00630000,0,12,20,15,31,28,20,24,33,19,0,0,0,0,0,202
Clinton,00640000,110,144,145,123,156,142,163,151,181,148,163,136,139,119,0,"2,020"
Codman Academy Charter,04380000,0,0,0,0,0,0,0,0,0,0,32,29,20,0,0,81
Cohasset,00650000,0,114,110,115,124,128,121,137,112,101,115,99,81,87,0,"1,444"
Community Day Charter,04400000,0,42,46,46,23,23,24,45,28,29,0,0,0,0,0,306
Concord,00670000,21,223,217,212,214,189,233,231,230,204,0,0,0,0,0,"1,974"
Concord-Carlisle,06400000,0,0,0,0,0,0,0,0,0,0,300,325,302,274,0,"1,201"
Conservatory Lab Charter,04390000,0,22,22,26,20,21,15,0,0,0,0,0,0,0,0,126
Conway,00680000,7,21,18,19,22,19,22,24,0,0,0,0,0,0,0,152
Danvers,00710000,53,240,297,268,283,267,292,321,282,317,265,262,253,257,0,"3,657"
Dartmouth,00720000,42,260,299,330,301,323,315,339,390,379,322,355,308,304,4,"4,271"
Dedham,00730000,122,196,219,248,226,255,248,265,204,247,216,190,177,183,0,"2,996"
Deerfield,00740000,32,60,60,61,59,62,60,57,0,0,0,0,0,0,0,451
Dennis-Yarmouth,06450000,86,302,295,321,321,343,337,341,342,383,276,340,277,241,3,"4,208"
Dighton-Rehoboth,06500000,93,217,232,228,256,251,238,281,278,288,271,230,261,266,0,"3,390"
Douglas,00770000,142,111,139,144,97,127,127,126,127,117,88,85,89,66,3,"1,588"
Dover,00780000,15,103,103,91,112,108,86,0,0,0,0,0,0,0,0,618
Dover-Sherborn,06550000,0,0,0,0,0,0,0,179,172,154,155,123,138,111,0,"1,032"
Dracut,00790000,56,292,321,336,327,316,366,375,394,360,342,288,260,230,0,"4,263"
