SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,0,117,120,121,120,111,126,116,120,113,86,88,91,97,0,"1,426"
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,117,136,110,139,0,502
Abington - Beaver Brook Elementary School,00010003,0,0,171,179,157,178,0,0,0,0,0,0,0,0,0,685
Abington - Center Elementary School,00010002,55,135,0,0,0,0,0,0,0,0,0,0,0,0,0,190
Abington - Frolio Middle School,00010405,0,0,0,0,0,0,0,0,179,165,0,0,0,0,0,344
Abington - Woodsdale Elementary School,00010015,0,0,0,0,0,0,156,154,0,0,0,0,0,0,0,310
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,0,0,0,0,0,0,75,74,74,82,79,53,40,26,0,503
Acton - Douglas,00020020,0,60,64,67,74,72,71,75,0,0,0,0,0,0,0,483
Acton - Gates,00020025,0,39,64,65,75,70,70,77,0,0,0,0,0,0,0,460
Acton - Luther Conant,00020030,0,56,65,67,74,70,72,79,0,0,0,0,0,0,0,483
Acton - McCarthy-Towne,00020015,0,57,64,68,73,71,70,78,0,0,0,0,0,0,0,481
Acton - Merriam,00020010,79,59,63,90,93,72,72,77,0,0,0,0,0,0,0,605
Acton-Boxborough - Acton-Boxborough Regional High,06000505,0,0,0,0,0,0,0,0,0,0,490,473,529,483,1,"1,976"
Acton-Boxborough - Raymond J Grey Junior High,06000405,0,0,0,0,0,0,0,0,460,475,0,0,0,0,0,935
Acushnet - Acushnet Elementary School,00030025,47,73,102,107,73,113,0,0,0,0,0,0,0,0,0,515
Acushnet - Albert F Ford Middle School,00030305,0,0,0,0,0,0,110,117,112,122,0,0,0,0,0,461
Adams-Cheshire - Cheshire Elementary,06030004,0,32,28,30,28,23,26,0,0,0,0,0,0,0,0,167
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,0,0,0,0,0,0,0,110,105,112,72,105,94,95,0,693
Adams-Cheshire - Plunkett Elementary,06030020,56,85,80,66,93,82,78,0,0,0,0,0,0,0,0,540
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0,0,0,0,0,0,0,141,132,179,201,143,103,71,0,970
Agawam - Agawam Early Childhood Center,00050003,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,370,321,313,323,0,"1,327"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,298,346,0,0,0,0,0,644
Agawam - Benjamin J Phelps,00050020,0,69,64,81,68,77,0,0,0,0,0,0,0,0,0,359
Agawam - Clifford M Granger,00050010,0,61,62,59,57,70,0,0,0,0,0,0,0,0,0,309
Agawam - James Clark School,00050030,0,57,62,88,66,81,0,0,0,0,0,0,0,0,0,354
Agawam - Roberta G. Doering School,00050303,0,0,0,0,0,1,281,312,3,5,0,0,0,0,0,602
Agawam - Robinson Park,00050025,0,79,79,74,68,83,0,0,0,0,0,0,0,0,0,383
