SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School,04450105,0,0,99,87,86,84,89,88,0,0,0,0,0,0,0,0,0,533
Abington - Abington ECC,00010003,0,33,167,202,187,0,0,0,0,0,0,0,0,0,0,0,0,589
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,0,132,147,127,160,0,0,566
Abington - Center,00010005,0,0,0,0,0,46,50,44,51,0,0,0,0,0,0,0,0,191
Abington - Frolio Jr Hs,00010405,0,0,0,0,0,0,0,0,0,193,178,0,0,0,0,0,0,371
Abington - North,00010010,0,0,0,0,0,50,45,48,41,0,0,0,0,0,0,0,0,184
Abington - Woodsdale,00010015,0,0,0,0,0,100,96,80,100,0,0,0,0,0,0,0,0,376
Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School,04120530,0,0,0,0,0,0,0,0,76,52,22,0,0,0,0,0,0,150
Acton - Douglas,00020020,0,0,75,68,78,77,73,74,54,0,0,0,0,0,0,0,0,499
Acton - Gates,00020025,0,0,75,72,74,81,66,61,93,0,0,0,0,0,0,0,0,522
Acton - Luther Conant,00020030,0,0,70,69,78,73,75,76,82,0,0,0,0,0,0,0,0,523
Acton - McCarthy-Towne,00020015,0,0,68,66,76,70,73,70,81,0,0,0,0,0,0,0,0,504
Acton - Merriam,00020010,0,0,50,45,50,50,48,46,35,0,0,0,0,0,0,0,0,324
Acton-Boxborough - Acton-Boxborough Reg High,06000505,16,0,0,0,0,0,0,0,0,0,0,336,372,342,303,0,0,"1,369"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,0,420,389,0,0,0,0,0,0,809
Acushnet - Acushnet Elementary Sch,00030025,0,28,80,107,113,126,115,126,0,0,0,0,0,0,0,0,0,695
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,0,0,137,129,136,0,0,0,0,0,0,402
Adams-Cheshire - Adams Middle,06030305,0,0,0,0,0,0,0,0,102,174,173,0,0,0,0,0,0,449
Adams-Cheshire - Cheshire Elementary,06030004,0,6,43,38,46,37,63,39,46,0,0,0,0,0,0,0,0,318
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,0,0,0,156,126,142,100,0,0,524
Adams-Cheshire - Plunkett Elementary,06030020,0,43,105,92,116,106,118,82,0,0,0,0,0,0,0,0,0,662
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,0,403,332,276,285,0,0,"1,296"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,0,330,305,0,0,0,0,0,0,635
Agawam - Agawam Middle School,00050303,0,0,0,0,0,0,0,307,349,0,0,0,0,0,0,0,0,656
Agawam - Benjamin J Phelps,00050020,0,0,75,83,102,92,77,0,0,0,0,0,0,0,0,0,0,429
Agawam - Clifford M Granger,00050010,0,0,87,101,89,98,99,0,0,0,0,0,0,0,0,0,0,474
Agawam - James Clark School,00050030,6,0,69,92,69,75,72,0,0,0,0,0,0,0,0,0,0,383
Agawam - Robinson Park,00050025,0,0,76,75,78,82,82,0,0,0,0,0,0,0,0,0,0,393
Amesbury - Amesbury Elementary,00070005,0,27,39,129,116,117,112,0,0,0,0,0,0,0,0,0,0,540
Amesbury - Amesbury High,00070505,0,0,0,0,0,0,0,0,0,0,0,221,166,175,142,0,0,704
Amesbury - Amesbury Middle,00070013,0,0,0,0,0,0,0,254,228,255,223,0,0,0,0,0,0,960
Amesbury - Charles C Cashman El,00070010,0,0,55,106,116,136,103,0,0,0,0,0,0,0,0,0,0,516
Amesbury - Horace Mann,00070003,0,28,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
Amherst - Crocker Farm Elementary,00080009,0,0,41,44,47,57,65,51,61,0,0,0,0,0,0,0,0,366
Amherst - Fort River Elementary,00080020,0,29,55,67,70,70,77,77,90,0,0,0,0,0,0,0,0,535
Amherst - Marks Meadow Laboratory,00080030,0,0,22,30,37,28,26,23,34,0,0,0,0,0,0,0,0,200
Amherst - Wildwood Elementary,00080050,0,33,83,56,83,71,81,73,74,0,0,0,0,0,0,0,0,554
Amherst-Pelham - Amherst Regional High,06050505,0,0,0,0,0,0,0,0,0,0,0,363,317,318,318,0,0,"1,316"
Amherst-Pelham - Amherst Regional MS,06050405,0,0,0,0,0,0,0,0,0,362,329,0,0,0,0,0,0,691
Andover - Andover High,00090505,0,0,0,0,0,0,0,0,0,0,0,414,385,350,331,0,0,"1,480"
Andover - Andover West Middle,00090310,0,0,0,0,0,0,0,0,204,227,223,0,0,0,0,0,0,654
Andover - Bancroft Elementary,00090003,0,0,82,95,103,123,125,96,0,0,0,0,0,0,0,0,0,624
Andover - Doherty Middle,00090305,0,0,0,0,0,0,0,0,256,242,243,0,0,0,0,0,0,741
Andover - Henry C Sanborn Elem,00090010,0,0,62,78,88,79,90,89,0,0,0,0,0,0,0,0,0,486
Andover - Shawsheen School,00090005,0,36,105,79,81,0,0,0,0,0,0,0,0,0,0,0,0,301
Andover - South Elementary,00090020,0,0,86,104,98,97,115,110,0,0,0,0,0,0,0,0,0,610
Andover - West Elementary,00090025,0,0,78,90,105,183,174,208,0,0,0,0,0,0,0,0,0,838
Arlington - Arlington High,00100505,0,0,0,0,0,0,0,0,0,0,0,259,260,253,265,0,0,"1,037"
Arlington - Brackett,00100010,0,0,32,47,53,53,46,54,0,0,0,0,0,0,0,0,0,285
Arlington - Cyrus E Dallin,00100025,0,0,76,59,61,66,64,61,0,0,0,0,0,0,0,0,0,387
Arlington - Hardy,00100030,9,0,61,48,52,45,62,52,0,0,0,0,0,0,0,0,0,329
Arlington - John A Bishop,00100005,0,0,55,62,71,64,68,62,0,0,0,0,0,0,0,0,0,382
Arlington - M Norcross Stratton,00100055,8,0,56,38,48,43,44,39,0,0,0,0,0,0,0,0,0,276
Arlington - Ottoson Middle,00100410,0,0,0,0,0,0,0,0,341,326,299,0,0,0,0,0,0,966
Arlington - Peirce,00100045,0,0,36,42,35,34,36,43,0,0,0,0,0,0,0,0,0,226
Arlington - Thompson,00100050,0,0,60,55,53,67,46,53,0,0,0,0,0,0,0,0,0,334
Ashburnham-Westminster - Briggs Elem,06100025,0,0,64,73,75,89,92,92,0,0,0,0,0,0,0,0,0,485
Ashburnham-Westminster - Meetinghouse School,06100010,0,0,83,99,99,0,0,0,0,0,0,0,0,0,0,0,0,281
Ashburnham-Westminster - Oakmont Regional H S,06100505,0,0,0,0,0,0,0,0,0,0,0,182,174,168,152,0,0,676
Ashburnham-Westminster - Overlook Middle School,06100305,0,0,0,0,0,0,0,0,214,229,210,0,0,0,0,0,0,653
Ashburnham-Westminster - Westminster Elem,06100005,0,29,0,0,0,116,100,91,0,0,0,0,0,0,0,0,0,336
Ashland - Ashland High,00140505,0,0,0,0,0,0,0,0,0,0,0,162,136,142,110,0,0,550
Ashland - Ashland Middle,00140405,0,0,0,0,0,0,0,0,0,153,166,0,0,0,0,0,0,319
Ashland - David Mindess,00140015,0,0,0,0,0,0,183,199,162,0,0,0,0,0,0,0,0,544
Ashland - Henry E Warren Elem,00140010,0,0,0,209,188,187,0,0,0,0,0,0,0,0,0,0,0,584
Ashland - William Pittaway Elem,00140005,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
Assabet Valley - Assabet Valley Voc H S,08010605,0,0,0,0,0,0,0,0,0,0,0,222,202,219,181,111,0,935
Athol-Royalston - Athol High,06150505,1,0,0,0,0,0,0,0,0,0,0,162,160,135,128,0,0,586
Athol-Royalston - Athol-Royalston Middle School,06150305,0,0,0,0,0,0,0,0,0,213,212,0,0,0,0,0,0,425
Athol-Royalston - Ellen Bigelow,06150005,0,0,37,34,16,50,20,0,0,0,0,0,0,0,0,0,0,157
Athol-Royalston - Lyman Ward ELC,06150002,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Athol-Royalston - Pleasant St,06150016,0,0,37,24,43,50,46,38,39,0,0,0,0,0,0,0,0,277
Athol-Royalston - Riverbend,06150020,4,0,0,0,0,0,42,117,107,0,0,0,0,0,0,0,0,270
Athol-Royalston - Royalston Community Sch,06150050,12,0,16,17,20,24,22,20,17,0,0,0,0,0,0,0,0,148
Athol-Royalston - Sanders Street,06150025,0,0,44,30,22,47,0,0,0,0,0,0,0,0,0,0,0,143
Athol-Royalston - Silver Lake,06150030,0,0,23,39,32,45,46,0,0,0,0,0,0,0,0,0,0,185
Atlantis Charter - Atlantis Charter School,04910550,0,0,72,65,71,72,73,72,25,25,25,0,0,0,0,0,0,500
Attleboro - A. Irvin Studley Elementary School,00160001,0,0,102,136,107,136,128,0,0,0,0,0,0,0,0,0,0,609
Attleboro - Attleboro High,00160505,0,0,0,0,0,0,0,0,0,0,0,524,331,281,327,0,0,"1,463"
