SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Regional Charter Public (District) - Abby Kelley Foster Regional Charter Public School,04450105,0,156,145,143,143,134,125,119,69,56,24,27,13,21,0,"1,175"
Abington - Abington ECC,00010003,33,187,180,179,0,0,0,0,0,0,0,0,0,0,0,579
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,153,136,151,138,0,578
Abington - Center,00010005,0,0,0,0,54,46,52,54,0,0,0,0,0,0,0,206
Abington - Frolio Jr Hs,00010405,0,0,0,0,0,0,0,0,194,207,0,0,0,0,0,401
Abington - North,00010010,0,0,0,0,49,49,51,54,0,0,0,0,0,0,0,203
Abington - Woodsdale,00010015,0,0,0,0,107,94,93,97,0,0,0,0,0,0,0,391
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,0,0,0,0,0,0,0,0,4,5,12,8,10,11,0,50
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,0,0,0,0,0,0,0,81,70,64,40,46,29,22,0,352
Acton - Douglas,00020020,0,61,70,70,71,77,75,68,0,0,0,0,0,0,0,492
Acton - Gates,00020025,0,62,71,71,73,74,70,71,0,0,0,0,0,0,0,492
Acton - Luther Conant,00020030,0,63,72,71,70,69,65,70,0,0,0,0,0,0,0,480
Acton - McCarthy-Towne,00020015,0,60,70,74,67,72,74,91,0,0,0,0,0,0,0,508
Acton - Merriam,00020010,24,62,70,73,92,90,92,71,0,0,0,0,0,0,0,574
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0,0,0,0,0,0,0,0,0,0,501,461,449,431,3,"1,845"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,500,452,0,0,0,0,0,952
Acushnet - Acushnet Elementary Sch,00030025,25,101,104,130,101,115,0,0,0,0,0,0,0,0,0,576
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,112,133,131,135,0,0,0,0,0,511
Adams-Cheshire - Adams Middle,06030305,0,0,0,0,0,0,0,97,137,144,0,0,0,0,0,378
Adams-Cheshire - Cheshire Elementary,06030004,17,41,28,35,40,42,33,32,0,0,0,0,0,0,0,268
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,0,0,134,100,137,102,5,478
Adams-Cheshire - Plunkett Elementary,06030020,22,84,83,83,97,94,100,0,0,0,0,0,0,0,0,563
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0,0,0,0,0,0,0,124,115,0,0,0,0,0,0,239
Agawam - Agawam ECC,00050003,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,426,327,274,246,0,"1,273"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,342,356,0,0,0,0,0,698
Agawam - Agawam Middle School,00050303,0,0,0,0,0,0,351,340,0,0,0,0,0,0,0,691
Agawam - Benjamin J Phelps,00050020,0,68,69,76,90,88,0,0,0,0,0,0,0,0,0,391
Agawam - Clifford M Granger,00050010,0,60,83,77,80,86,0,0,0,0,0,0,0,0,0,386
Agawam - James Clark School,00050030,0,73,77,83,75,82,0,0,0,0,0,0,0,0,0,390
Agawam - Robinson Park,00050025,0,74,86,87,88,84,0,0,0,0,0,0,0,0,0,419
Amesbury - Amesbury Elementary,00070005,52,72,78,77,83,94,0,0,0,0,0,0,0,0,0,456
Amesbury - Amesbury High,00070505,0,0,0,0,0,0,0,0,0,0,174,201,176,189,5,745
Amesbury - Amesbury Middle,00070013,0,0,0,0,0,0,174,184,208,200,0,0,0,0,0,766
Amesbury - Charles C Cashman El,00070010,42,100,110,95,95,94,0,0,0,0,0,0,0,0,0,536
Amherst - Crocker Farm Elementary,00080009,68,46,52,37,45,49,39,43,0,0,0,0,0,0,0,379
Amherst - Fort River Elementary,00080020,0,59,58,61,70,60,88,77,0,0,0,0,0,0,0,473
Amherst - Marks Meadow Laboratory,00080030,0,30,25,38,35,22,19,24,0,0,0,0,0,0,0,193
Amherst - Wildwood Elementary,00080050,0,56,57,60,53,73,59,67,0,0,0,0,0,0,0,425
Amherst-Pelham - Amherst Regional High,06050505,0,0,0,0,0,0,0,0,0,0,330,328,346,315,0,"1,319"
Amherst-Pelham - Amherst Regional MS,06050405,0,0,0,0,0,0,0,0,287,287,0,0,0,0,0,574
Andover - Andover High,00090505,0,0,0,0,0,0,0,0,0,0,423,469,445,441,2,"1,780"
Andover - Andover West Middle,00090310,0,0,0,0,0,0,0,172,167,168,0,0,0,0,0,507
Andover - Bancroft Elementary,00090003,0,66,88,78,73,87,83,0,0,0,0,0,0,0,0,475
