SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABINGTON - ABINGTON ECC,00010003,0,30,187,208,198,0,0,0,0,0,0,0,0,0,0,0,0,623
ABINGTON - ABINGTON HIGH,00010505,0,0,0,0,0,0,0,0,0,0,0,136,163,140,163,0,0,602
ABINGTON - CENTER,00010005,0,0,0,0,0,50,55,50,45,0,0,0,0,0,0,0,0,200
ABINGTON - FROLIO JR HS,00010405,0,0,0,0,0,0,0,0,0,171,191,0,0,0,0,0,0,362
ABINGTON - NORTH,00010010,0,0,0,0,0,54,53,56,54,0,0,0,0,0,0,0,0,217
ABINGTON - WOODSDALE,00010015,0,0,0,0,0,72,91,82,87,0,0,0,0,0,0,0,0,332
ACTON - DOUGLAS,00020020,0,0,66,72,67,74,52,51,75,0,0,0,0,0,0,0,0,457
ACTON - GATES,00020025,0,0,64,72,71,64,88,88,63,0,0,0,0,0,0,0,0,510
ACTON - LUTHER CONANT,00020030,0,0,68,70,68,75,77,75,78,0,0,0,0,0,0,0,0,511
ACTON - MCCARTHY-TOWNE,00020015,0,0,69,69,66,72,79,77,51,0,0,0,0,0,0,0,0,483
ACTON - MERRIAM,00020010,0,0,44,48,40,46,31,40,51,0,0,0,0,0,0,0,0,300
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,16,0,0,0,0,0,0,0,0,0,0,355,321,288,325,0,0,"1,305"
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,0,0,0,0,0,0,0,0,0,346,369,0,0,0,0,0,0,715
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,0,24,89,112,102,108,122,114,0,0,0,0,0,0,0,0,0,671
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,0,0,0,0,0,0,0,0,123,126,112,0,0,0,0,0,0,361
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,0,0,0,0,0,0,0,0,132,171,161,0,0,0,0,0,0,464
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,0,8,44,39,71,42,46,50,42,0,0,0,0,0,0,0,0,342
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0,0,0,0,0,0,0,0,0,0,0,159,116,147,124,0,0,546
