DISTRICT,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Regional Charter Public (District),04450000,0,158,143,144,143,96,137,83,63,52,27,20,21,0,0,"1,087"
Abington,00010000,41,169,180,207,194,201,204,190,207,202,137,147,146,161,2,"2,388"
Academy of Strategic Learning HMCS,04150000,0,0,0,0,0,0,0,0,2,8,11,10,11,8,0,50
Academy Of the Pacific Rim Charter Public (District),04120000,0,0,0,0,0,0,0,77,71,53,50,30,25,27,0,333
Acton,00020000,33,331,353,365,377,366,363,380,0,0,0,0,0,0,0,"2,568"
Acton-Boxborough,06000000,0,0,0,0,0,0,0,0,450,465,463,440,434,383,0,"2,635"
Acushnet,00030000,31,97,126,97,114,104,128,127,141,152,0,0,0,0,0,"1,117"
Adams-Cheshire,06030000,40,112,130,141,135,140,133,144,145,175,109,149,104,123,2,"1,782"
Agawam,00050000,104,292,321,323,342,344,335,345,355,357,395,307,246,270,0,"4,336"
Amesbury,00070000,89,198,188,187,189,172,189,212,197,189,237,183,194,184,5,"2,613"
Amherst,00080000,61,192,191,207,193,209,209,221,0,0,0,0,0,0,0,"1,483"
Amherst-Pelham,06050000,0,0,0,0,0,0,0,0,287,318,332,358,310,340,0,"1,945"
Andover,00090000,71,441,436,442,448,480,468,481,478,483,470,444,456,358,3,"5,959"
Arlington,00100000,78,406,405,406,374,364,362,346,292,334,287,280,300,252,0,"4,486"
Ashburnham-Westminster,06100000,58,154,186,167,151,187,201,183,213,220,196,169,160,163,8,"2,416"
Ashland,00140000,121,214,244,179,221,209,201,209,196,184,171,166,169,145,0,"2,629"
Assabet Valley,08010000,0,0,0,0,0,0,0,0,0,0,242,252,216,197,0,907
Athol-Royalston,06150000,42,129,156,167,150,169,174,187,169,159,195,186,134,122,1,"2,140"
Atlantis Charter,04910000,0,85,89,92,92,69,71,72,66,64,0,0,0,0,0,700
Attleboro,00160000,140,439,469,468,473,476,447,492,503,461,587,510,435,408,0,"6,308"
Auburn,00170000,76,138,146,172,188,202,201,186,217,180,153,167,152,160,1,"2,339"
Avon,00180000,12,39,45,51,57,51,58,58,63,65,60,62,58,44,0,723
Ayer,00190000,90,111,106,100,87,107,112,93,84,94,97,95,90,102,0,"1,368"
Barnstable,00200000,134,343,384,415,413,426,0,0,520,494,596,490,480,406,0,"5,101"
Barnstable HMCS,04230000,0,0,0,0,0,0,466,427,0,0,0,0,0,0,0,893
Bedford,00230000,19,175,164,179,161,186,160,169,153,187,196,180,184,166,0,"2,279"
Belchertown,00240000,40,164,182,195,209,203,188,225,199,204,209,201,166,153,0,"2,538"
Bellingham,00250000,22,187,207,219,198,187,222,223,217,206,202,208,206,189,0,"2,693"
Belmont,00260000,56,248,272,251,275,274,273,306,284,293,309,298,287,285,0,"3,711"
Benjamin Banneker Charter Public (District),04200000,0,49,38,35,34,37,29,31,19,30,0,0,0,0,0,302
Benjamin Franklin Classical Charter Public (District),04470000,0,44,45,44,46,45,47,44,37,48,0,0,0,0,0,400
Berkley,00270000,78,104,104,103,88,101,103,109,129,117,0,0,0,0,0,"1,036"
Berkshire Arts and Technology Charter,04140000,0,0,0,0,0,0,0,37,0,0,27,0,0,0,0,64
Berkshire Hills,06180000,10,75,68,69,78,66,82,87,127,117,145,182,147,138,0,"1,391"
Berlin,00280000,12,45,33,34,27,38,34,34,0,0,0,0,0,0,0,257
Berlin-Boylston,06200000,0,0,0,0,0,0,0,0,97,89,68,76,73,57,0,460
Beverly,00300000,78,327,343,349,358,374,347,339,353,352,367,356,300,271,0,"4,514"
Billerica,00310000,108,463,594,556,523,532,549,483,519,512,415,402,385,343,0,"6,384"
Blackstone Valley Reg,08050000,0,0,0,0,0,0,0,0,0,0,240,225,200,185,0,850
Blackstone-Millville,06220000,92,142,142,144,176,191,176,181,205,214,174,148,113,152,0,"2,250"
Blue Hills Voc,08060000,0,0,0,0,0,0,0,0,0,0,212,202,192,174,0,780
Boston,00350000,"1,049","3,880","4,389","4,062","4,193","4,298","4,174","4,080","4,490","4,618","5,634","4,849","4,070","3,956",0,"57,742"
Boston Collegiate Charter,04490000,0,0,0,0,0,0,66,88,66,44,37,22,17,20,0,360
Boston Evening Academy HMCS,04240000,0,0,0,0,0,0,0,0,0,0,80,17,138,33,0,268
Boston Preparatory Charter Public (District),04160000,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,106
Boston Renaissance Charter,04810000,0,282,147,143,144,193,170,174,99,78,0,0,0,0,0,"1,430"
Bourne,00360000,62,197,216,210,196,214,170,203,238,205,202,161,142,129,4,"2,549"
