SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABBY KELLEY FOSTER REG CH - ABBY KELLEY FOSTER REG CS,04450105,0,0,95,93,93,89,89,91,89,0,0,0,0,0,0,0,0,639
ABINGTON - ABINGTON ECC,00010003,0,38,179,182,202,0,0,0,0,0,0,0,0,0,0,0,0,601
ABINGTON - ABINGTON HIGH,00010505,0,0,0,0,0,0,0,0,0,0,0,125,138,140,124,0,0,527
ABINGTON - CENTER,00010005,0,0,0,0,0,50,46,47,44,0,0,0,0,0,0,0,0,187
ABINGTON - FROLIO JR HS,00010405,0,0,0,0,0,0,0,0,0,196,196,0,0,0,0,0,0,392
ABINGTON - NORTH,00010010,0,0,0,0,0,39,52,47,48,0,0,0,0,0,0,0,0,186
ABINGTON - WOODSDALE,00010015,0,0,0,0,0,96,105,94,77,0,0,0,0,0,0,0,0,372
ACADEMY OF PACIFIC RIM CH - ACADEMY OF PACIFIC RIM CS,04120530,0,0,0,0,0,0,0,0,60,61,44,20,0,0,0,0,0,185
ACTON - DOUGLAS,00020020,0,0,67,72,70,78,77,74,71,0,0,0,0,0,0,0,0,509
ACTON - GATES,00020025,0,0,68,75,69,78,76,73,66,0,0,0,0,0,0,0,0,505
ACTON - LUTHER CONANT,00020030,0,0,66,72,67,75,75,75,75,0,0,0,0,0,0,0,0,505
ACTON - MCCARTHY-TOWNE,00020015,0,0,64,68,67,76,76,74,68,0,0,0,0,0,0,0,0,493
ACTON - MERRIAM,00020010,0,0,63,68,46,53,48,50,46,0,0,0,0,0,0,0,0,374
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,0,0,0,0,0,0,0,0,0,0,0,360,337,361,340,0,15,"1,413"
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,0,0,0,0,0,0,0,0,0,427,429,0,0,0,0,0,0,856
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,0,27,86,105,108,119,132,122,0,0,0,0,0,0,0,0,0,699
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,0,0,0,0,0,0,0,0,134,145,131,0,0,0,0,0,0,410
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,0,0,0,0,0,0,0,0,97,150,183,0,0,0,0,0,0,430
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,0,49,34,41,38,45,37,58,39,0,0,0,0,0,0,0,0,341
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0,0,0,0,0,0,0,0,0,0,0,147,155,131,126,0,0,559
ADAMS-CHESHIRE - PLUNKET ELEMENTARY,06030020,0,0,111,107,93,116,108,112,0,0,0,0,0,0,0,0,0,647
AGAWAM - AGAWAM HIGH,00050505,0,0,0,0,0,0,0,0,0,0,0,377,329,296,263,0,0,"1,265"
AGAWAM - AGAWAM JUNIOR HIGH,00050405,0,0,0,0,0,0,0,0,0,349,333,0,0,0,0,0,0,682
AGAWAM - AGAWAM MIDDLE SCHOOL,00050303,0,0,0,0,0,0,0,329,318,0,0,0,0,0,0,0,0,647
AGAWAM - BENJAMIN J PHELPS,00050020,0,0,65,97,84,105,89,0,0,0,0,0,0,0,0,0,0,440
AGAWAM - CLIFFORD M GRANGER,00050010,0,0,82,94,92,85,97,0,0,0,0,0,0,0,0,0,0,450
AGAWAM - JAMES CLARK SCHOOL,00050030,5,0,68,81,87,65,78,0,0,0,0,0,0,0,0,0,0,384
AGAWAM - ROBINSON PARK,00050025,0,0,62,71,67,85,76,0,0,0,0,0,0,0,0,0,0,361
AMESBURY - AMESBURY ELEMENTARY,00070005,0,24,38,119,120,115,122,0,0,0,0,0,0,0,0,0,0,538
AMESBURY - AMESBURY HIGH,00070505,0,0,0,0,0,0,0,0,0,0,0,219,189,160,162,0,0,730
AMESBURY - AMESBURY MIDDLE,00070013,0,0,0,0,0,0,0,199,254,223,251,0,0,0,0,0,0,927
AMESBURY - CHARLES C CASHMAN EL,00070010,0,26,61,105,98,102,129,0,0,0,0,0,0,0,0,0,0,521
AMESBURY - HORACE MANN,00070003,0,7,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
AMHERST - CROCKER FARM ELEMENTARY,00080009,0,0,37,37,48,42,49,67,48,0,0,0,0,0,0,0,0,328
AMHERST - FORT RIVER ELEMENTARY,00080020,0,65,65,60,68,72,76,74,79,0,0,0,0,0,0,0,0,559
AMHERST - MARKS MEADOW LABORATORY,00080030,0,0,19,35,33,32,29,30,20,0,0,0,0,0,0,0,0,198
AMHERST - WILDWOOD ELEMENTARY,00080050,0,0,65,78,57,89,75,79,73,0,0,0,0,0,0,0,0,516
AMHERST-PELHAM - AMHERST REGIONAL HIGH,06050505,0,0,0,0,0,0,0,0,0,0,0,342,356,307,319,0,0,"1,324"
AMHERST-PELHAM - AMHERST REGIONAL MS,06050405,0,0,0,0,0,0,0,0,0,364,359,0,0,0,0,0,0,723
ANDOVER - ANDOVER HIGH,00090505,0,0,0,0,0,0,0,0,0,0,0,419,407,389,344,0,0,"1,559"
ANDOVER - ANDOVER WEST MIDDLE,00090310,0,0,0,0,0,0,0,0,254,206,221,0,0,0,0,0,0,681
ANDOVER - BANCROFT ELEMENTARY,00090003,0,0,68,100,94,112,126,118,0,0,0,0,0,0,0,0,0,618
ANDOVER - DOHERTY MIDDLE,00090305,0,0,0,0,0,0,0,0,247,265,240,0,0,0,0,0,0,752
ANDOVER - HENRY C SANBORN ELEM,00090010,0,0,69,72,81,88,81,87,0,0,0,0,0,0,0,0,0,478
ANDOVER - SHAWSHEEN SCHOOL,00090005,0,27,82,83,75,0,0,0,0,0,0,0,0,0,0,0,0,267
ANDOVER - SOUTH ELEMENTARY,00090020,0,0,91,95,106,108,95,117,0,0,0,0,0,0,0,0,0,612
ANDOVER - WEST ELEMENTARY,00090025,0,0,87,110,104,174,185,181,0,0,0,0,0,0,0,0,0,841
