SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABINGTON - ABINGTON ECC,00010003,0,23,197,202,163,0,0,0,0,0,0,0,0,0,0,0,0,585
ABINGTON - ABINGTON HIGH,00010505,0,0,0,0,0,0,0,0,0,0,0,166,144,163,120,0,0,593
ABINGTON - CENTER,00010005,0,0,0,0,0,55,46,47,58,0,0,0,0,0,0,0,0,206
ABINGTON - FROLIO JR HS,00010405,0,0,0,0,0,0,0,0,0,190,181,0,0,0,0,0,0,371
ABINGTON - NORTH,00010010,0,0,0,0,0,50,49,50,31,0,0,0,0,0,0,0,0,180
ABINGTON - WOODSDALE,00010015,0,0,0,0,0,90,87,84,83,0,0,0,0,0,0,0,0,344
ACTON - DOUGLAS,00020020,0,0,69,53,70,54,49,67,55,0,0,0,0,0,0,0,0,417
ACTON - GATES,00020025,0,0,70,68,66,86,83,63,66,0,0,0,0,0,0,0,0,502
ACTON - LUTHER CONANT,00020030,0,0,66,66,75,76,70,78,70,0,0,0,0,0,0,0,0,501
ACTON - MCCARTHY-TOWNE,00020015,0,0,62,65,74,78,74,52,53,0,0,0,0,0,0,0,0,458
ACTON - MERRIAM,00020010,0,0,46,42,46,33,39,48,27,0,0,0,0,0,0,0,0,281
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,14,0,0,0,0,0,0,0,0,0,0,318,314,321,325,0,0,"1,292"
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,0,0,0,0,0,0,0,0,0,355,347,0,0,0,0,0,0,702
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,0,24,109,105,107,114,111,118,0,0,0,0,0,0,0,0,0,688
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,0,0,0,0,0,0,0,0,121,106,137,0,0,0,0,0,0,364
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,0,0,0,0,0,0,0,0,126,162,193,0,0,0,0,0,0,481
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,0,0,37,63,41,42,51,44,37,0,0,0,0,0,0,0,0,315
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0,0,0,0,0,0,0,0,0,0,0,121,156,134,115,0,0,526
ADAMS-CHESHIRE - PLUNKET ELEMENTARY,06030020,0,58,98,102,83,86,102,130,0,0,0,0,0,0,0,0,0,659
AGAWAM - AGAWAM HIGH,00050505,0,0,0,0,0,0,0,0,0,0,0,333,339,290,277,0,0,"1,239"
AGAWAM - AGAWAM JUNIOR HIGH,00050405,0,0,0,0,0,0,0,0,0,339,366,0,0,0,0,0,0,705
AGAWAM - AGAWAM MIDDLE SCHOOL,00050303,0,0,0,0,0,0,0,313,350,0,0,0,0,0,0,0,0,663
AGAWAM - BENJAMIN J PHELPS,00050020,24,0,77,73,61,79,88,0,0,0,0,0,0,0,0,0,0,402
AGAWAM - CLIFFORD M GRANGER,00050010,0,0,94,109,89,84,79,0,0,0,0,0,0,0,0,0,0,455
AGAWAM - JAMES CLARK SCHOOL,00050030,0,0,76,73,66,70,73,0,0,0,0,0,0,0,0,0,0,358
AGAWAM - ROBINSON PARK,00050025,0,0,71,90,88,96,91,0,0,0,0,0,0,0,0,0,0,436
AMESBURY - AMESBURY ELEMENTARY,00070005,0,28,133,191,189,98,0,0,0,0,0,0,0,0,0,0,0,639
AMESBURY - AMESBURY HIGH,00070505,0,0,0,0,0,0,0,0,0,0,0,174,155,139,152,0,0,620
AMESBURY - AMESBURY MIDDLE,00070013,0,0,0,0,0,0,0,0,212,195,191,0,0,0,0,0,0,598
AMESBURY - CHARLES C CASHMAN EL,00070010,0,0,0,0,73,122,270,235,0,0,0,0,0,0,0,0,0,700
AMESBURY - HORACE MANN,00070003,0,22,119,87,0,0,0,0,0,0,0,0,0,0,0,0,0,228
AMHERST - CROCKER FARM ELEMENTARY,00080009,0,0,20,62,51,63,60,65,51,0,0,0,0,0,0,0,0,372
AMHERST - FORT RIVER ELEMENTARY,00080020,0,0,101,72,77,87,87,75,106,0,0,0,0,0,0,0,0,605
AMHERST - MARKS MEADOW LABORATORY,00080030,0,0,22,24,27,39,32,35,43,0,0,0,0,0,0,0,0,222
AMHERST - WILDWOOD ELEMENTARY,00080050,0,61,82,76,69,71,71,62,74,0,0,0,0,0,0,0,0,566
AMHERST-PELHAM - AMHERST REGIONAL HIGH,06050505,0,0,0,0,0,0,0,0,0,0,0,0,274,278,223,0,0,775
AMHERST-PELHAM - AMHERST REGIONAL JR HIGH,06050405,0,0,0,0,0,0,0,0,0,328,348,318,0,0,0,0,0,994
ANDOVER - ANDOVER HIGH,00090505,9,0,0,0,0,0,0,0,0,0,0,347,320,312,320,0,0,"1,308"
ANDOVER - ANDOVER WEST MIDDLE,00090310,0,0,0,0,0,0,0,0,215,201,212,0,0,0,0,0,0,628
ANDOVER - BANCROFT ELEMENTARY,00090003,0,0,92,92,84,106,103,117,0,0,0,0,0,0,0,0,0,594
ANDOVER - DOHERTY MIDDLE,00090305,0,0,0,0,0,0,0,254,227,215,0,0,0,0,0,0,0,696
ANDOVER - HENRY C SANBORN ELEM,00090010,0,0,51,83,68,72,93,79,0,0,0,0,0,0,0,0,0,446
ANDOVER - SHAWSHEEN EARLY CHILDHOOD,00090005,0,30,126,89,85,0,0,0,0,0,0,0,0,0,0,0,0,330
ANDOVER - SOUTH ELEMENTARY,00090020,0,11,74,92,100,114,111,100,0,0,0,0,0,0,0,0,0,602
ANDOVER - WEST ELEMENTARY,00090025,0,0,85,104,151,174,166,177,0,0,0,0,0,0,0,0,0,857
ARLINGTON - ARLINGTON HIGH,00100505,0,0,0,0,0,0,0,0,0,0,0,263,247,212,250,0,0,972
ARLINGTON - BRACKETT,00100010,0,0,53,52,65,54,53,56,48,0,0,0,0,0,0,0,0,381
ARLINGTON - CYRUS E DALLIN,00100025,0,0,62,65,64,66,52,53,53,0,0,0,0,0,0,0,0,415
ARLINGTON - HARDY,00100030,0,0,44,69,55,49,38,61,55,0,0,0,0,0,0,0,0,371
ARLINGTON - JOHN A BISHOP,00100005,0,0,56,68,63,48,63,49,48,0,0,0,0,0,0,0,0,395
ARLINGTON - M NORCROSS STRATTON,00100055,31,0,41,48,45,48,50,37,46,0,0,0,0,0,0,0,0,346
ARLINGTON - OTTOSON JR HIGH,00100410,0,0,0,0,0,0,0,0,0,275,273,0,0,0,0,0,0,548
ARLINGTON - PEIRCE,00100045,0,0,38,40,38,39,39,35,25,0,0,0,0,0,0,0,0,254
ARLINGTON - THOMPSON,00100050,0,0,73,58,54,49,45,52,46,0,0,0,0,0,0,0,0,377
ASHBURNHAM-WESTMINSTER - BRIGGS ELEM,06100025,0,0,77,80,92,103,103,96,0,0,0,0,0,0,0,0,0,551
ASHBURNHAM-WESTMINSTER - MEETINGHOUSE SCHOOL,06100010,0,0,109,98,92,0,0,0,0,0,0,0,0,0,0,0,0,299
ASHBURNHAM-WESTMINSTER - OAKMONT REGIONAL H S,06100505,0,0,0,0,0,0,0,0,0,0,0,166,161,194,159,0,0,680
ASHBURNHAM-WESTMINSTER - OVERLOOK MIDDLE SCHOOL,06100305,0,0,0,0,0,0,0,0,215,201,208,0,0,0,0,0,0,624
ASHBURNHAM-WESTMINSTER - WESTMINSTER ELEM,06100005,6,12,0,0,0,112,103,100,0,0,0,0,0,0,0,0,0,333
ASHLAND - ASHLAND HIGH,00140505,0,0,0,0,0,0,0,0,0,0,157,120,123,90,96,0,0,586
ASHLAND - DAVID MINDESS MIDDLE,00140015,0,0,0,0,0,0,143,164,159,145,0,0,0,0,0,0,0,611
ASHLAND - HENRY E WARREN ELEM,00140010,0,0,0,0,196,163,0,0,0,0,0,0,0,0,0,0,0,359
ASHLAND - WILLIAM PITTAWAY ELEM,00140005,0,0,181,189,0,0,0,0,0,0,0,0,0,0,0,0,0,370
ASSABET VALLEY - ASSABET VALLEY VOC H S,08010605,0,0,0,0,0,0,0,0,0,0,0,226,198,211,155,94,0,884
ATHOL-ROYALSTON - ATHOL HIGH,06150505,4,25,0,0,0,0,0,0,0,0,0,183,107,126,135,0,0,580
ATHOL-ROYALSTON - ATHOL MIDDLE,06150305,0,0,0,0,0,0,0,0,0,189,188,0,0,0,0,0,0,377
ATHOL-ROYALSTON - ELLEN BIGELOW,06150005,0,0,44,37,42,22,78,0,0,0,0,0,0,0,0,0,0,223
ATHOL-ROYALSTON - PLEASANT ST,06150016,0,0,43,40,38,40,45,43,49,0,0,0,0,0,0,0,0,298
ATHOL-ROYALSTON - RAYMOND,06150045,0,0,24,18,16,0,0,0,0,0,0,0,0,0,0,0,0,58
ATHOL-ROYALSTON - RIVERBEND,06150020,0,0,0,0,0,0,24,149,143,0,0,0,0,0,0,0,0,316
ATHOL-ROYALSTON - SANDERS STREET,06150025,0,0,49,46,42,45,0,0,0,0,0,0,0,0,0,0,0,182
ATHOL-ROYALSTON - SILVER LAKE,06150030,0,0,43,45,52,50,51,0,0,0,0,0,0,0,0,0,0,241
ATHOL-ROYALSTON - SOUTH ROYALSTON,06150040,0,0,0,0,0,16,18,12,20,0,0,0,0,0,0,0,0,66
ATLANTIS CHARTER - ATLANTIS CS,04910550,0,0,81,53,48,27,21,22,0,0,0,0,0,0,0,0,0,252
ATTLEBORO - ATTLEBORO HIGH,00160505,0,0,0,0,0,0,0,0,0,0,0,504,321,238,236,0,0,"1,299"
ATTLEBORO - ATTLEBORO VOC TECH HIGH,00160605,0,0,0,0,0,0,0,0,0,0,0,3,96,87,58,0,0,244
ATTLEBORO - ATTLEBOROUGH ECC,00160005,2,103,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593
ATTLEBORO - CYRIL K BRENNAN MIDDLE,00160315,0,0,0,0,0,0,0,165,153,173,126,0,0,0,0,0,0,617
ATTLEBORO - HILL ROBERTS ELEM,00160045,11,0,0,113,107,117,105,0,0,0,0,0,0,0,0,0,0,453
ATTLEBORO - HYMAN FINE ELEM,00160040,0,0,0,125,133,111,133,0,0,0,0,0,0,0,0,0,0,502
ATTLEBORO - JOSEPH FINBERG,00160010,0,0,0,86,85,68,75,0,0,0,0,0,0,0,0,0,0,314
