DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABINGTON,00010000,0,29,191,192,206,192,169,194,189,186,173,142,132,161,128,0,0,"2,284"
ACADEMY OF PACIFIC RIM CH,04120000,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,100
ACTON,00020000,0,0,295,337,338,324,329,334,330,0,0,0,0,0,0,0,0,"2,287"
ACTON-BOXBOROUGH,06000000,15,0,0,0,0,0,0,0,0,392,345,362,345,301,300,0,0,"2,060"
ACUSHNET,00030000,0,21,94,104,115,108,111,132,123,133,128,0,0,0,0,0,0,"1,069"
ADAMS-CHESHIRE,06030000,0,54,125,164,139,179,123,140,170,177,169,143,151,109,139,0,0,"1,982"
AGAWAM,00050000,5,0,316,347,354,332,315,345,350,309,364,401,277,295,324,0,0,"4,334"
AMESBURY,00070000,0,56,208,246,261,223,243,208,259,220,212,193,174,164,133,0,0,"2,800"
AMHERST,00080000,0,61,185,230,220,252,216,262,270,0,0,0,0,0,0,0,0,"1,696"
AMHERST-PELHAM,06050000,0,0,0,0,0,0,0,0,0,334,368,311,334,330,260,0,0,"1,937"
ANDOVER,00090000,6,39,387,458,478,481,501,469,469,473,461,388,359,339,311,0,0,"5,619"
ARLINGTON,00100000,51,0,344,385,374,372,370,344,326,311,295,268,255,274,228,0,0,"4,197"
ASHBURNHAM-WESTMINSTER,06100000,0,23,161,169,202,184,181,213,221,215,213,173,167,154,135,0,0,"2,411"
ASHLAND,00140000,2,0,199,189,192,179,198,160,146,166,168,143,147,114,117,0,0,"2,120"
ASSABET VALLEY,08010000,0,0,0,0,0,0,0,0,0,0,0,206,222,206,178,70,0,882
ATHOL-ROYALSTON,06150000,12,22,141,134,206,181,180,158,192,196,194,154,158,139,90,0,0,"2,157"
ATLANTIS CHARTER,04910000,0,0,72,69,69,66,69,25,25,25,0,0,0,0,0,0,0,420
ATTLEBORO,00160000,0,96,517,544,639,546,545,532,512,539,516,533,463,435,343,0,0,"6,760"
AUBURN,00170000,7,65,198,187,184,213,203,205,179,176,203,134,140,165,151,0,0,"2,410"
AVON,00180000,0,0,66,63,66,63,61,59,70,67,61,63,52,49,53,0,0,793
AYER,00190000,0,16,102,96,113,86,94,79,77,77,73,87,102,66,62,0,0,"1,130"
BARNSTABLE,00200000,0,154,497,588,628,616,593,574,547,542,547,567,403,420,393,0,0,"7,069"
BEDFORD,00230000,0,0,140,177,151,147,179,150,146,150,153,180,148,156,151,0,0,"2,028"
BELCHERTOWN,00240000,1,0,185,188,183,200,185,181,191,198,173,141,139,137,135,0,0,"2,237"
BELLINGHAM,00250000,65,97,211,214,232,232,221,216,217,206,206,177,155,145,141,0,0,"2,735"
BELMONT,00260000,0,22,267,289,295,293,276,297,281,249,286,252,249,227,207,0,0,"3,490"
BENJAMIN BANNEKER CHARTER,04200000,0,0,40,41,38,33,35,32,36,0,0,0,0,0,0,0,0,255
BENJAMIN FRANKLIN CHARTER,04470000,0,0,40,43,44,44,21,43,20,0,0,0,0,0,0,0,0,255
BERKLEY,00270000,19,51,99,99,72,96,90,84,89,86,85,0,0,0,0,0,0,870
BERKSHIRE HILLS,06180000,7,10,98,100,108,114,99,98,125,149,143,169,155,166,161,0,0,"1,702"
BERLIN,00280000,0,0,31,41,31,27,41,35,34,0,0,0,0,0,0,0,0,240
BERLIN-BOYLSTON,06200000,0,0,0,0,0,0,0,0,0,79,87,73,52,52,57,0,0,400
BEVERLY,00300000,12,40,377,414,399,411,396,364,394,409,392,326,288,282,288,0,0,"4,792"
BILLERICA,00310000,7,0,541,530,573,517,576,519,559,505,460,395,341,382,322,0,0,"6,227"
BLACKSTONE VALLEY REG,08050000,0,0,0,0,0,0,0,0,0,0,0,235,235,217,193,0,0,880
BLACKSTONE-MILLVILLE,06220000,33,73,191,214,189,181,170,221,187,230,165,135,131,115,106,0,0,"2,341"
BLUE HILLS VOC,08060000,0,0,0,0,0,0,0,0,0,0,0,339,251,249,206,67,0,"1,112"
