DISTRICT,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Regional Charter,04450000,0,113,118,93,99,99,95,74,62,67,38,0,0,0,0,858
Abington,00010000,38,168,195,191,192,186,204,195,210,193,141,157,150,128,0,"2,348"
Academy of Strategic Learning HMCS,04150000,0,0,0,0,0,0,0,0,3,4,9,13,6,0,0,35
Academy Of the Pacific Rim Charter,04120000,0,0,0,0,0,0,0,82,65,49,35,28,24,11,0,294
Acton,00020000,30,363,361,352,355,359,346,381,0,0,0,0,0,0,0,"2,547"
Acton-Boxborough,06000000,0,0,0,0,0,0,0,0,457,444,427,398,416,355,0,"2,497"
Acushnet,00030000,26,77,105,99,112,121,121,142,144,134,0,0,0,0,0,"1,081"
Adams-Cheshire,06030000,24,136,139,131,136,146,143,173,146,166,134,134,136,126,1,"1,871"
Agawam,00050000,146,300,344,327,322,342,338,357,365,354,355,272,292,266,0,"4,380"
Amesbury,00070000,102,195,194,187,196,204,211,209,234,193,244,225,188,191,2,"2,775"
Amherst,00080000,57,219,198,198,203,212,203,234,0,0,0,0,0,0,0,"1,524"
Amherst-Pelham,06050000,0,0,0,0,0,0,0,0,328,351,332,351,369,309,0,"2,040"
Andover,00090000,39,415,435,470,446,489,477,478,507,512,472,386,408,381,0,"5,915"
Arlington,00100000,97,434,392,394,366,357,310,335,346,331,291,275,283,270,0,"4,481"
Ashburnham-Westminster,06100000,68,156,159,182,186,177,192,215,220,200,169,172,182,185,0,"2,463"
Ashland,00140000,141,182,217,215,201,196,204,195,195,191,180,150,145,141,0,"2,553"
Assabet Valley,08010000,0,0,0,0,0,0,0,0,0,0,245,239,203,202,0,889
Athol-Royalston,06150000,25,164,151,165,164,187,163,160,219,216,168,149,158,120,0,"2,209"
Atlantis Charter,04910000,0,85,65,70,70,69,69,69,72,69,0,0,0,0,0,638
Attleboro,00160000,128,523,514,541,466,534,502,484,587,520,568,533,455,373,0,"6,728"
Auburn,00170000,65,165,181,204,200,184,207,192,186,215,152,166,147,158,0,"2,422"
Avon,00180000,22,43,55,50,52,55,53,63,63,68,58,54,51,43,0,730
Ayer,00190000,80,112,104,123,129,103,97,99,86,88,99,108,88,74,0,"1,390"
Barnstable,00200000,68,459,511,514,525,464,1,494,590,585,620,512,489,397,0,"6,229"
Barnstable HMCS,04230000,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,525
Bedford,00230000,1,163,155,184,159,177,161,180,159,160,216,184,167,153,0,"2,219"
Belchertown,00240000,27,177,195,190,176,222,196,190,203,214,192,161,157,140,0,"2,440"
Bellingham,00250000,115,206,214,198,211,218,220,204,223,231,217,204,206,167,0,"2,834"
Belmont,00260000,53,242,273,272,261,295,275,287,303,283,290,299,252,216,0,"3,601"
Benjamin Banneker Charter,04200000,0,39,43,37,40,38,32,31,34,28,0,0,0,0,0,322
Benjamin Franklin Classical Charter,04470000,0,40,42,42,46,42,46,46,30,36,0,0,0,0,0,370
Berkley,00270000,95,89,87,99,92,101,116,120,90,108,0,0,0,0,0,997
Berkshire Hills,06180000,23,70,83,69,82,88,108,99,116,120,160,161,169,171,0,"1,519"
Berlin,00280000,21,33,32,36,36,35,29,40,0,0,0,0,0,0,0,262
Berlin-Boylston,06200000,0,0,0,0,0,0,0,0,89,83,78,57,71,68,1,447
Beverly,00300000,55,328,381,369,355,345,384,370,364,386,354,312,348,297,0,"4,648"
Billerica,00310000,75,515,535,542,576,505,543,479,570,523,408,356,406,330,0,"6,363"
Blackstone Valley Reg,08050000,0,0,0,0,0,0,0,0,0,0,223,212,191,189,0,815
Blackstone-Millville,06220000,78,128,189,188,181,169,193,218,199,180,140,171,139,141,0,"2,314"
Blue Hills Voc,08060000,0,0,0,0,0,0,0,0,0,0,232,215,201,191,0,839
Boston,00350000,"1,003","3,917","4,579","4,544","4,866","4,885","4,644","4,806","5,024","4,929","5,876","4,670","3,986","3,823",0,"61,552"
Boston Evening Academy HMCS,04240000,0,0,0,0,0,0,0,0,0,0,0,0,124,27,0,151
Boston Renaissance Charter,04810000,0,244,143,191,166,173,144,116,103,87,0,0,0,0,0,"1,367"
Bourne,00360000,50,201,227,221,178,210,238,224,225,215,174,160,165,123,1,"2,612"
Boxborough,00370000,10,54,82,87,82,109,95,89,0,0,0,0,0,0,0,608
Boxford,00380000,13,125,145,126,139,136,172,143,0,0,0,0,0,0,0,999
Boylston,00390000,0,47,44,53,58,49,71,54,0,0,0,0,0,0,0,376
Braintree,00400000,82,299,396,408,394,395,381,414,425,387,375,335,333,317,0,"4,941"
Brewster,00410000,0,80,81,87,108,104,131,0,0,0,0,0,0,0,0,591
Bridgewater-Raynham,06250000,121,495,486,509,467,509,499,512,494,517,419,389,390,349,0,"6,156"
Brimfield,00430000,55,41,35,46,35,53,43,63,0,0,0,0,0,0,0,371
Bristol County Agr,09100000,0,0,0,0,0,0,0,0,0,0,118,111,93,92,0,414
Bristol-Plymouth Voc Tech,08100000,0,0,0,0,0,0,0,0,0,0,259,247,185,170,0,861
