SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Regional Charter Public (District) - Abby Kelley Foster Regional Charter Public School,04450105,0,158,143,144,143,96,137,83,63,52,27,20,21,0,0,"1,087"
Abington - Abington ECC,00010003,41,169,180,207,0,0,0,0,0,0,0,0,0,0,0,597
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,137,147,146,161,2,593
Abington - Center,00010005,0,0,0,0,50,53,49,52,0,0,0,0,0,0,0,204
Abington - Frolio Jr Hs,00010405,0,0,0,0,0,0,0,0,207,202,0,0,0,0,0,409
Abington - North,00010010,0,0,0,0,48,53,54,50,0,0,0,0,0,0,0,205
Abington - Woodsdale,00010015,0,0,0,0,96,95,101,88,0,0,0,0,0,0,0,380
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,0,0,0,0,0,0,0,0,2,8,11,10,11,8,0,50
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,0,0,0,0,0,0,0,77,71,53,50,30,25,27,0,333
Acton - Douglas,00020020,0,68,70,71,70,72,70,76,0,0,0,0,0,0,0,497
Acton - Gates,00020025,0,64,71,71,71,70,68,77,0,0,0,0,0,0,0,492
Acton - Luther Conant,00020030,0,64,71,69,70,65,75,76,0,0,0,0,0,0,0,490
Acton - McCarthy-Towne,00020015,0,67,70,66,70,74,85,75,0,0,0,0,0,0,0,507
Acton - Merriam,00020010,33,68,71,88,96,85,65,76,0,0,0,0,0,0,0,582
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0,0,0,0,0,0,0,0,0,0,463,440,434,383,0,"1,720"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,450,465,0,0,0,0,0,915
Acushnet - Acushnet Elementary Sch,00030025,31,97,126,97,114,104,0,0,0,0,0,0,0,0,0,569
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,128,127,141,152,0,0,0,0,0,548
Adams-Cheshire - Adams Middle,06030305,0,0,0,0,0,0,0,108,145,175,0,0,0,0,0,428
Adams-Cheshire - Cheshire Elementary,06030004,16,26,37,40,39,36,32,36,0,0,0,0,0,0,0,262
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,0,0,109,149,104,123,2,487
Adams-Cheshire - Plunkett Elementary,06030020,24,86,93,101,96,104,101,0,0,0,0,0,0,0,0,605
Agawam - Agawam ECC,00050003,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,395,307,246,270,0,"1,218"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,355,357,0,0,0,0,0,712
Agawam - Agawam Middle School,00050303,0,0,0,0,0,0,335,345,0,0,0,0,0,0,0,680
Agawam - Benjamin J Phelps,00050020,0,67,74,87,89,89,0,0,0,0,0,0,0,0,0,406
Agawam - Clifford M Granger,00050010,0,76,78,78,88,96,0,0,0,0,0,0,0,0,0,416
