SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,0,113,128,106,129,110,125,118,121,118,106,110,80,62,0,"1,426"
Abington - Abington ECC,00010003,57,104,153,165,152,0,0,0,0,0,0,0,0,0,0,631
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,100,141,124,145,0,510
Abington - Frolio Middle School,00010405,0,0,0,0,0,0,0,0,164,205,0,0,0,0,0,369
Abington - Woodsdale,00010015,0,0,0,0,0,152,189,165,0,0,0,0,0,0,0,506
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,0,0,0,0,0,0,75,84,83,73,50,39,47,33,0,484
Acton - Douglas,00020020,0,61,66,69,69,75,74,74,0,0,0,0,0,0,0,488
Acton - Gates,00020025,0,62,66,69,71,76,73,73,0,0,0,0,0,0,0,490
Acton - Luther Conant,00020030,0,62,68,69,69,75,71,74,0,0,0,0,0,0,0,488
Acton - McCarthy-Towne,00020015,0,61,64,69,70,73,74,75,0,0,0,0,0,0,0,486
Acton - Merriam,00020010,63,83,87,68,67,75,72,99,0,0,0,0,0,0,0,614
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0,0,0,0,0,0,0,0,0,0,513,496,474,507,0,"1,990"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,473,480,0,0,0,0,0,953
Acushnet - Acushnet Elementary Sch,00030025,26,106,70,108,107,107,0,0,0,0,0,0,0,0,0,524
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,106,126,136,115,0,0,0,0,0,483
Adams-Cheshire - Cheshire Elementary,06030004,52,32,30,24,37,34,35,23,0,0,0,0,0,0,0,267
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,113,126,124,95,125,84,1,668
Adams-Cheshire - Plunkett Elementary,06030020,0,66,94,81,71,88,84,84,0,0,0,0,0,0,0,568
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0,0,0,0,0,0,0,180,266,203,114,76,62,62,0,963
Agawam - Agawam ECC,00050003,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,379,347,308,303,0,"1,337"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,355,340,0,0,0,0,0,695
Agawam - Benjamin J Phelps,00050020,0,77,62,72,79,76,0,0,0,0,0,0,0,0,0,366
Agawam - Clifford M Granger,00050010,0,49,54,70,66,68,0,0,0,0,0,0,0,0,0,307
