DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Greater New Bedford,08250000,0,0,0,0,0,0,0,0,0,0,0,530,512,438,358,0,0,"1,838"
Greenfield,01140000,6,73,178,190,201,185,212,205,177,202,218,197,165,129,131,0,0,"2,469"
Groton-Dunstable,06730000,0,47,201,211,200,227,208,230,174,217,177,136,122,113,118,0,0,"2,381"
Hadley,01170000,1,51,45,46,49,49,47,42,52,57,53,43,52,41,35,0,0,663
Halifax,01180000,0,0,98,104,111,103,82,131,107,0,0,0,0,0,0,0,0,736
Hamilton-Wenham,06750000,0,0,136,176,158,157,170,177,166,158,148,182,183,160,174,0,0,"2,145"
Hampden-Wilbraham,06800000,0,61,212,206,282,271,297,292,301,285,315,338,306,246,231,0,0,"3,643"
Hampshire,06830000,0,0,0,0,0,0,0,0,0,141,171,140,153,121,116,0,0,842
Hancock,01210000,0,0,6,6,7,10,7,11,4,0,0,0,0,0,0,0,0,51
Hanover,01220000,18,62,207,202,204,194,225,223,197,205,204,150,179,135,145,0,0,"2,550"
Harvard,01250000,0,0,84,74,96,99,97,89,106,101,94,80,92,75,88,0,0,"1,175"
Harwich,01260000,0,23,125,105,125,140,121,134,112,125,119,106,107,108,94,0,0,"1,544"
Hatfield,01270000,0,45,26,43,44,43,28,30,40,37,33,33,28,35,41,0,0,506
Haverhill,01280000,36,156,612,719,811,769,810,724,776,744,743,517,441,377,331,0,0,"8,566"
Hawlemont,06850000,0,25,13,24,13,20,28,23,27,0,0,0,0,0,0,0,0,173
Health Careers Academy HMCS,04520000,0,0,0,0,0,0,0,0,0,0,0,59,51,28,36,0,0,174
Hilltown Cooperative Charter,04500000,0,0,17,18,20,17,19,11,7,0,0,0,0,0,0,0,0,109
Hingham,01310000,0,37,232,267,281,320,309,308,250,254,267,225,196,206,205,0,0,"3,357"
Holbrook,01330000,33,3,123,121,127,127,125,117,136,123,115,92,79,67,46,0,0,"1,434"
Holland,01350000,0,46,37,40,40,44,33,31,51,0,0,0,0,0,0,0,0,322
Holliston,01360000,0,63,233,236,278,274,222,249,269,257,237,200,232,193,214,0,0,"3,157"
Holyoke,01370000,79,170,484,682,627,588,630,551,604,562,559,665,496,493,394,30,0,"7,614"
Hopedale,01380000,0,100,79,88,82,84,103,77,99,85,59,54,64,81,59,0,0,"1,114"
Hopkinton,01390000,0,39,233,255,220,242,215,217,203,195,180,147,134,123,108,0,0,"2,511"
Hudson,01410000,0,102,234,238,226,236,228,231,173,222,244,134,162,156,125,0,0,"2,711"
Hull,01420000,0,38,103,110,112,134,116,106,126,115,132,101,105,95,87,0,0,"1,480"
Ipswich,01440000,0,47,129,167,168,165,169,165,168,145,147,127,108,108,110,0,0,"1,923"
King Philip,06900000,0,0,0,0,0,0,0,0,0,383,337,272,237,191,216,0,0,"1,636"
Kingston,01450000,0,0,144,174,145,190,156,153,166,0,0,0,0,0,0,0,0,"1,128"
Lakeville,01460000,0,17,123,155,143,135,126,0,0,0,0,0,0,0,0,0,0,699
Lanesborough,01480000,0,26,32,39,34,43,48,43,59,0,0,0,0,0,0,0,0,324
Lawrence,01490000,20,477,975,"1,311","1,198","1,243","1,110","1,032","1,038","1,036","1,017",799,436,406,321,0,0,"12,419"
Lawrence Family Development Charter,04540000,0,0,60,62,60,58,40,40,39,0,0,0,0,0,0,0,0,359
Lee,01500000,6,26,49,52,49,65,59,61,51,86,80,88,81,76,84,0,0,913
Leicester,01510000,0,85,123,150,143,161,160,121,156,161,144,138,111,119,117,0,0,"1,889"
Lenox,01520000,7,19,54,66,56,68,58,68,60,63,66,67,63,60,61,0,0,836
Leominster,01530000,39,131,417,510,530,508,517,511,498,457,504,462,409,367,349,1,0,"6,210"
Leverett,01540000,0,20,16,15,24,31,28,27,21,0,0,0,0,0,0,0,0,182
Lexington,01550000,0,0,414,438,461,540,470,470,455,470,458,421,401,360,361,0,0,"5,719"
Lincoln,01570000,0,0,156,131,156,156,148,127,121,128,115,0,0,0,0,0,0,"1,238"
Lincoln-Sudbury,06950000,0,0,0,0,0,0,0,0,0,0,0,293,292,265,277,0,0,"1,127"
Littleton,01580000,23,41,125,129,126,116,129,128,94,83,92,79,77,66,73,0,0,"1,381"
Longmeadow,01590000,0,0,202,227,236,238,208,238,242,235,239,287,223,239,237,0,0,"3,051"
Lowell,01600000,91,311,"1,262","1,514","1,444","1,532","1,446","1,337","1,383","1,352","1,314","1,201",807,693,651,0,0,"16,338"
Lowell Middlesex Academy Charter,04580000,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
Ludlow,01610000,0,35,184,179,234,260,228,262,230,242,234,250,215,241,229,0,0,"3,023"
Lunenburg,01620000,0,72,104,124,126,147,156,128,163,126,142,156,137,130,119,0,0,"1,830"
Lynn,01630000,105,538,"1,052","1,449","1,293","1,199","1,223","1,094","1,110","1,152","1,002","1,136",888,799,742,0,44,"14,826"
LYNN COMMUNITY CHARTER,04600000,0,0,26,33,28,27,29,26,28,0,0,0,0,0,0,0,0,197
Lynnfield,01640000,3,0,140,152,136,167,161,147,147,145,152,138,154,112,115,0,0,"1,869"
Ma Academy for Math and Science,04680000,0,0,0,0,0,0,0,0,0,0,0,0,0,43,34,0,0,77
Malden,01650000,104,290,359,411,455,434,449,412,407,381,423,402,349,312,322,0,0,"5,510"
MANCHESTER,01660000,0,0,59,51,63,62,79,71,66,79,78,90,77,79,70,0,0,924
Mansfield,01670000,0,77,380,401,411,379,354,335,337,287,261,234,212,182,174,0,0,"4,024"
Marblehead,01680000,0,40,263,235,235,244,262,229,197,203,207,193,156,185,177,0,0,"2,826"
Marblehead Community Charter,04640000,0,0,0,0,0,0,0,43,45,43,57,0,0,0,0,0,0,188
Marion,01690000,0,15,57,67,66,77,78,76,60,0,0,0,0,0,0,0,0,496
Marlborough,01700000,14,155,418,442,412,412,399,383,380,341,330,269,196,183,204,0,0,"4,538"
Marshfield,01710000,11,81,360,392,362,366,376,364,354,372,366,312,300,300,266,0,0,"4,582"
Martha's Vineyard Charter,04660000,0,0,0,9,8,10,15,11,14,20,14,11,9,3,0,0,0,124
Marthas Vineyard,07000000,0,0,0,0,0,0,0,0,0,0,0,236,174,179,154,1,0,744
Masconomet,07050000,0,0,0,0,0,0,0,0,0,332,337,246,252,259,212,0,0,"1,638"
Mashpee,01720000,0,40,191,203,198,184,186,197,170,188,165,127,118,90,0,0,0,"2,057"
Mattapoisett,01730000,0,14,98,81,76,86,80,77,88,0,0,0,0,0,0,0,0,600
Maynard,01740000,0,46,131,175,138,135,119,109,113,100,113,86,68,65,64,2,0,"1,464"
Medfield,01750000,0,37,242,220,245,244,267,213,261,203,167,175,144,147,120,0,0,"2,685"
Medford,01760000,17,25,402,396,414,423,362,409,366,373,408,327,338,351,322,0,0,"4,933"
Medway,01770000,0,63,224,233,221,190,210,198,212,203,184,156,143,137,127,0,0,"2,501"
Melrose,01780000,41,37,224,306,278,294,264,297,272,280,280,220,256,251,239,5,0,"3,544"
Mendon-Upton,07100000,0,28,176,170,178,161,156,148,149,140,130,115,102,102,91,0,0,"1,846"
Methuen,01810000,58,113,471,532,561,587,552,603,541,523,554,472,415,391,355,0,0,"6,728"
Middleborough,01820000,0,0,274,290,305,287,298,299,288,307,319,243,215,198,141,0,0,"3,464"
Middleton,01840000,0,80,92,108,103,91,110,112,83,0,0,0,0,0,0,0,0,779
Milford,01850000,11,0,345,348,336,367,304,330,338,319,325,305,265,263,235,0,0,"4,091"
Millbury,01860000,5,31,169,154,175,162,169,145,148,144,138,105,123,122,90,0,0,"1,880"
Millis,01870000,0,49,135,117,119,107,114,101,102,72,96,70,69,65,54,0,0,"1,270"
Milton,01890000,6,45,245,362,326,351,316,373,322,331,311,263,220,216,229,0,0,"3,916"
Minuteman Voc Tech,08300000,0,0,0,0,0,0,0,0,0,0,0,232,230,177,185,75,14,913
Mohawk Trail,07170000,0,87,95,97,119,123,125,121,141,166,152,149,144,115,114,0,0,"1,748"
Monson,01910000,0,39,109,93,108,127,114,125,126,115,115,94,63,97,89,0,0,"1,414"
Montachusett Voc Tech Reg,08320000,0,0,0,0,0,0,0,0,0,0,0,317,300,272,209,44,0,"1,142"
Mount Greylock,07150000,0,0,0,0,0,0,0,0,0,131,148,140,160,149,96,0,0,824
Murdoch Middle Public Charter,04350000,0,0,0,0,0,0,0,45,49,42,48,1,0,0,0,0,0,185
Mystic Valley Regional Charter,04700000,0,0,97,81,84,84,84,78,0,0,0,0,0,0,0,0,0,508
Nahant,01960000,0,0,35,42,20,28,40,41,38,0,0,0,0,0,0,0,0,244
Nantucket,01970000,0,20,98,103,97,114,104,101,84,95,93,83,82,94,69,1,0,"1,238"
Narragansett,07200000,0,34,96,111,118,139,119,146,119,131,123,83,111,99,78,0,0,"1,507"
Nashoba,07250000,11,35,210,218,222,252,253,250,234,223,230,180,193,191,197,0,0,"2,899"
Nashoba Valley Tech,08520000,0,0,0,0,0,0,0,0,0,0,0,159,128,148,125,0,0,560
Natick,01980000,0,41,354,391,349,390,357,355,336,305,321,248,253,244,228,0,0,"4,172"
Nauset,06600000,0,23,0,0,0,0,0,0,231,247,229,241,247,257,220,0,0,"1,695"
Needham,01990000,0,0,315,379,347,390,388,338,340,330,322,287,309,288,270,0,0,"4,303"
Neighborhood House Charter,04440000,0,0,18,16,19,19,18,17,18,17,0,0,0,0,0,0,0,142
New Bedford,02010000,0,407,"1,104","1,337","1,276","1,282","1,254","1,206","1,148","1,190","1,138","1,001",693,896,751,0,0,"14,683"
New Leadership HMCS,04710000,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,75
New Salem-Wendell,07280000,0,30,21,26,22,36,19,25,23,0,0,0,0,0,0,0,0,202
Newburyport,02040000,0,29,181,180,186,215,205,232,190,199,179,179,178,154,148,0,0,"2,455"
Newton,02070000,158,0,841,850,898,874,876,938,846,840,864,869,790,765,756,1,0,"11,166"
Norfolk,02080000,0,44,162,165,152,184,169,140,157,0,0,0,0,0,0,0,0,"1,173"
Norfolk County Agr,09150000,0,0,0,0,0,0,0,0,0,0,0,124,121,114,99,0,0,458
North Adams,02090000,5,71,180,179,169,177,183,169,189,161,189,201,147,143,129,0,0,"2,292"
North Andover,02110000,0,70,295,354,354,381,384,379,355,325,356,259,243,225,204,0,0,"4,184"
North Attleborough,02120000,64,98,337,384,383,382,346,370,360,371,354,307,303,233,231,0,0,"4,523"
North Brookfield,02150000,0,0,61,66,69,72,65,76,64,64,76,50,45,43,42,0,0,793
North Middlesex,07350000,0,128,318,410,372,411,393,427,435,369,427,321,301,275,281,0,0,"4,868"
North Reading,02170000,21,38,205,223,226,205,198,211,182,192,130,142,154,143,117,0,0,"2,387"
North Shore Reg Voc,08540000,0,0,0,0,0,0,0,0,0,0,0,123,127,101,79,4,0,434
NORTH STAR ACADEMY CH SCH,04730000,0,0,0,0,0,0,0,0,0,0,0,52,55,33,3,0,0,143
Northampton,02100000,2,76,203,221,249,200,271,235,252,242,245,208,189,205,185,0,0,"2,983"
Northampton-Smith,04060000,0,0,0,0,0,0,0,0,0,0,0,138,132,131,124,0,0,525
Northboro-Southboro,07300000,0,0,0,0,0,0,0,0,0,0,0,269,233,193,226,0,0,921
Northborough,02130000,0,11,183,239,253,218,252,218,211,228,206,0,0,0,0,0,0,"2,019"
Northbridge,02140000,6,106,236,211,185,218,198,189,167,188,183,149,115,118,111,0,0,"2,380"
Northeast Metro Voc,08530000,0,0,0,0,0,0,0,0,0,0,0,324,319,269,230,0,0,"1,142"
Northern Berkshire Voc,08510000,0,0,0,0,0,0,0,0,0,0,0,134,107,111,96,36,0,484
Norton,02180000,11,58,267,289,265,249,238,231,224,205,183,173,138,145,134,0,0,"2,810"
Norwell,02190000,0,29,158,174,159,165,170,149,147,148,139,131,144,114,115,0,0,"1,942"
Norwood,02200000,0,8,254,337,291,298,293,308,303,292,277,205,208,241,223,0,0,"3,538"
Oak Bluffs,02210000,0,0,53,43,49,53,51,58,46,44,36,0,0,0,0,0,0,433
Old Colony Reg Voc Tech,08550000,0,0,0,0,0,0,0,0,0,0,0,161,129,127,115,0,0,532
Old Rochester,07400000,0,0,0,0,0,0,0,0,0,233,212,175,171,158,138,0,0,"1,087"
Orange,02230000,0,87,102,81,108,130,130,125,122,0,0,0,0,0,0,0,0,885
Orleans,02240000,0,18,34,39,52,56,59,58,0,0,0,0,0,0,0,0,0,316
Oxford,02260000,25,54,156,184,154,173,171,163,191,151,215,132,134,131,129,0,0,"2,163"
Palmer,02270000,12,63,149,204,175,159,164,166,170,213,190,159,146,131,106,0,0,"2,207"
Pathfinder Voc Tech,08600000,63,0,0,0,0,0,0,0,0,0,0,169,150,151,127,0,0,660
Peabody,02290000,47,98,536,542,533,524,547,523,483,516,500,484,445,393,350,0,0,"6,521"
Pelham,02300000,0,0,13,15,22,24,18,26,25,0,0,0,0,0,0,0,0,143
Pembroke,02310000,0,0,264,252,250,290,259,260,252,0,0,0,0,0,0,0,0,"1,827"
Pentucket,07450000,3,102,248,261,276,295,292,271,268,300,280,247,217,163,175,0,0,"3,398"
Petersham,02340000,0,0,10,11,19,15,10,12,14,0,0,0,0,0,0,0,0,91
Pioneer Valley,07500000,0,68,63,63,79,105,76,102,109,109,109,95,96,73,71,1,0,"1,219"
Pioneer Valley Performing Arts Charter,04790000,0,0,0,0,0,0,0,0,0,0,0,61,65,74,0,0,0,200
Pittsfield,02360000,191,186,496,503,524,534,503,490,527,506,467,542,527,489,458,13,0,"6,956"
Plainville,02380000,0,47,97,102,103,102,101,104,87,0,0,0,0,0,0,0,0,743
Plymouth,02390000,0,136,691,780,736,726,738,671,631,637,672,724,547,564,554,0,0,"8,807"
Plympton,02400000,0,0,31,42,44,43,39,36,42,0,0,0,0,0,0,0,0,277
Prospect Hill Academy Charter,04870000,0,0,43,84,75,71,52,57,56,50,43,15,16,0,0,0,0,562
Provincetown,02420000,0,19,20,14,23,11,25,16,19,28,39,23,22,37,32,0,0,328
Quabbin,07530000,23,54,227,250,239,228,259,242,284,250,287,216,174,165,171,0,0,"3,069"
Quaboag Regional,07780000,0,77,107,100,127,128,146,146,131,127,102,110,91,102,88,0,0,"1,582"
Quincy,02430000,281,252,575,688,665,719,691,698,664,671,677,721,576,625,505,0,0,"9,008"
Ralph C Mahar,07550000,0,0,0,0,0,0,0,0,0,172,133,157,104,84,108,0,0,758
Randolph,02440000,92,54,291,274,348,369,358,331,324,360,341,278,290,227,200,0,0,"4,137"
Reading,02460000,0,0,279,361,363,374,322,348,366,332,345,291,259,268,253,0,0,"4,161"
Revere,02480000,96,202,425,551,500,500,510,504,491,459,475,416,365,311,264,0,0,"6,069"
Richmond,02490000,0,0,21,19,13,24,28,18,18,28,26,0,0,0,0,0,0,195
Rising Tide Charter,04830000,0,0,0,0,0,0,0,54,54,54,0,0,0,0,0,0,0,162
Rochester,02500000,0,20,65,58,67,76,70,66,67,0,0,0,0,0,0,0,0,489
Rockland,02510000,21,84,248,234,243,231,199,256,219,239,240,205,178,181,160,0,0,"2,938"
Rockport,02520000,16,0,74,91,91,82,112,86,106,86,101,80,74,52,50,0,0,"1,101"
Rowe,02530000,0,7,3,6,10,5,10,7,4,0,0,0,0,0,0,0,0,52
