DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Abby Kelley Foster Regional Charter,04450000,0,0,99,87,86,84,89,88,0,0,0,0,0,0,0,0,0,533
Abington,00010000,0,33,167,202,187,196,191,172,192,193,178,132,147,127,160,0,0,"2,277"
Academy Of the Pacific Rim Charter,04120000,0,0,0,0,0,0,0,0,76,52,22,0,0,0,0,0,0,150
Acton,00020000,0,0,338,320,356,351,335,327,345,0,0,0,0,0,0,0,0,"2,372"
Acton-Boxborough,06000000,16,0,0,0,0,0,0,0,0,420,389,336,372,342,303,0,0,"2,178"
Acushnet,00030000,0,28,80,107,113,126,115,126,137,129,136,0,0,0,0,0,0,"1,097"
Adams-Cheshire,06030000,0,49,148,130,162,143,181,121,148,174,173,156,126,142,100,0,0,"1,953"
Agawam,00050000,6,0,307,351,338,347,330,307,349,330,305,403,332,276,285,0,0,"4,266"
Amesbury,00070000,0,55,214,235,232,253,215,254,228,255,223,221,166,175,142,0,0,"2,868"
Amherst,00080000,0,62,201,197,237,226,249,224,259,0,0,0,0,0,0,0,0,"1,655"
Amherst-Pelham,06050000,0,0,0,0,0,0,0,0,0,362,329,363,317,318,318,0,0,"2,007"
Andover,00090000,0,36,413,446,475,482,504,503,460,469,466,414,385,350,331,0,0,"5,734"
Arlington,00100000,17,0,376,351,373,372,366,364,341,326,299,259,260,253,265,0,0,"4,222"
Ashburnham-Westminster,06100000,0,29,147,172,174,205,192,183,214,229,210,182,174,168,152,0,0,"2,431"
Ashland,00140000,0,0,193,209,188,187,183,199,162,153,166,162,136,142,110,0,0,"2,190"
Assabet Valley,08010000,0,0,0,0,0,0,0,0,0,0,0,222,202,219,181,111,0,935
Athol-Royalston,06150000,17,33,157,144,133,216,176,175,163,213,212,162,160,135,128,0,0,"2,224"
Atlantis Charter,04910000,0,0,72,65,71,72,73,72,25,25,25,0,0,0,0,0,0,500
Attleboro,00160000,0,103,530,558,516,614,541,527,535,510,520,538,502,399,409,0,0,"6,802"
Auburn,00170000,7,67,186,200,186,188,210,204,207,187,181,164,145,148,162,0,0,"2,442"
Avon,00180000,0,0,63,66,64,64,65,61,61,71,69,53,59,56,50,0,0,802
Ayer,00190000,0,29,119,105,97,108,91,94,81,80,69,96,84,91,63,0,0,"1,207"
Barnstable,00200000,9,198,416,554,563,633,609,592,556,537,558,562,495,362,385,0,0,"7,029"
Bedford,00230000,0,0,151,165,176,159,149,184,150,147,151,192,172,138,159,0,0,"2,093"
Belchertown,00240000,1,66,191,195,182,195,199,187,184,195,195,132,143,146,114,0,0,"2,325"
Bellingham,00250000,58,120,175,230,199,228,234,232,217,214,192,212,159,139,141,0,0,"2,750"
Belmont,00260000,0,24,268,278,286,307,298,271,299,259,251,269,240,239,217,0,0,"3,506"
Benjamin Banneker Charter,04200000,0,0,35,38,42,36,41,34,30,34,0,0,0,0,0,0,0,290
Benjamin Franklin Classical Charter,04470000,0,0,42,43,44,47,41,26,40,27,0,0,0,0,0,0,0,310
Berkley,00270000,20,62,82,111,103,76,96,88,91,87,87,0,0,0,0,0,0,903
Berkshire Hills,06180000,8,10,91,105,103,103,113,103,94,135,147,183,167,148,138,0,0,"1,648"
Berlin,00280000,0,0,28,35,42,30,28,42,33,0,0,0,0,0,0,0,0,238
Berlin-Boylston,06200000,0,0,0,0,0,0,0,0,0,86,84,72,68,50,53,0,0,413
Beverly,00300000,19,57,353,400,383,399,407,388,356,404,405,360,316,284,267,0,0,"4,798"
Billerica,00310000,6,0,500,586,516,575,518,568,524,549,491,341,380,348,359,0,0,"6,261"
Blackstone Valley Reg,08050000,0,0,0,0,0,0,0,0,0,0,0,216,228,225,199,0,0,868
Blackstone-Millville,06220000,48,83,176,195,200,188,190,171,222,199,224,136,130,121,113,0,0,"2,396"
Blue Hills Voc,08060000,0,0,0,0,0,0,0,0,0,0,0,325,302,226,207,48,0,"1,108"
Boston,00350000,0,"1,085","4,797","5,550","5,594","5,404","5,073","4,785","4,438","4,600","4,502","5,207","4,574","3,988","3,446",0,0,"63,043"
Boston Evening Academy HMCS,04240000,0,0,0,0,0,0,0,0,0,0,0,22,49,56,27,0,0,154
Boston Renaissance Charter,04810000,0,0,106,107,104,112,108,107,111,96,145,67,0,0,0,0,0,"1,063"
BOSTON UNIVERSITY CHARTER,04250000,0,0,0,0,0,0,0,0,0,0,2,6,7,6,0,0,0,21
Bourne,00360000,0,2,209,248,187,205,223,215,208,203,198,153,157,139,133,0,0,"2,480"
Boxborough,00370000,0,0,104,96,87,91,87,96,78,0,0,0,0,0,0,0,0,639
Boxford,00380000,39,73,134,134,107,153,140,142,153,0,0,0,0,0,0,0,0,"1,075"
Boylston,00390000,0,0,41,67,49,54,51,53,37,0,0,0,0,0,0,0,0,352
Braintree,00400000,38,0,339,388,437,387,375,431,371,380,412,375,341,322,308,0,0,"4,904"
Brewster,00410000,0,22,106,119,122,119,145,140,0,0,0,0,0,0,0,0,0,773
Bridgewater-Raynham,06250000,0,106,451,486,465,487,479,488,461,467,441,375,358,334,357,0,0,"5,755"
Brimfield,00430000,0,0,44,45,62,41,55,74,38,0,0,0,0,0,0,0,0,359
Bristol County Agr,09100000,0,0,0,0,0,0,0,0,0,0,0,117,106,83,92,0,0,398
Bristol-Plymouth Voc Tech,08100000,0,0,0,0,0,0,0,0,0,0,0,238,217,195,177,42,0,869
Brockton,00440000,15,301,"1,336","1,556","1,446","1,517","1,363","1,422","1,331","1,324","1,312",975,"1,273",831,658,0,0,"16,660"
Brookfield,00450000,0,33,46,44,37,45,52,53,41,0,0,0,0,0,0,0,0,351
Brookline,00460000,55,0,428,449,458,510,495,486,498,463,425,458,436,415,401,0,0,"5,977"
Burlington,00480000,0,0,312,279,303,324,300,315,282,261,261,243,222,225,221,0,0,"3,548"
Cambridge,00490000,133,33,769,622,608,580,624,577,528,555,507,489,504,466,451,0,0,"7,446"
Canton,00500000,3,50,200,238,223,232,274,232,216,243,222,178,185,167,173,0,0,"2,836"
Cape Cod Lighthouse Charter,04320000,0,0,0,0,0,0,0,0,54,55,55,0,0,0,0,0,0,164
Cape Cod Region Voc Tech,08150000,8,0,0,0,0,0,0,0,0,0,0,150,179,172,136,9,0,654
Carlisle,00510000,0,13,81,82,64,100,75,83,94,74,81,0,0,0,0,0,0,747
Carver,00520000,0,41,147,206,170,166,165,177,182,200,161,171,147,128,119,0,0,"2,180"
Central Berkshire,06350000,0,42,152,174,173,192,201,191,207,222,195,202,167,197,173,0,0,"2,488"
Chatham,00550000,2,7,39,52,45,56,54,53,64,56,64,64,55,50,33,0,0,694
Chelmsford,00560000,0,0,453,452,439,476,461,435,406,422,435,408,394,357,378,0,0,"5,516"
Chelsea,00570000,12,350,502,563,539,552,484,458,427,379,368,427,279,241,184,0,0,"5,765"
Chesterfield-Goshen,06320000,0,19,18,30,16,19,15,16,21,0,0,0,0,0,0,0,0,154
Chicopee,00610000,25,255,539,602,592,560,547,547,554,515,579,775,623,512,466,0,0,"7,691"
City On A Hill Charter,04370000,0,0,0,0,0,0,0,0,0,0,0,73,50,31,36,0,0,190
Clarksburg,00630000,0,0,23,21,31,18,28,21,24,27,21,0,0,0,0,0,0,214
Clinton,00640000,0,90,151,159,167,157,186,140,166,139,160,139,116,99,90,0,0,"1,959"
Cohasset,00650000,0,0,95,123,114,103,131,112,84,103,90,82,76,65,79,0,0,"1,257"
Community Day Charter,04400000,0,0,22,42,32,33,27,21,22,19,0,0,0,0,0,0,0,218
Concord,00670000,0,0,219,252,272,231,239,222,214,210,204,0,0,0,0,0,0,"2,063"
Concord-Carlisle,06400000,0,0,0,0,0,0,0,0,0,0,0,270,232,223,213,0,0,938
Conway,00680000,0,18,17,23,23,34,27,24,28,0,0,0,0,0,0,0,0,194
Danvers,00710000,14,20,275,293,259,310,319,295,310,297,299,276,236,243,234,0,0,"3,680"
Dartmouth,00720000,14,17,225,316,303,313,312,344,323,327,383,318,293,267,300,1,0,"4,056"
Dedham,00730000,0,80,236,271,237,258,267,239,230,234,213,203,200,146,166,0,0,"2,980"
Deerfield,00740000,0,40,50,59,50,66,62,67,60,0,0,0,0,0,0,0,0,454
Dennis-Yarmouth,06450000,13,11,328,359,368,403,361,384,391,340,413,354,284,281,224,0,0,"4,514"
Dighton-Rehoboth,06500000,0,91,184,236,220,251,257,234,259,273,242,249,215,204,218,0,0,"3,133"
Douglas,00770000,1,94,108,109,125,104,85,108,108,90,102,77,83,71,48,0,0,"1,313"
Dover,00780000,0,0,82,99,90,95,84,94,0,0,0,0,0,0,0,0,0,544
Dover-Sherborn,06550000,0,0,0,0,0,0,0,0,173,140,130,118,123,101,103,0,0,888
Dracut,00790000,0,70,326,371,380,356,350,347,332,308,339,252,227,232,255,0,0,"4,145"
Dudley-Charlton Reg,06580000,6,180,288,320,310,320,318,322,313,304,287,278,202,252,176,0,0,"3,876"
Duxbury,00820000,0,48,184,249,229,221,245,248,245,236,246,204,217,216,189,0,0,"2,977"
East Bridgewater,00830000,0,28,149,187,217,220,206,211,191,188,198,177,167,155,147,0,0,"2,441"
East Longmeadow,00870000,0,42,190,185,187,200,225,195,206,194,187,242,193,196,198,0,0,"2,640"
Eastham,00850000,0,0,51,60,48,48,71,77,0,0,0,0,0,0,0,0,0,355
Easthampton,00860000,6,32,129,148,164,165,164,144,147,142,180,115,129,95,101,0,0,"1,861"
Easton,00880000,13,119,296,297,314,273,304,285,262,276,314,219,242,263,220,0,0,"3,697"
Edgartown,00890000,0,0,39,46,52,41,49,40,49,46,55,0,0,0,0,0,0,417
Erving,00910000,0,26,17,20,23,11,24,13,18,0,0,0,0,0,0,0,0,152
ESSEX,00920000,0,0,55,43,35,40,45,42,40,47,48,0,0,0,0,0,0,395
Essex Agr Tech,09130000,0,0,0,0,0,0,0,0,0,0,0,103,81,80,82,178,84,608
Everett,00930000,69,337,337,451,416,389,411,348,394,377,394,415,337,326,267,0,0,"5,268"
Fairhaven,00940000,0,0,136,175,182,190,215,192,184,196,186,187,141,132,96,0,0,"2,212"
Fall River,00950000,231,182,976,961,994,"1,053","1,011",932,981,971,988,"1,139",602,630,470,0,0,"12,121"
Falmouth,00960000,24,126,342,343,403,416,404,406,429,395,368,349,306,318,336,0,0,"4,965"
Farmington River Reg,06620000,0,27,25,21,17,22,22,26,28,0,0,0,0,0,0,0,0,188
Fitchburg,00970000,54,99,515,570,537,515,544,520,480,460,433,421,300,232,221,0,0,"5,901"
Florida,00980000,0,0,11,10,12,12,14,10,14,18,14,0,0,0,0,0,0,115
Foxboro Regional Charter,04460000,0,0,66,69,72,75,78,54,54,56,56,0,0,0,0,0,0,580
Foxborough,00990000,0,96,200,215,249,223,231,234,217,251,215,184,184,187,192,0,0,"2,878"
Framingham,01000000,54,176,661,698,752,652,741,651,649,606,602,482,432,372,365,0,0,"7,893"
Francis W. Parker Charter,04780000,0,0,0,0,0,0,0,0,0,66,73,58,65,38,0,0,0,300
Franklin,01010000,3,104,504,482,451,480,413,426,401,382,383,272,259,261,209,0,0,"5,030"
Franklin County,08180000,0,0,0,0,0,0,0,0,0,0,0,126,139,125,98,0,0,488
Freetown,01020000,2,15,79,95,93,101,132,0,0,0,0,0,0,0,0,0,0,517
Freetown-Lakeville,06650000,0,0,0,0,0,0,0,245,250,237,233,210,200,197,175,0,0,"1,747"
Frontier,06700000,0,0,0,0,0,0,0,0,0,134,129,115,103,119,104,0,0,704
Gardner,01030000,0,77,222,251,247,240,254,247,247,237,238,265,241,186,150,0,0,"3,102"
Gateway,06720000,0,51,107,115,101,109,120,135,144,126,154,105,114,97,103,0,0,"1,581"
Georgetown,01050000,0,128,126,139,115,105,121,110,109,97,112,75,72,76,79,0,0,"1,464"
Gill-Montague,06740000,0,38,91,102,127,124,96,126,112,142,157,129,118,104,96,0,0,"1,562"
Gloucester,01070000,0,81,295,341,326,313,338,275,333,331,359,327,321,287,218,0,0,"4,145"
Grafton,01100000,5,10,204,204,204,187,214,139,144,182,175,153,113,105,102,0,0,"2,141"
Granby,01110000,0,33,84,79,103,92,65,91,68,98,104,73,79,73,63,0,0,"1,105"
Granville,01120000,0,15,25,33,18,33,32,30,27,26,23,0,0,0,0,0,0,262
Greater Fall River,08210000,0,0,0,0,0,0,0,0,0,0,0,334,324,276,239,47,0,"1,220"
Greater Lawrence RVT,08230000,0,0,0,0,0,0,0,0,0,0,0,393,364,334,269,0,0,"1,360"
Greater Lowell Voc Tec,08280000,15,0,0,0,0,0,0,0,0,0,0,500,501,404,384,138,0,"1,942"
