SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School,04450105,0,113,118,93,99,99,95,74,62,67,38,0,0,0,0,858
Abington - Abington ECC,00010003,38,168,195,191,0,0,0,0,0,0,0,0,0,0,0,592
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,141,157,150,128,0,576
Abington - Center,00010005,0,0,0,0,49,51,52,53,0,0,0,0,0,0,0,205
Abington - Frolio Jr Hs,00010405,0,0,0,0,0,0,0,0,210,193,0,0,0,0,0,403
Abington - North,00010010,0,0,0,0,47,50,49,44,0,0,0,0,0,0,0,190
Abington - Woodsdale,00010015,0,0,0,0,96,85,103,98,0,0,0,0,0,0,0,382
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,0,0,0,0,0,0,0,0,3,4,9,13,6,0,0,35
Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School,04120530,0,0,0,0,0,0,0,82,65,49,35,28,24,11,0,294
Acton - Douglas,00020020,0,73,68,65,67,71,73,82,0,0,0,0,0,0,0,499
Acton - Gates,00020025,0,73,68,66,68,74,76,81,0,0,0,0,0,0,0,506
Acton - Luther Conant,00020030,0,72,67,65,72,75,72,80,0,0,0,0,0,0,0,503
Acton - McCarthy-Towne,00020015,0,72,66,68,85,73,73,82,0,0,0,0,0,0,0,519
Acton - Merriam,00020010,30,73,92,88,63,66,52,56,0,0,0,0,0,0,0,520
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0,0,0,0,0,0,0,0,0,0,427,398,416,355,0,"1,596"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,457,444,0,0,0,0,0,901
Acushnet - Acushnet Elementary Sch,00030025,26,77,105,99,112,121,0,0,0,0,0,0,0,0,0,540
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,121,142,144,134,0,0,0,0,0,541
Adams-Cheshire - Adams Middle,06030305,0,0,0,0,0,0,0,127,146,166,0,0,0,0,0,439
Adams-Cheshire - Cheshire Elementary,06030004,24,45,45,38,34,42,41,46,0,0,0,0,0,0,0,315
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,0,0,134,134,136,126,1,531
Adams-Cheshire - Plunkett Elementary,06030020,0,91,94,93,102,104,102,0,0,0,0,0,0,0,0,586
Agawam - Agawam ECC,00050003,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,355,272,292,266,0,"1,185"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,365,354,0,0,0,0,0,719
Agawam - Agawam Middle School,00050303,0,0,0,0,0,0,338,357,0,0,0,0,0,0,0,695
Agawam - Benjamin J Phelps,00050020,0,72,93,88,80,87,0,0,0,0,0,0,0,0,0,420
Agawam - Clifford M Granger,00050010,0,77,83,88,84,82,0,0,0,0,0,0,0,0,0,414
Agawam - James Clark School,00050030,0,69,83,77,83,91,0,0,0,0,0,0,0,0,0,403
Agawam - Robinson Park,00050025,0,82,85,74,75,82,0,0,0,0,0,0,0,0,0,398
Amesbury - Amesbury Elementary,00070005,34,94,92,89,101,109,0,0,0,0,0,0,0,0,0,519
Amesbury - Amesbury High,00070505,0,0,0,0,0,0,0,0,0,0,244,225,188,191,2,850
Amesbury - Amesbury Middle,00070013,0,0,0,0,0,0,211,209,234,193,0,0,0,0,0,847
Amesbury - Charles C Cashman El,00070010,68,101,102,98,95,95,0,0,0,0,0,0,0,0,0,559
Amherst - Crocker Farm Elementary,00080009,0,42,49,39,39,39,38,45,0,0,0,0,0,0,0,291
Amherst - Fort River Elementary,00080020,57,75,59,85,76,64,78,76,0,0,0,0,0,0,0,570
Amherst - Marks Meadow Laboratory,00080030,0,40,22,19,25,36,23,26,0,0,0,0,0,0,0,191
Amherst - Wildwood Elementary,00080050,0,62,68,55,63,73,64,87,0,0,0,0,0,0,0,472
Amherst-Pelham - Amherst Regional High,06050505,0,0,0,0,0,0,0,0,0,0,332,351,369,309,0,"1,361"
Amherst-Pelham - Amherst Regional MS,06050405,0,0,0,0,0,0,0,0,328,351,0,0,0,0,0,679
Andover - Andover High,00090505,0,0,0,0,0,0,0,0,0,0,472,386,408,381,0,"1,647"
Andover - Andover West Middle,00090310,0,0,0,0,0,0,0,163,173,157,0,0,0,0,0,493
Andover - Bancroft Elementary,00090003,0,65,63,69,66,89,85,0,0,0,0,0,0,0,0,437
Andover - Doherty Middle,00090305,0,0,0,0,0,0,0,179,194,205,0,0,0,0,0,578
Andover - Henry C Sanborn Elem,00090010,0,48,56,54,77,66,66,0,0,0,0,0,0,0,0,367
Andover - High Plain Elementary,00090004,0,81,79,92,83,106,98,0,0,0,0,0,0,0,0,539
Andover - Shawsheen School,00090005,39,82,76,67,0,0,0,0,0,0,0,0,0,0,0,264
Andover - South Elementary,00090020,0,69,82,92,102,104,114,0,0,0,0,0,0,0,0,563
Andover - West Elementary,00090025,0,70,79,96,118,124,114,0,0,0,0,0,0,0,0,601
Andover - Wood Hill Middle School,00090350,0,0,0,0,0,0,0,136,140,150,0,0,0,0,0,426
Arlington - Arlington High,00100505,0,0,0,0,0,0,0,0,0,0,291,275,283,270,0,"1,119"
Arlington - Brackett,00100010,0,60,69,68,53,52,48,0,0,0,0,0,0,0,0,350
Arlington - Cyrus E Dallin,00100025,0,65,67,66,62,68,52,0,0,0,0,0,0,0,0,380
Arlington - Hardy,00100030,0,58,53,45,50,47,33,0,0,0,0,0,0,0,0,286
Arlington - John A Bishop,00100005,0,73,65,68,63,60,57,0,0,0,0,0,0,0,0,386
Arlington - M Norcross Stratton,00100055,0,65,45,53,52,45,31,0,0,0,0,0,0,0,0,291
Arlington - Menotomy Preschool,00100038,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Arlington - Ottoson Middle,00100410,0,0,0,0,0,0,0,335,346,331,0,0,0,0,0,"1,012"
Arlington - Peirce,00100045,0,45,38,40,35,35,37,0,0,0,0,0,0,0,0,230
Arlington - Thompson,00100050,0,68,55,54,51,50,52,0,0,0,0,0,0,0,0,330
Ashburnham-Westminster - Briggs Elem,06100025,27,74,76,81,86,82,91,0,0,0,0,0,0,0,0,517
Ashburnham-Westminster - Meetinghouse School,06100010,41,82,83,0,0,0,0,0,0,0,0,0,0,0,0,206
Ashburnham-Westminster - Oakmont Regional H S,06100505,0,0,0,0,0,0,0,0,0,0,169,172,182,185,0,708
Ashburnham-Westminster - Overlook Middle School,06100305,0,0,0,0,0,0,0,215,220,200,0,0,0,0,0,635
Ashburnham-Westminster - Westminster Elem,06100005,0,0,0,101,100,95,101,0,0,0,0,0,0,0,0,397
Ashland - Ashland High,00140505,0,0,0,0,0,0,0,0,0,0,180,150,145,141,0,616
Ashland - Ashland Middle,00140405,0,0,0,0,0,0,0,0,195,191,0,0,0,0,0,386
Ashland - David Mindess,00140015,0,0,0,0,0,196,204,195,0,0,0,0,0,0,0,595
Ashland - Henry E Warren Elem,00140010,0,0,217,215,201,0,0,0,0,0,0,0,0,0,0,633
Ashland - William Pittaway Elem,00140005,141,182,0,0,0,0,0,0,0,0,0,0,0,0,0,323
Assabet Valley - Assabet Valley Voc H S,08010605,0,0,0,0,0,0,0,0,0,0,245,239,203,202,0,889
Athol-Royalston - Athol High,06150505,0,0,0,0,0,0,0,0,0,0,165,143,154,119,0,581
Athol-Royalston - Athol-Royalston Middle School,06150305,0,0,0,0,0,0,0,143,215,209,0,0,0,0,0,567
Athol-Royalston - Ellen Bigelow,06150005,0,32,37,32,28,0,0,0,0,0,0,0,0,0,0,129
Athol-Royalston - Pleasant St,06150016,0,36,34,41,40,49,45,0,0,0,0,0,0,0,0,245
Athol-Royalston - Riverbend,06150020,0,0,0,0,1,116,96,0,0,0,0,0,0,0,0,213
Athol-Royalston - Royalston Community Sch,06150050,0,18,16,24,12,16,21,16,0,0,0,0,0,0,0,123
Athol-Royalston - Sanders Street,06150025,0,37,32,37,37,0,0,0,0,0,0,0,0,0,0,143
Athol-Royalston - Silver Lake,06150030,0,40,30,28,41,0,0,0,0,0,0,0,0,0,0,139
Athol-Royalston - The Learning Center,06150060,25,1,2,3,5,6,1,1,4,7,3,6,4,1,0,69
Atlantis Charter - Atlantis Charter School,04910550,0,85,65,70,70,69,69,69,72,69,0,0,0,0,0,638
Attleboro - A. Irvin Studley Elementary School,00160001,0,0,104,93,84,94,0,0,0,0,0,0,0,0,0,375
Attleboro - Attleboro High,00160505,0,0,0,0,0,0,0,0,0,0,550,327,288,281,0,"1,446"
Attleboro - Attleboro Voc Tech High,00160605,0,0,0,0,0,0,0,0,0,0,18,206,167,92,0,483
Attleboro - Cyril K. Brennan Middle School,00160315,0,0,0,0,0,0,176,170,210,188,0,0,0,0,0,744
Attleboro - Early Learning Center,00160008,128,523,0,0,0,0,0,0,0,0,0,0,0,0,0,651
Attleboro - Hill-Roberts Elementary School,00160045,0,0,102,107,92,107,0,0,0,0,0,0,0,0,0,408
Attleboro - Hyman Fine Elementary School,00160040,0,0,116,109,104,109,0,0,0,0,0,0,0,0,0,438
Attleboro - Peter Thacher Elementary School,00160050,0,0,109,114,98,117,0,0,0,0,0,0,0,0,0,438
Attleboro - Robert J. Coelho Middle School,00160305,0,0,0,0,0,0,145,152,174,155,0,0,0,0,0,626
Attleboro - Thomas E. Willett School,00160035,0,0,83,118,88,107,0,0,0,0,0,0,0,0,0,396
Attleboro - Wamsutta Middle School,00160320,0,0,0,0,0,0,181,162,203,177,0,0,0,0,0,723
Auburn - Auburn Middle,00170305,0,0,0,0,0,0,0,192,186,215,0,0,0,0,0,593
Auburn - Auburn Senior High,00170505,0,0,0,0,0,0,0,0,0,0,152,166,147,158,0,623
Auburn - Bryn Mawr,00170010,0,86,95,101,0,0,0,0,0,0,0,0,0,0,0,282
Auburn - Julia Bancroft,00170005,0,0,0,0,100,93,98,0,0,0,0,0,0,0,0,291
Auburn - Mary D Stone,00170025,65,79,86,103,0,0,0,0,0,0,0,0,0,0,0,333
Auburn - Pakachoag,00170015,0,0,0,0,100,91,109,0,0,0,0,0,0,0,0,300
Avon - Avon Middle High School,00180510,0,0,0,0,0,0,53,63,63,68,58,54,51,43,0,453
Avon - Ralph D Butler,00180010,22,43,55,50,52,55,0,0,0,0,0,0,0,0,0,277
Ayer - Ayer High,00190510,0,0,0,0,0,0,0,0,0,0,99,108,88,74,0,369
Ayer - Ayer Middle,00190305,0,0,0,0,0,0,97,99,86,88,0,0,0,0,0,370
Ayer - Page-Hilltop,00190025,80,112,104,123,129,103,0,0,0,0,0,0,0,0,0,651
Barnstable - Barnstable High,00200505,0,0,0,0,0,0,0,0,0,0,620,512,489,397,0,"2,018"
Barnstable - Centerville Elementary,00200010,0,66,80,89,88,73,1,0,0,0,0,0,0,0,0,397
Barnstable - Cotuit Elem,00200015,0,0,0,30,68,52,0,0,0,0,0,0,0,0,0,150
Barnstable - Hyannis Elementary,00200020,0,85,62,82,77,70,0,0,0,0,0,0,0,0,0,376
Barnstable - Hyannis West Elementary,00200025,0,68,74,63,74,61,0,0,0,0,0,0,0,0,0,340
Barnstable - Marstons Mills East,00200032,68,54,78,67,65,70,0,0,0,0,0,0,0,0,0,402
Barnstable - Marstons Mills Elem,00200030,0,50,61,29,0,0,0,0,0,0,0,0,0,0,0,140
Barnstable - Middle Sch/Marston's Mill,00200310,0,0,0,0,0,0,0,224,298,274,0,0,0,0,0,796
Barnstable - Middle School/Hyannis,00200305,0,0,0,0,0,0,0,270,292,311,0,0,0,0,0,873
Barnstable - Osterville Bay Elementary,00200040,0,0,0,0,96,76,0,0,0,0,0,0,0,0,0,172
Barnstable - Osterville Elementary,00200035,0,92,96,91,0,0,0,0,0,0,0,0,0,0,0,279
Barnstable - West Barnstable Elem,00200005,0,44,60,63,57,62,0,0,0,0,0,0,0,0,0,286
Barnstable HMCS - Barnstable HMCS School,04230010,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,525
Bedford - Bedford High,00230505,0,0,0,0,0,0,0,0,0,0,216,184,167,153,0,720
Bedford - John Glenn Middle,00230305,0,0,0,0,0,0,0,180,159,160,0,0,0,0,0,499
Bedford - Lt Elezer Davis,00230010,1,163,155,184,0,0,0,0,0,0,0,0,0,0,0,503
Bedford - Lt Job Lane School,00230012,0,0,0,0,159,177,161,0,0,0,0,0,0,0,0,497
Belchertown - Belchertown High,00240505,0,0,0,0,0,0,0,0,0,0,192,161,157,140,0,650
Belchertown - Berkshire Avenue School,00240002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belchertown - Chestnut Hill Community,00240004,0,0,0,0,0,0,0,190,203,214,0,0,0,0,0,607
Belchertown - Cold Spring,00240005,0,177,195,190,0,0,0,0,0,0,0,0,0,0,0,562
Belchertown - Swift River Elem,00240018,27,0,0,0,176,222,196,0,0,0,0,0,0,0,0,621
Belchertown - Tadgell Hall,00240020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellingham - Bellingham ECC,00250003,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Bellingham - Bellingham High School,00250505,0,0,0,0,0,0,0,0,0,0,210,187,198,158,0,753
Bellingham - Bellingham Memorial Middle School,00250315,0,0,0,0,0,0,0,0,223,225,0,0,0,0,0,448
Bellingham - Clara Macy Elementary,00250009,0,60,65,65,46,51,55,52,0,0,0,0,0,0,0,394
