SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Worcester - Multiple Intelligences,03480065,0,30,34,34,35,40,37,52,0,0,0,0,0,0,0,262
Worcester - Nelson Place,03480200,0,74,64,49,68,56,82,71,0,0,0,0,0,0,0,464
Worcester - New Ludlow,03480165,0,38,24,32,33,32,35,34,0,0,0,0,0,0,0,228
Worcester - Norrback Avenue,03480202,47,101,93,96,91,83,68,69,0,0,0,0,0,0,0,648
Worcester - North High,03480515,0,0,0,0,0,0,0,0,0,0,434,272,288,243,0,"1,237"
Worcester - Quinsigamond,03480210,25,101,97,101,104,97,96,78,0,0,0,0,0,0,0,699
Worcester - Rice Square,03480215,25,81,66,52,53,58,53,50,0,0,0,0,0,0,0,438
Worcester - Roosevelt,03480220,46,101,93,90,92,92,92,77,0,0,0,0,0,0,0,683
Worcester - South High Community,03480520,0,0,0,0,0,0,0,0,0,0,456,400,301,273,27,"1,457"
Worcester - Sullivan Middle,03480423,0,0,0,0,0,0,0,0,519,550,0,0,0,0,0,"1,069"
Worcester - Tatnuck,03480230,0,55,64,56,68,64,69,72,0,0,0,0,0,0,0,448
Worcester - Thorndyke Road,03480235,28,48,48,48,47,55,44,58,0,0,0,0,0,0,0,376
Worcester - Union Hill School,03480240,0,40,30,34,43,28,41,50,0,0,0,0,0,0,0,266
Worcester - University Pk Campus Sch,03480285,0,0,0,0,0,0,0,0,42,34,41,36,30,27,0,210
Worcester - Vernon Hill School,03480280,0,68,68,74,52,56,53,56,0,0,0,0,0,0,0,427
Worcester - Wawecus Road School,03480026,0,23,19,27,25,35,20,26,0,0,0,0,0,0,0,175
Worcester - West Tatnuck,03480260,54,28,29,35,35,31,40,29,0,0,0,0,0,0,0,281
Worcester - Worcester Arts Magnet Sch,03480225,37,51,47,36,36,53,51,48,0,0,0,0,0,0,0,359
Worcester - Worcester East Middle,03480420,0,0,0,0,0,0,0,0,436,381,0,0,0,0,0,817
Worcester - Worcester Voc High,03480605,0,0,0,0,0,0,0,0,0,0,308,267,266,176,0,"1,017"
Wrentham - Charles E Roderick,03500010,0,0,0,0,0,182,172,176,0,0,0,0,0,0,0,530
Wrentham - Delaney,03500003,61,181,173,169,158,0,0,0,0,0,0,0,0,0,0,742
State Totals - State Totals,00000000,"22,533","69,704","72,667","71,840","73,614","73,478","74,842","76,945","77,872","78,635","83,759","73,967","68,214","62,389",359,"980,818"
