SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,0,111,135,133,141,135,140,134,130,134,101,71,40,20,0,"1,425"
Abington - Abington ECC,00010003,58,148,167,162,0,0,0,0,0,0,0,0,0,0,0,535
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,129,148,150,157,0,584
Abington - Center,00010005,0,0,0,0,48,44,44,52,0,0,0,0,0,0,0,188
Abington - Frolio Middle School,00010405,0,0,0,0,0,0,0,0,185,205,0,0,0,0,0,390
Abington - North,00010010,0,0,0,0,50,44,48,54,0,0,0,0,0,0,0,196
Abington - Woodsdale,00010015,0,0,0,0,103,93,92,112,0,0,0,0,0,0,0,400
Academy of Strategic Learning Charter (District) - Academy of Strategic Learning Charter School,04150505,0,0,0,0,0,0,0,0,0,3,11,10,12,13,0,49
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,0,0,0,0,0,0,83,82,74,54,62,49,36,34,0,474
Acton - Douglas,00020020,0,60,65,67,71,75,77,74,0,0,0,0,0,0,0,489
Acton - Gates,00020025,0,63,65,64,68,73,75,71,0,0,0,0,0,0,0,479
Acton - Luther Conant,00020030,0,62,65,68,72,76,76,73,0,0,0,0,0,0,0,492
Acton - McCarthy-Towne,00020015,0,60,66,68,67,69,78,72,0,0,0,0,0,0,0,480
Acton - Merriam,00020010,67,58,66,73,72,87,97,96,0,0,0,0,0,0,0,616
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0,0,0,0,0,0,0,0,0,0,478,520,464,495,1,"1,958"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,503,497,0,0,0,0,0,"1,000"
Acushnet - Acushnet Elementary Sch,00030025,27,94,105,105,96,113,0,0,0,0,0,0,0,0,0,540
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,132,111,128,118,0,0,0,0,0,489
Adams-Cheshire - Adams Middle,06030305,0,0,0,0,0,0,0,92,123,120,0,0,0,0,0,335
Adams-Cheshire - Cheshire Elementary,06030004,25,22,37,31,32,26,39,35,0,0,0,0,0,0,0,247
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,0,0,151,103,114,100,3,471
Adams-Cheshire - Plunkett Elementary,06030020,30,75,82,93,75,90,87,0,0,0,0,0,0,0,0,532
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0,0,0,0,0,0,0,191,163,121,75,83,0,0,0,633
Agawam - Agawam ECC,00050003,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,381,326,316,314,0,"1,337"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,369,363,0,0,0,0,0,732
Agawam - Agawam Middle School,00050303,0,0,0,0,0,0,337,346,0,0,0,0,0,0,0,683
Agawam - Benjamin J Phelps,00050020,0,68,76,73,75,81,0,0,0,0,0,0,0,0,0,373
Agawam - Clifford M Granger,00050010,0,67,62,63,61,78,0,0,0,0,0,0,0,0,0,331
Agawam - James Clark School,00050030,0,66,64,82,78,92,0,0,0,0,0,0,0,0,0,382
Agawam - Robinson Park,00050025,0,81,66,81,77,87,0,0,0,0,0,0,0,0,0,392
Amesbury - Amesbury Elementary,00070005,54,77,83,80,73,88,0,0,0,0,0,0,0,0,0,455
Amesbury - Amesbury High,00070505,0,0,0,0,0,0,0,0,0,0,161,173,187,158,2,681
Amesbury - Amesbury Middle,00070013,0,0,0,0,0,0,178,175,191,178,0,0,0,0,0,722
Amesbury - Charles C Cashman El,00070010,29,107,115,102,95,103,0,0,0,0,0,0,0,0,0,551
Amherst - Crocker Farm Elementary,00080009,68,51,34,37,37,45,29,30,0,0,0,0,0,0,0,331
Amherst - Fort River Elementary,00080020,0,52,51,61,62,76,73,83,0,0,0,0,0,0,0,458
Amherst - Marks Meadow Elementary School,00080030,0,22,33,22,20,25,33,35,0,0,0,0,0,0,0,190
Amherst - Wildwood Elementary,00080050,0,51,65,61,55,61,56,54,0,0,0,0,0,0,0,403
Amherst-Pelham - Amherst Regional High,06050505,0,0,0,0,0,0,0,0,0,0,298,307,302,294,0,"1,201"
Amherst-Pelham - Amherst Regional MS,06050405,0,0,0,0,0,0,0,0,241,289,0,0,0,0,0,530
Andover - Andover High,00090505,0,0,0,0,0,0,0,0,0,0,450,443,436,390,0,"1,719"
Andover - Andover West Middle,00090310,0,0,0,0,0,0,0,178,181,181,0,0,0,0,0,540
Andover - Bancroft Elementary,00090003,0,76,75,67,80,89,84,0,0,0,0,0,0,0,0,471
Andover - Doherty Middle,00090305,0,0,0,0,0,0,0,181,179,204,0,0,0,0,0,564
Andover - Henry C Sanborn Elem,00090010,0,55,50,50,63,66,68,0,0,0,0,0,0,0,0,352
Andover - High Plain Elementary,00090004,0,80,81,89,86,97,94,0,0,0,0,0,0,0,0,527
Andover - Shawsheen School,00090005,75,81,65,56,0,0,0,0,0,0,0,0,0,0,0,277
Andover - South Elementary,00090020,0,78,92,106,102,98,113,0,0,0,0,0,0,0,0,589
Andover - West Elementary,00090025,0,78,84,88,136,157,134,0,0,0,0,0,0,0,0,677
Andover - Wood Hill Middle School,00090350,0,0,0,0,0,0,0,132,134,141,0,0,0,0,0,407
Arlington - Arlington High,00100505,0,0,0,0,0,0,0,0,0,0,285,293,257,297,0,"1,132"
Arlington - Brackett,00100010,0,80,66,74,81,81,63,0,0,0,0,0,0,0,0,445
Arlington - Cyrus E Dallin,00100025,0,74,66,67,66,54,64,0,0,0,0,0,0,0,0,391
Arlington - Hardy,00100030,0,61,61,64,46,57,38,0,0,0,0,0,0,0,0,327
Arlington - John A Bishop,00100005,0,75,67,66,44,60,70,0,0,0,0,0,0,0,0,382
Arlington - M Norcross Stratton,00100055,0,63,47,55,52,40,53,0,0,0,0,0,0,0,0,310
Arlington - Menotomy Preschool,00100038,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Arlington - Ottoson Middle,00100410,0,0,0,0,0,0,0,365,336,347,0,0,0,0,0,"1,048"
Arlington - Peirce,00100045,0,47,39,45,34,35,36,0,0,0,0,0,0,0,0,236
Arlington - Thompson,00100050,0,51,55,62,54,45,49,0,0,0,0,0,0,0,0,316
Ashburnham-Westminster - Briggs Elem,06100025,0,77,62,60,82,78,102,0,0,0,0,0,0,0,0,461
Ashburnham-Westminster - Meetinghouse School,06100010,47,106,99,0,0,0,0,0,0,0,0,0,0,0,0,252
Ashburnham-Westminster - Oakmont Regional H S,06100505,0,0,0,0,0,0,0,0,0,0,205,178,175,183,11,752
Ashburnham-Westminster - Overlook Middle School,06100305,0,0,0,0,0,0,0,192,173,200,0,0,0,0,0,565
Ashburnham-Westminster - Westminster Elem,06100005,0,0,0,91,110,105,90,0,0,0,0,0,0,0,0,396
Ashland - Ashland High,00140505,0,0,0,0,0,0,0,0,0,0,198,171,185,180,0,734
Ashland - Ashland Middle,00140405,0,0,0,0,0,0,0,182,200,202,0,0,0,0,0,584
Ashland - David Mindess,00140015,0,0,0,0,189,205,234,0,0,0,0,0,0,0,0,628
Ashland - Henry E Warren Elem,00140010,100,0,205,186,0,0,0,0,0,0,0,0,0,0,0,491
Ashland - William Pittaway Elem,00140005,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,193
Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,08010605,0,0,0,0,0,0,0,0,0,0,250,248,215,220,0,933
Athol-Royalston - Athol High,06150505,0,0,0,0,0,0,0,0,0,0,142,101,109,99,5,456
Athol-Royalston - Athol-Royalston Middle School,06150305,0,0,0,0,0,0,50,129,127,147,0,0,0,0,0,453
Athol-Royalston - Ellen Bigelow,06150005,0,0,0,2,1,1,5,3,2,3,5,4,2,2,0,30
Athol-Royalston - Pleasant St,06150016,35,36,46,24,51,48,22,0,0,0,0,0,0,0,0,262
Athol-Royalston - Riverbend,06150020,0,22,23,24,24,46,43,0,0,0,0,0,0,0,0,182
Athol-Royalston - Royalston Community Sch,06150050,1,20,22,23,24,24,24,13,0,0,0,0,0,0,0,151
Athol-Royalston - Sanders Street,06150025,0,41,41,42,37,0,0,0,0,0,0,0,0,0,0,161
Atlantis Charter (District) - Atlantis Charter School,04910550,0,90,69,69,69,70,96,96,83,60,0,0,0,0,0,702
Attleboro - A. Irvin Studley Elementary School,00160001,0,84,93,79,100,91,0,0,0,0,0,0,0,0,0,447
Attleboro - Attleboro High,00160505,0,0,0,0,0,0,0,0,0,0,491,410,446,388,0,"1,735"
Attleboro - Cyril K. Brennan Middle School,00160315,0,0,0,0,0,0,165,133,147,155,0,0,0,0,0,600
Attleboro - Early Learning Center,00160008,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
Attleboro - Hill-Roberts Elementary School,00160045,0,87,108,106,74,103,0,0,0,0,0,0,0,0,0,478
Attleboro - Hyman Fine Elementary School,00160040,0,71,93,76,82,90,0,0,0,0,0,0,0,0,0,412
Attleboro - Peter Thacher Elementary School,00160050,0,108,93,96,86,72,0,0,0,0,0,0,0,0,0,455
