DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
BELLINGHAM,00250000,46,125,215,248,221,207,216,196,202,179,164,168,150,132,119,0,0,"2,588"
BELMONT,00260000,0,31,278,297,269,307,269,263,290,259,253,250,230,189,212,0,0,"3,397"
BENJAMIN FRANKLIN CHARTER,04470000,0,0,39,39,20,32,20,0,0,0,0,0,0,0,0,0,0,150
BERKLEY,00270000,9,45,71,98,89,85,86,86,85,67,91,0,0,0,0,0,0,812
BERKSHIRE HILLS,06180000,6,7,106,119,112,104,124,133,130,124,130,186,176,174,167,0,0,"1,798"
BERLIN,00280000,0,0,27,24,35,34,33,34,22,0,0,0,0,0,0,0,0,209
BERLIN-BOYLSTON,06200000,0,0,0,0,0,0,0,0,0,76,67,54,58,54,61,0,0,370
BEVERLY,00300000,20,43,386,436,421,371,433,414,394,370,318,326,316,295,268,0,0,"4,811"
BILLERICA,00310000,9,0,527,531,567,513,546,500,469,500,439,403,353,352,330,0,0,"6,039"
BLACKSTONE VALLEY REG,08050000,0,0,0,0,0,0,0,0,0,0,0,243,239,183,135,0,0,800
BLACKSTONE-MILLVILLE,06220000,30,43,189,199,170,219,182,219,159,181,169,161,133,97,113,0,0,"2,264"
BLUE HILLS VOC,08060000,0,0,0,0,0,0,0,0,0,0,0,310,276,237,226,72,0,"1,121"
BOSTON,00350000,0,0,"8,965","5,534","5,079","4,821","4,506","4,365","4,143","4,480","4,281","5,108","4,594","3,896","3,521",0,0,"63,293"
BOSTON RENAISSANCE CH SCH,04810000,0,0,103,100,103,105,104,100,0,0,0,0,0,0,0,0,0,615
BOURNE,00360000,3,6,220,236,232,203,220,208,182,194,187,167,152,111,110,0,0,"2,431"
BOXBOROUGH,00370000,0,3,76,79,84,65,68,66,53,0,0,0,0,0,0,0,0,494
BOXFORD,00380000,0,0,134,132,136,134,137,137,113,0,0,0,0,0,0,0,0,923
BOYLSTON,00390000,0,0,59,44,54,40,40,40,56,0,0,0,0,0,0,0,0,333
BRAINTREE,00400000,16,0,353,399,425,379,380,396,414,389,373,309,277,318,270,38,0,"4,736"
BREWSTER,00410000,0,0,96,136,136,127,128,117,0,0,0,0,0,0,0,0,0,740
BRIDGEWATER-RAYNHAM,06250000,0,73,447,455,456,424,448,427,454,432,427,396,361,315,340,0,0,"5,455"
BRIMFIELD,00430000,0,0,33,53,70,38,47,50,57,0,0,0,0,0,0,0,0,348
BRISTOL COUNTY AGR,09100000,0,0,0,0,0,0,0,0,0,0,0,115,87,74,71,0,0,347
BRISTOL-PLYMOUTH VOC TECH,08100000,0,0,0,0,0,0,0,0,0,0,0,219,179,166,162,40,0,766
BROCKTON,00440000,148,208,"1,321","1,463","1,356","1,260","1,238","1,242","1,136","1,225","1,184",947,"1,038",661,608,0,0,"15,035"
BROOKFIELD,00450000,0,18,51,57,48,41,48,52,53,0,0,0,0,0,0,0,0,368
BROOKLINE,00460000,46,0,423,462,530,498,487,474,523,462,422,409,459,421,423,0,0,"6,039"
BURLINGTON,00480000,27,0,296,286,297,274,266,258,267,236,270,229,239,236,232,0,0,"3,413"
CAMBRIDGE,00490000,131,38,850,804,734,666,643,603,573,496,477,496,529,533,431,1,0,"8,005"
CANTON,00500000,8,51,208,272,222,223,236,221,207,234,186,175,154,174,162,0,0,"2,733"
CAPE COD LIGHTHOUSE CHART,04320000,0,0,0,0,0,0,0,0,54,38,38,0,0,0,0,0,0,130
CAPE COD REGION VOC TECH,08150000,0,0,0,0,0,0,0,0,0,0,0,154,127,132,88,0,0,501
CARLISLE,00510000,0,6,84,70,77,89,73,76,69,60,60,0,0,0,0,0,0,664
CARVER,00520000,0,69,167,172,167,188,191,165,198,172,162,146,136,136,114,0,0,"2,183"
CENTRAL BERKSHIRE,06350000,2,48,206,199,177,200,216,187,191,168,208,206,186,174,148,0,0,"2,516"
CHATHAM,00550000,0,8,47,47,43,45,52,58,63,65,58,37,51,46,46,0,0,666
CHELMSFORD,00560000,17,0,425,494,453,428,434,455,398,408,384,385,374,381,342,0,0,"5,378"
CHELSEA,00570000,6,328,556,519,465,374,357,364,312,334,282,291,237,192,146,0,0,"4,763"
CHESTERFIELD-GOSHEN,06320000,0,0,22,11,22,21,20,34,34,0,0,0,0,0,0,0,0,164
CHICOPEE,00610000,201,200,558,553,540,502,495,515,539,510,539,813,635,496,460,0,0,"7,556"
CITY ON A HILL CHARTER,04370000,0,0,0,0,0,0,0,0,0,0,0,51,14,0,0,0,0,65
CLARKSBURG,00630000,0,0,21,22,19,16,28,20,25,23,26,0,0,0,0,0,0,200
CLINTON,00640000,0,58,150,188,149,165,129,153,154,145,131,136,123,74,88,0,0,"1,843"
COHASSET,00650000,0,0,99,122,106,89,114,98,107,96,76,81,69,65,77,0,0,"1,199"
COMMUNITY DAY CHARTER SCH,04400000,0,0,33,21,25,19,12,0,0,0,0,0,0,0,0,0,0,110
CONCORD,00670000,0,0,212,237,224,228,196,207,204,182,183,0,0,0,0,0,0,"1,873"
CONCORD-CARLISLE,06400000,0,0,0,0,0,0,0,0,0,0,0,230,231,238,208,0,0,907
CONWAY,00680000,0,22,31,28,28,27,24,36,31,0,0,0,0,0,0,0,0,227
DANVERS,00710000,0,45,281,309,279,301,284,292,274,289,271,243,233,232,202,0,0,"3,535"
DARTMOUTH,00720000,20,19,272,309,305,298,292,366,337,311,350,301,257,281,250,0,0,"3,968"
DEDHAM,00730000,0,82,273,269,257,246,254,239,242,218,208,190,186,149,157,0,0,"2,970"
DEERFIELD,00740000,0,24,56,58,65,56,67,57,66,0,0,0,0,0,0,0,0,449
DENNIS-YARMOUTH,06450000,14,48,410,359,380,410,326,446,388,367,374,345,301,270,193,0,0,"4,631"
DIGHTON-REHOBOTH,06500000,0,54,212,223,192,232,238,237,241,224,229,223,218,223,175,0,0,"2,921"
DOUGLAS,00770000,4,0,0,69,87,91,99,102,102,119,99,60,76,53,35,0,0,996
DOVER,00780000,0,0,79,86,85,88,74,74,0,0,0,0,0,0,0,0,0,486
DOVER-SHERBORN,06550000,0,0,0,0,0,0,0,0,148,133,117,106,117,108,97,0,0,826
DRACUT,00790000,0,55,339,378,340,330,302,344,305,316,331,267,268,186,199,0,0,"3,960"
DUDLEY-CHARLTON REG,06580000,0,186,292,315,312,296,295,281,330,283,312,207,197,174,178,0,0,"3,658"
DUXBURY,00820000,0,44,180,232,215,224,236,249,205,232,236,207,187,170,199,0,0,"2,816"
EAST BRIDGEWATER,00830000,0,27,219,204,198,184,177,203,201,177,196,157,155,146,147,0,0,"2,391"
EAST LONGMEADOW,00870000,0,36,168,221,197,200,194,196,210,186,190,217,218,190,161,0,0,"2,584"
EASTHAM,00850000,0,0,47,56,68,59,60,53,0,0,0,0,0,0,0,0,0,343
EASTHAMPTON,00860000,9,14,171,172,154,162,152,191,165,162,150,132,145,114,131,0,0,"2,024"
EASTON,00880000,42,58,266,285,286,267,279,308,244,267,298,235,223,194,208,0,0,"3,460"
EDGARTOWN,00890000,0,10,40,53,40,45,39,51,60,45,40,0,0,0,0,0,0,423
ERVING,00910000,0,24,12,26,16,19,17,20,26,0,0,0,0,0,0,0,0,160
ESSEX,00920000,0,0,38,45,43,35,48,41,46,48,37,0,0,0,0,0,0,381
ESSEX AGR TECH,09130000,0,0,0,0,0,0,0,0,0,0,0,94,75,75,81,465,123,913
EVERETT,00930000,13,291,379,445,389,384,359,345,334,345,298,356,307,312,249,0,0,"4,806"
FAIRHAVEN,00940000,1,0,162,207,177,167,189,179,206,211,200,144,162,130,112,0,0,"2,247"
FALL RIVER,00950000,356,103,"1,266","1,115","1,015",998,951,970,"1,001",938,896,822,717,631,548,0,0,"12,327"
FALMOUTH,00960000,20,119,406,404,378,431,406,405,399,345,384,395,388,388,339,11,0,"5,218"
FARMINGTON RIVER REG,06620000,0,28,18,20,25,26,26,26,18,0,0,0,0,0,0,0,0,187
FITCHBURG,00970000,51,107,476,593,506,467,459,439,420,417,390,334,192,206,187,0,0,"5,244"
FLORIDA,00980000,0,0,7,14,11,15,22,15,14,14,17,0,0,0,0,0,0,129
FOXBOROUGH,00990000,1,52,241,251,232,214,250,230,204,211,229,207,160,152,150,0,0,"2,784"
FRAMINGHAM,01000000,43,166,605,743,659,632,626,594,557,582,540,536,450,426,345,0,0,"7,504"
FRANCIS W PARKER CHARTER,04780000,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
FRANKLIN,01010000,0,87,456,404,413,383,376,389,338,298,341,270,236,207,200,0,0,"4,398"
FRANKLIN COUNTY,08180000,10,0,0,0,0,0,0,0,0,0,0,144,118,126,81,0,0,479
FREETOWN,01020000,3,18,82,113,91,104,103,0,0,0,0,0,0,0,0,0,0,514
FREETOWN-LAKEVILLE,06650000,0,0,0,0,0,0,0,215,258,244,255,192,213,183,156,0,0,"1,716"
FRONTIER,06700000,0,0,0,0,0,0,0,0,0,125,132,120,84,98,78,0,0,637
GARDNER,01030000,6,68,258,270,253,217,227,235,220,230,213,200,218,201,165,0,0,"2,981"
GATEWAY,06720000,0,54,122,109,131,144,134,152,138,157,141,120,112,100,79,0,0,"1,693"
GEORGETOWN,01050000,0,82,105,125,108,107,92,119,91,79,91,80,83,69,73,0,0,"1,304"
GILL-MONTAGUE,06740000,13,39,149,117,134,127,135,138,135,144,131,124,104,79,74,0,0,"1,643"
GLOUCESTER,01070000,82,75,278,339,274,325,328,347,325,297,300,232,257,256,262,0,0,"3,977"
GOSNOLD,01090000,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
GRAFTON,01100000,2,33,171,209,141,152,164,183,167,162,170,121,100,99,93,0,0,"1,967"
GRANBY,01110000,0,35,81,58,84,69,76,94,83,83,87,61,68,63,44,0,0,986
GRANVILLE,01120000,0,23,31,30,27,28,24,22,30,25,31,0,0,0,0,0,0,271
GREATER FALL RIVER,08210000,0,0,0,0,0,0,0,0,0,0,0,323,304,277,231,51,0,"1,186"
GREATER LAWRENCE RVT,08230000,0,0,0,0,0,0,0,0,0,0,0,394,377,371,283,6,0,"1,431"
GREATER LOWELL VOC TEC,08280000,23,0,0,0,0,0,0,0,0,0,0,620,510,424,386,118,0,"2,081"
GREATER NEW BEDFORD,08250000,0,0,0,0,0,0,0,0,0,0,0,452,456,419,355,0,0,"1,682"
GREENFIELD,01140000,5,36,196,229,224,205,204,226,204,221,201,168,147,124,130,0,0,"2,520"
GROTON-DUNSTABLE,06730000,0,39,206,200,203,183,224,186,188,153,134,127,97,109,75,0,0,"2,124"
HADLEY,01170000,2,50,44,48,44,50,51,56,47,69,44,44,35,33,28,0,0,645
HALIFAX,01180000,0,0,103,89,119,102,81,99,111,0,0,0,0,0,0,0,0,704
HAMILTON-WENHAM,06750000,0,0,139,142,164,168,161,154,156,142,129,189,172,184,173,0,0,"2,073"
HAMPDEN-WILBRAHAM,06800000,10,53,197,271,257,288,286,278,279,272,267,261,246,243,215,0,0,"3,423"
HAMPSHIRE,06830000,0,0,0,0,0,0,0,0,0,158,146,145,111,96,112,0,0,768
HANCOCK,01210000,0,0,14,12,11,8,5,12,5,3,7,6,6,7,7,0,0,103
HANOVER,01220000,17,30,163,220,219,197,210,195,185,220,173,137,151,133,118,0,0,"2,368"
HARVARD,01250000,0,0,82,82,79,90,106,92,89,78,66,90,83,65,60,0,0,"1,062"
HARWICH,01260000,0,22,140,100,108,112,126,119,101,122,125,95,104,81,98,0,0,"1,453"
HATFIELD,01270000,0,50,44,29,33,34,36,31,39,35,39,47,32,32,23,0,0,504
HAVERHILL,01280000,56,121,667,832,712,791,754,727,660,657,614,441,399,339,297,0,0,"8,067"
HAWLEMONT,06850000,0,21,22,30,31,22,33,23,33,0,0,0,0,0,0,0,0,215
HILLTOWN CHARTER SCHOOL,04500000,0,0,9,12,8,9,4,0,0,0,0,0,0,0,0,0,0,42
HINGHAM,01310000,0,36,291,298,308,257,284,265,256,240,227,219,200,203,212,0,0,"3,296"
HOLBROOK,01330000,33,0,125,126,107,132,117,122,112,122,90,68,61,71,71,0,0,"1,357"
HOLLAND,01350000,0,64,44,38,29,48,35,35,36,0,0,0,0,0,0,0,0,329
HOLLISTON,01360000,10,57,270,220,252,257,245,247,208,251,205,235,204,193,181,0,0,"3,035"
HOLYOKE,01370000,148,135,677,714,670,642,547,545,565,561,550,662,507,414,379,30,0,"7,746"
HOPEDALE,01380000,0,44,80,102,78,104,91,77,72,75,98,64,45,66,44,0,0,"1,040"
HOPKINTON,01390000,0,23,224,207,211,192,182,177,166,154,140,107,98,95,82,0,0,"2,058"
HUDSON,01410000,0,73,229,251,221,188,231,237,192,196,193,135,143,127,119,0,0,"2,535"
HULL,01420000,0,51,121,125,119,128,130,153,117,111,114,96,95,84,74,0,0,"1,518"
IPSWICH,01440000,0,41,157,173,163,170,155,162,133,124,128,108,105,100,94,0,0,"1,813"
KING PHILIP,06900000,0,0,0,0,0,0,0,0,0,346,294,241,196,247,198,0,0,"1,522"
KINGSTON,01450000,0,0,178,159,167,155,143,146,126,0,0,0,0,0,0,0,0,"1,074"
LAKEVILLE,01460000,0,13,124,115,143,124,134,0,0,0,0,0,0,0,0,0,0,653
LANESBOROUGH,01480000,0,23,31,46,43,51,39,45,47,0,0,0,0,0,0,0,0,325
LAWRENCE,01490000,163,311,918,"1,251","1,064","1,004",995,973,925,920,869,768,464,399,331,0,0,"11,355"
LAWRENCE FAMILY DEV CHART,04540000,0,0,60,40,41,40,0,0,0,0,0,0,0,0,0,0,0,181
LEE,01500000,6,35,73,54,63,50,67,68,63,69,72,86,80,85,58,0,0,929
LEICESTER,01510000,0,59,151,142,112,151,159,133,156,121,140,126,126,108,90,0,0,"1,774"
LENOX,01520000,8,19,56,56,65,47,57,59,59,64,59,67,69,50,52,0,0,787
LEOMINSTER,01530000,35,75,471,526,511,464,426,492,413,424,400,431,361,385,315,5,0,"5,734"
LEVERETT,01540000,0,24,32,25,22,25,30,33,23,0,0,0,0,0,0,0,0,214
LEXINGTON,01550000,0,0,429,428,449,432,457,424,427,400,394,386,341,358,349,0,0,"5,274"
LINCOLN,01570000,0,0,165,149,145,140,128,111,102,103,92,0,0,0,0,0,0,"1,135"
LINCOLN-SUDBURY,06950000,0,0,0,0,0,0,0,0,0,0,0,268,229,232,210,0,0,939
LITTLETON,01580000,17,44,122,118,121,106,91,107,102,80,74,82,63,79,71,0,0,"1,277"
LONGMEADOW,01590000,0,0,210,205,213,216,217,225,249,217,196,252,248,231,240,0,0,"2,919"
LOWELL,01600000,99,314,"1,477","1,515","1,344","1,406","1,334","1,271","1,311","1,230","1,277",887,846,509,478,0,0,"15,298"
LOWELL MIDDLESEX ACAD CH,04580000,0,0,0,0,0,0,0,0,0,0,0,0,8,14,78,0,0,100
LUDLOW,01610000,12,28,230,204,243,226,227,221,232,226,252,236,220,214,202,0,0,"2,973"
LUNENBURG,01620000,2,45,128,137,129,162,116,151,158,140,147,147,112,118,96,0,0,"1,788"
LYNN,01630000,176,444,"1,223","1,420","1,171","1,115","1,116","1,023","1,064",946,879,991,826,674,574,0,0,"13,642"
LYNNFIELD,01640000,8,0,143,150,145,145,142,142,151,161,149,127,116,113,86,0,0,"1,778"
MA ACADEMY/MATH AND SCIENCE,04680000,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,0,0,64
MALDEN,01650000,286,283,442,491,421,427,360,410,419,406,391,387,309,256,291,0,0,"5,579"
MANCHESTER,01660000,0,0,56,74,73,67,76,77,67,66,64,68,58,55,50,0,0,851
MANSFIELD,01670000,0,70,366,365,351,342,307,296,268,256,241,238,198,222,130,0,0,"3,650"
MARBLEHEAD,01680000,0,35,236,269,249,215,231,179,197,167,222,201,167,158,158,0,0,"2,684"
MARBLEHEAD COMMUNITY CH,04640000,0,0,0,0,0,0,0,62,45,30,0,0,0,0,0,0,0,137
MARION,01690000,0,10,71,82,69,60,80,54,64,0,0,0,0,0,0,0,0,490
MARLBOROUGH,01700000,16,163,421,428,391,377,349,319,308,296,299,238,193,194,177,0,0,"4,169"
MARSHFIELD,01710000,33,79,356,352,349,356,385,357,337,314,329,284,247,256,258,0,0,"4,292"
MARTHAS VINEYARD,07000000,0,0,0,0,0,0,0,0,0,0,0,173,139,128,129,0,0,569
MASCONOMET,07050000,14,0,0,0,0,0,0,0,0,261,263,228,240,206,223,0,0,"1,435"
MASHPEE,01720000,0,21,188,206,196,156,168,158,144,141,109,0,0,0,0,0,0,"1,487"
MATTAPOISETT,01730000,0,15,71,79,81,83,74,91,77,0,0,0,0,0,0,0,0,571
MAYNARD,01740000,0,49,144,161,122,132,118,113,105,90,86,72,70,75,47,0,0,"1,384"
MEDFIELD,01750000,0,43,213,248,207,239,198,173,183,163,163,123,117,134,135,0,0,"2,339"
MEDFORD,01760000,30,69,478,431,490,446,432,447,372,385,392,362,332,341,330,0,0,"5,337"
MEDWAY,01770000,0,45,156,192,185,212,191,189,172,169,157,133,127,124,117,0,0,"2,169"
MELROSE,01780000,45,29,307,276,305,280,278,285,284,288,294,230,231,237,225,0,0,"3,594"
MENDON-UPTON,07100000,0,32,144,150,137,134,120,108,133,101,101,102,93,75,87,0,0,"1,517"
METHUEN,01810000,41,72,507,534,559,518,518,533,509,501,457,448,426,393,321,0,0,"6,337"
MIDDLEBOROUGH,01820000,1,0,306,297,297,299,303,320,298,293,282,216,216,191,196,0,0,"3,515"
MIDDLETON,01840000,0,0,80,106,93,65,84,81,73,0,0,0,0,0,0,0,0,582
MILFORD,01850000,23,0,355,323,321,349,321,303,298,300,326,277,246,249,255,0,0,"3,946"
MILLBURY,01860000,11,22,161,180,150,146,139,148,125,132,150,108,115,87,78,0,0,"1,752"
MILLIS,01870000,0,25,114,112,109,100,79,105,87,94,85,58,75,68,61,0,0,"1,172"
MILTON,01890000,12,40,363,301,362,318,349,347,332,271,264,212,197,179,189,0,0,"3,736"
MINUTEMAN VOC TECH,08300000,0,0,0,0,0,0,0,0,0,0,0,227,204,182,154,123,15,905
MOHAWK TRAIL,07170000,2,76,104,109,99,127,106,103,131,165,166,150,121,125,103,0,0,"1,687"
MONSON,01910000,0,26,95,112,117,115,107,114,110,109,129,101,98,81,87,0,0,"1,401"
MONTACHUSETT VOC TECH REG,08320000,0,0,0,0,0,0,0,0,0,0,0,248,257,229,188,19,0,941
MOUNT GREYLOCK,07150000,0,0,0,0,0,0,0,0,0,141,140,115,131,89,112,0,0,728
NAHANT,01960000,0,0,25,37,44,40,44,47,36,0,0,0,0,0,0,0,0,273
NANTUCKET,01970000,0,18,105,97,95,74,90,91,84,94,90,72,76,69,38,0,0,"1,093"
NARRAGANSETT,07200000,0,33,130,115,134,114,122,120,87,133,111,92,90,95,80,0,0,"1,456"
NASHOBA,07250000,11,48,227,219,235,223,202,219,189,191,179,205,193,225,176,0,0,"2,742"
NASHOBA VALLEY TECH,08520000,0,0,0,0,0,0,0,0,0,0,0,146,153,128,114,0,0,541
NATICK,01980000,0,44,403,351,344,341,316,329,277,279,276,269,229,217,223,0,0,"3,898"
NAUSET,06600000,0,22,0,0,0,0,0,0,243,239,262,247,226,216,245,0,0,"1,700"
NEEDHAM,01990000,0,42,380,368,344,354,336,329,287,307,304,277,275,241,243,0,0,"4,087"
NEIGHBORHOOD HOUSE CHART,04440000,0,0,18,17,15,0,0,0,0,0,0,0,0,0,0,0,0,50
NEW BEDFORD,02010000,0,363,"1,222","1,357","1,317","1,234","1,197","1,143","1,158","1,115","1,093","1,029",881,799,687,0,0,"14,595"
NEW SALEM-WENDELL,07280000,0,40,31,19,27,27,33,26,27,0,0,0,0,0,0,0,0,230
NEWBURYPORT,02040000,0,0,205,210,246,205,200,176,217,209,189,175,182,127,146,0,0,"2,487"
NEWTON,02070000,169,0,837,904,920,895,876,848,825,729,754,773,766,707,672,5,0,"10,680"
NORFOLK,02080000,0,40,177,177,145,170,144,147,128,0,0,0,0,0,0,0,0,"1,128"
NORFOLK COUNTY AGR,09150000,0,0,0,0,0,0,0,0,0,0,0,103,121,107,103,0,0,434
NORTH ADAMS,02090000,0,81,183,199,172,203,168,189,201,175,177,163,151,162,123,0,0,"2,347"
NORTH ANDOVER,02110000,0,70,343,385,369,330,327,329,307,279,280,207,225,200,223,0,0,"3,874"
NORTH ATTLEBOROUGH,02120000,45,0,406,403,401,356,359,348,353,367,295,246,275,235,198,0,0,"4,287"
NORTH BROOKFIELD,02150000,0,0,87,65,83,67,78,74,74,63,59,57,56,35,40,0,0,838
NORTH MIDDLESEX,07350000,3,119,386,385,405,416,379,426,386,372,376,321,261,244,239,0,0,"4,718"
NORTH READING,02170000,19,21,169,209,213,185,205,131,170,163,164,120,124,111,112,0,0,"2,116"
NORTH SHORE REG VOC,08540000,0,0,0,0,0,0,0,0,0,0,0,123,147,116,89,10,0,485
NORTHAMPTON,02100000,0,75,188,285,257,234,206,248,251,248,298,224,213,192,163,0,0,"3,082"
NORTHAMPTON-SMITH,04060000,0,0,0,0,0,0,0,0,0,0,0,148,144,109,105,0,2,508
NORTHBORO-SOUTHBORO,07300000,0,0,0,0,0,0,0,0,0,0,0,231,212,201,181,0,0,825
NORTHBOROUGH,02130000,0,0,204,220,206,213,207,204,205,173,156,0,0,0,0,0,0,"1,788"
NORTHBRIDGE,02140000,7,64,236,187,172,162,182,198,166,166,160,131,108,100,113,0,0,"2,152"
NORTHEAST METRO VOC,08530000,0,0,0,0,0,0,0,0,0,0,0,317,302,273,230,0,0,"1,122"
NORTHERN BERKSHIRE VOC,08510000,0,0,0,0,0,0,0,0,0,0,0,127,113,111,83,51,0,485
NORTON,02180000,12,60,267,269,226,239,204,178,208,190,195,158,150,118,98,0,0,"2,572"
NORWELL,02190000,0,23,146,151,139,141,143,145,142,145,123,121,115,98,107,0,0,"1,739"
NORWOOD,02200000,0,99,286,352,322,300,305,278,265,249,258,226,239,257,242,0,0,"3,678"
OAK BLUFFS,02210000,0,13,50,48,61,48,40,42,46,34,46,0,0,0,0,0,0,428
OLD COLONY REG VOC TECH,08550000,0,0,0,0,0,0,0,0,0,0,0,152,118,120,104,0,0,494
OLD ROCHESTER,07400000,0,0,0,0,0,0,0,0,0,216,210,147,159,138,147,0,0,"1,017"
ORANGE,02230000,0,47,130,134,115,122,126,97,121,0,0,0,0,0,0,0,0,892
ORLEANS,02240000,0,22,57,59,66,58,42,55,0,0,0,0,0,0,0,0,0,359
OXFORD,02260000,26,46,190,167,166,182,155,202,157,169,177,134,128,116,124,0,0,"2,139"
PALMER,02270000,10,28,151,185,159,159,207,164,187,169,180,122,115,108,106,0,0,"2,050"
PATHFINDER VOC TECH,08600000,57,0,0,0,0,0,0,0,0,0,0,175,155,134,115,0,0,636
PEABODY,02290000,59,90,491,573,516,496,504,482,474,459,466,442,439,368,317,0,0,"6,176"
PELHAM,02300000,0,0,24,16,22,20,20,21,24,0,0,0,0,0,0,0,0,147
PEMBROKE,02310000,30,0,251,243,259,251,278,252,215,0,0,0,0,0,0,0,0,"1,779"
PENTUCKET,07450000,0,82,270,269,258,262,278,258,258,257,207,196,163,182,156,0,0,"3,096"
PETERSHAM,02340000,0,1,8,12,8,12,9,6,8,0,0,0,0,0,0,0,0,64
PIONEER VALLEY,07500000,0,64,91,81,89,109,94,99,94,111,121,100,67,60,62,0,0,"1,242"
PITTSFIELD,02360000,176,100,573,559,557,545,501,474,505,488,514,549,523,474,390,5,0,"6,933"
PLAINVILLE,02380000,0,14,92,98,107,88,100,99,96,0,0,0,0,0,0,0,0,694
PLYMOUTH,02390000,0,109,718,761,719,711,702,714,697,589,665,669,604,578,504,1,0,"8,741"
PLYMPTON,02400000,0,0,42,31,36,42,49,41,49,0,0,0,0,0,0,0,0,290
PROVINCETOWN,02420000,0,28,11,21,15,19,23,28,13,27,36,43,30,25,31,0,0,350
QUABBIN,07530000,35,57,224,245,240,247,237,273,221,195,199,221,164,153,135,0,0,"2,846"
QUABOAG REGIONAL,07780000,0,52,122,162,145,135,139,108,118,119,123,113,85,88,95,0,0,"1,604"
QUINCY,02430000,214,209,669,769,710,653,633,645,618,578,590,642,621,621,524,0,0,"8,696"
RALPH C MAHAR,07550000,10,0,0,0,0,0,0,0,0,161,147,137,120,113,92,0,0,780
RANDOLPH,02440000,110,0,379,360,333,324,335,320,305,313,322,271,227,209,177,0,0,"3,985"
READING,02460000,29,41,323,321,347,354,342,338,306,282,292,262,274,236,241,0,0,"3,988"
REVERE,02480000,84,164,432,579,523,497,426,443,407,410,401,336,297,221,201,0,0,"5,421"
RICHMOND,02490000,0,0,22,29,19,17,29,28,26,31,18,0,0,0,0,0,0,219
ROCHESTER,02500000,0,12,72,59,64,63,64,56,78,0,0,0,0,0,0,0,0,468
ROCKLAND,02510000,20,70,255,208,267,217,221,233,220,201,195,179,143,150,142,0,0,"2,721"
ROCKPORT,02520000,90,0,88,83,56,71,82,98,100,84,87,66,59,45,61,0,0,"1,070"
ROWE,02530000,0,0,11,15,11,14,18,11,15,0,0,0,0,0,0,0,0,95
SABIS INTERNATIONAL,04410000,0,0,40,60,68,68,60,62,62,30,0,0,0,0,0,0,0,450
SALEM,02580000,42,138,480,520,410,434,383,359,323,280,291,359,299,240,198,1,0,"4,757"
SANDWICH,02610000,0,45,311,338,321,287,310,323,259,297,272,236,239,205,199,0,0,"3,642"
