DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABINGTON,00010000,0,23,197,202,163,195,182,181,172,190,181,166,144,163,120,0,0,"2,279"
ACTON,00020000,0,0,313,294,331,327,315,308,271,0,0,0,0,0,0,0,0,"2,159"
ACTON-BOXBOROUGH,06000000,14,0,0,0,0,0,0,0,0,355,347,318,314,321,325,0,0,"1,994"
ACUSHNET,00030000,0,24,109,105,107,114,111,118,121,106,137,0,0,0,0,0,0,"1,052"
ADAMS-CHESHIRE,06030000,0,58,135,165,124,128,153,174,163,162,193,121,156,134,115,0,0,"1,981"
AGAWAM,00050000,24,0,318,345,304,329,331,313,350,339,366,333,339,290,277,0,0,"4,258"
AMESBURY,00070000,0,50,252,278,262,220,270,235,212,195,191,174,155,139,152,0,0,"2,785"
AMHERST,00080000,0,61,225,234,224,260,250,237,274,0,0,0,0,0,0,0,0,"1,765"
AMHERST-PELHAM,06050000,0,0,0,0,0,0,0,0,0,328,348,318,274,278,223,0,0,"1,769"
ANDOVER,00090000,9,41,428,460,488,466,473,727,442,416,212,347,320,312,320,0,0,"5,461"
ARLINGTON,00100000,31,0,367,400,384,353,340,343,321,275,273,263,247,212,250,0,0,"4,059"
ASHBURNHAM-WESTMINSTER,06100000,6,12,186,178,184,215,206,196,215,201,208,166,161,194,159,0,0,"2,487"
ASHLAND,00140000,0,0,181,189,196,163,143,164,159,145,157,120,123,90,96,0,0,"1,926"
ASSABET VALLEY,08010000,0,0,0,0,0,0,0,0,0,0,0,226,198,211,155,94,0,884
ATHOL-ROYALSTON,06150000,4,25,203,186,190,173,216,204,212,189,188,183,107,126,135,0,0,"2,341"
ATLANTIS CHARTER,04910000,0,0,81,53,48,27,21,22,0,0,0,0,0,0,0,0,0,252
ATTLEBORO,00160000,13,103,624,574,552,521,506,514,507,494,480,507,417,325,294,0,0,"6,431"
AUBURN,00170000,5,55,183,203,201,200,176,183,200,157,174,146,139,142,169,0,0,"2,333"
AVON,00180000,0,0,60,59,63,61,70,68,62,70,61,58,56,57,57,0,0,802
AYER,00190000,0,7,138,110,115,93,79,92,75,81,85,66,72,61,41,0,0,"1,115"
BARNSTABLE,00200000,62,138,557,620,594,607,581,574,550,590,531,485,431,353,390,0,0,"7,063"
BEDFORD,00230000,0,0,133,138,177,149,141,144,151,124,117,157,156,128,156,0,0,"1,871"
BELCHERTOWN,00240000,2,25,183,188,189,182,180,214,181,188,167,131,154,149,104,0,0,"2,237"
