SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
BARNSTABLE - MARSTONS MILLS ELEM,00200030,0,0,77,71,38,0,0,0,0,0,0,0,0,0,0,0,0,186
BARNSTABLE - MIDDLE SCH/MARSTON'S MILL,00200310,0,0,0,0,0,0,0,0,283,269,272,0,0,0,0,0,0,824
BARNSTABLE - MIDDLE SCHOOL/HYANNIS,00200305,0,0,0,0,0,0,0,0,264,273,275,0,0,0,0,0,0,812
BARNSTABLE - OSTERVILLE BAY ELEMENTARY,00200040,0,0,0,0,0,104,118,0,0,0,0,0,0,0,0,0,0,222
BARNSTABLE - OSTERVILLE ELEMENTARY,00200035,0,0,77,82,120,0,0,0,0,0,0,0,0,0,0,0,0,279
BARNSTABLE - WEST BARNSTABLE ELEM,00200005,0,0,48,64,61,70,52,0,0,0,0,0,0,0,0,0,0,295
BEDFORD - BEDFORD HIGH,00230505,0,0,0,0,0,0,0,0,0,0,0,180,148,156,151,0,0,635
BEDFORD - JOHN GLENN MIDDLE,00230305,0,0,0,0,0,0,0,0,146,150,153,0,0,0,0,0,0,449
BEDFORD - LT ELEZER DAVIS,00230010,0,0,140,177,151,0,0,0,0,0,0,0,0,0,0,0,0,468
BEDFORD - LT JOB LANE SCHOOL,00230012,0,0,0,0,0,147,179,150,0,0,0,0,0,0,0,0,0,476
BELCHERTOWN - BELCHERTOWN HIGH,00240505,0,0,0,0,0,0,0,0,0,0,0,141,139,137,135,0,0,552
BELCHERTOWN - BERKSHIRE AVENUE SCHOOL,00240002,0,0,0,43,45,0,0,0,0,0,0,0,0,0,0,0,0,88
BELCHERTOWN - CHESTNUT HILL COMMUNITY,00240004,1,0,0,0,0,0,0,0,191,198,173,0,0,0,0,0,0,563
BELCHERTOWN - COLD SPRING,00240005,0,0,185,61,69,0,0,0,0,0,0,0,0,0,0,0,0,315
BELCHERTOWN - SWIFT RIVER ELEM,00240018,0,0,0,0,0,200,185,181,0,0,0,0,0,0,0,0,0,566
BELCHERTOWN - TADGELL HALL,00240020,0,0,0,84,69,0,0,0,0,0,0,0,0,0,0,0,0,153
BELLINGHAM - BELLINGHAM ECC,00250003,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
BELLINGHAM - BELLINGHAM MEMORIAL JR/SR,00250505,6,0,0,0,0,0,0,0,0,201,201,165,148,137,137,0,0,995
BELLINGHAM - CLARA MACY ELEMENTARY,00250009,0,0,57,64,60,60,67,71,71,0,0,0,0,0,0,0,0,450
BELLINGHAM - PRIMAVERA JR/SR H S,00250510,12,0,0,0,0,0,0,0,1,5,5,12,7,8,4,0,0,54
BELLINGHAM - SOUTH ELEM,00250020,28,0,75,85,93,92,91,79,88,0,0,0,0,0,0,0,0,631
BELLINGHAM - STALL BROOK,00250025,19,0,79,65,79,80,63,66,57,0,0,0,0,0,0,0,0,508
BELMONT - BELMONT HIGH,00260505,0,0,0,0,0,0,0,0,0,0,0,252,249,227,207,0,0,935
BELMONT - DANIEL BUTLER,00260015,0,0,53,68,64,57,48,0,0,0,0,0,0,0,0,0,0,290
BELMONT - MARY LEE BURBANK,00260010,0,0,53,61,73,57,62,0,0,0,0,0,0,0,0,0,0,306
BELMONT - ROGER E WELLINGTON,00260035,0,0,83,90,85,99,85,0,0,0,0,0,0,0,0,0,0,442
BELMONT - WINN BROOK,00260005,0,22,78,70,73,80,81,0,0,0,0,0,0,0,0,0,0,404
BELMONT - WINTHROP L CHENERY MIDDLE,00260305,0,0,0,0,0,0,0,297,281,249,286,0,0,0,0,0,0,"1,113"
BENJAMIN BANNEKER CHARTER - BENJAMIN BANNEKER,04200205,0,0,40,41,38,33,35,32,36,0,0,0,0,0,0,0,0,255
BENJAMIN FRANKLIN CHARTER - BEN FRANKLIN CLASSICAL CS,04470205,0,0,40,43,44,44,21,43,20,0,0,0,0,0,0,0,0,255
BERKLEY - BERKLEY COMMUNITY SCHOOL,00270010,19,51,99,99,72,96,90,84,89,86,85,0,0,0,0,0,0,870
BERKSHIRE HILLS - HOUSATONIC GRAMMAR,06180015,0,0,20,21,39,34,0,0,0,0,0,0,0,0,0,0,0,114
BERKSHIRE HILLS - MONUMENT MT REG HIGH,06180505,7,0,0,0,0,0,0,0,0,0,0,169,155,166,161,0,0,658
BERKSHIRE HILLS - SEARLES MIDDLE,06180305,0,0,0,0,0,0,0,0,125,149,143,0,0,0,0,0,0,417
BERKSHIRE HILLS - STOCKBRIDGE PLAIN,06180030,0,0,14,19,13,22,0,0,0,0,0,0,0,0,0,0,0,68
BERKSHIRE HILLS - VILLAGE,06180025,0,10,27,24,18,26,99,98,0,0,0,0,0,0,0,0,0,302
BERKSHIRE HILLS - WILLIAM CULLEN BRYANT,06180005,0,0,37,36,38,32,0,0,0,0,0,0,0,0,0,0,0,143
BERLIN - BERLIN MEMORIAL,00280005,0,0,31,41,31,27,41,35,34,0,0,0,0,0,0,0,0,240
BERLIN-BOYLSTON - TAHANTO REG HIGH,06200505,0,0,0,0,0,0,0,0,0,79,87,73,52,52,57,0,0,400
BEVERLY - ABRAHAM EDWARDS,00300020,0,0,46,54,45,35,49,44,0,0,0,0,0,0,0,0,0,273
BEVERLY - AYERS/RYAL SIDE SCHOOL,00300055,11,0,69,74,83,72,88,70,0,0,0,0,0,0,0,0,0,467
BEVERLY - BEVERLY HIGH,00300505,0,40,76,3,0,0,0,0,0,0,0,326,288,282,288,0,0,"1,303"
BEVERLY - BRISCOE MIDDLE,00300305,0,0,0,0,0,0,0,0,230,211,207,0,0,0,0,0,0,648
BEVERLY - CENTERVILLE,00300010,0,0,43,66,48,70,55,43,0,0,0,0,0,0,0,0,0,325
BEVERLY - COVE,00300015,0,0,35,62,54,60,51,45,0,0,0,0,0,0,0,0,0,307
BEVERLY - HANNAH ELEMENTARY,00300033,1,0,43,57,75,80,64,69,0,0,0,0,0,0,0,0,0,389
BEVERLY - MCKAY,00300035,0,0,30,55,45,49,40,52,0,0,0,0,0,0,0,0,0,271
BEVERLY - MEMORIAL MIDDLE,00300310,0,0,0,0,0,0,0,0,164,198,185,0,0,0,0,0,0,547
BEVERLY - NORTH BEVERLY ELEMENTARY,00300040,0,0,35,43,49,45,49,41,0,0,0,0,0,0,0,0,0,262
BILLERICA - BILLERICA MEM HIGH SCH,00310505,0,0,0,0,0,0,0,0,0,0,0,395,341,382,322,0,0,"1,440"
BILLERICA - EUGENE C VINING,00310030,0,0,69,62,81,69,76,67,0,0,0,0,0,0,0,0,0,424
BILLERICA - FREDERICK J DUTILE,00310007,7,0,93,87,88,76,90,83,0,0,0,0,0,0,0,0,0,524
BILLERICA - HAJJAR ELEMENTARY,00310026,0,0,93,126,128,115,162,117,0,0,0,0,0,0,0,0,0,741
BILLERICA - JOHN F KENNEDY,00310012,0,0,87,79,111,94,96,96,0,0,0,0,0,0,0,0,0,563
BILLERICA - LOCKE MIDDLE,00310310,0,0,0,0,0,0,0,0,254,227,199,0,0,0,0,0,0,680
BILLERICA - MARSHALL MIDDLE SCHOOL,00310305,0,0,0,0,0,0,0,0,305,278,261,0,0,0,0,0,0,844
BILLERICA - PARKER,00310015,0,0,113,103,87,82,71,75,0,0,0,0,0,0,0,0,0,531
BILLERICA - THOMAS DITSON,00310005,0,0,86,73,78,81,81,81,0,0,0,0,0,0,0,0,0,480
BLACKSTONE VALLEY REG - BLACKSTONE VALLEY,08050605,0,0,0,0,0,0,0,0,0,0,0,235,235,217,193,0,0,880
BLACKSTONE-MILLVILLE - A F MALONEY,06220015,0,0,0,0,0,0,113,135,141,0,0,0,0,0,0,0,0,389
BLACKSTONE-MILLVILLE - BLACKSTONE MILLVILLE RHS,06220505,0,0,0,0,0,0,0,0,0,0,0,135,131,115,106,0,0,487
BLACKSTONE-MILLVILLE - BLACKSTONE MILLVILLE RMS,06220405,0,0,0,0,0,0,0,0,0,230,165,0,0,0,0,0,0,395
BLACKSTONE-MILLVILLE - JOHN F KENNEDY ELEM,06220008,19,0,132,160,132,141,0,0,0,0,0,0,0,0,0,0,0,584
BLACKSTONE-MILLVILLE - MILLVILLE ELEM,06220010,14,73,59,54,57,40,57,86,46,0,0,0,0,0,0,0,0,486
BLUE HILLS VOC - BLUE HILLS REG VOC TECH,08060605,0,0,0,0,0,0,0,0,0,0,0,229,192,195,183,67,0,866
BLUE HILLS VOC - RANDOLPH CAREER DEV,08060610,0,0,0,0,0,0,0,0,0,0,0,110,59,54,23,0,0,246
BOSTON - AGASSIZ,00350007,0,85,118,141,125,129,112,117,0,0,0,0,0,0,0,0,0,827
BOSTON - ALEXANDER HAMILTON,00350011,0,3,54,48,33,36,35,41,0,0,0,0,0,0,0,0,0,250
BOSTON - ANOTHER COURSE TO COLLEGE,00350541,0,0,0,0,0,0,0,0,0,0,0,0,0,48,61,0,0,109
BOSTON - BEETHOVEN,00350021,0,29,68,31,66,59,38,39,0,0,0,0,0,0,0,0,0,330
BOSTON - BLACKSTONE,00350390,0,76,134,154,133,125,121,101,0,0,0,0,0,0,0,0,0,844
BOSTON - BOSTON HIGH SCHOOL,00350650,0,0,0,0,0,0,0,0,0,0,0,360,271,257,235,0,0,"1,123"
BOSTON - BOSTON LATIN,00350560,0,0,0,0,0,0,0,0,0,386,364,439,441,380,343,0,0,"2,353"
BOSTON - BOSTON LATIN ACADEMY,00350545,0,0,0,0,0,0,0,0,0,259,372,322,236,227,225,0,0,"1,641"
BOSTON - BRIGHTON HIGH,00350505,0,0,0,0,0,0,0,0,0,0,0,338,263,246,200,0,0,"1,047"
BOSTON - CARTER DEVELOP DAY CARE,00350036,0,0,0,0,0,0,16,0,2,1,0,0,0,0,0,0,0,19
BOSTON - CHARLES H TAYLOR,00350054,0,37,79,101,106,97,108,108,0,0,0,0,0,0,0,0,0,636
BOSTON - CHARLES SUMNER,00350052,0,0,99,116,98,93,83,89,0,0,0,0,0,0,0,0,0,578
BOSTON - CHARLESTOWN HIGH,00350515,0,0,0,0,0,0,0,0,0,0,0,307,288,276,247,0,0,"1,118"
BOSTON - CLARENCE R EDWARDS MIDDLE,00350430,0,0,0,0,0,0,0,0,172,144,148,0,0,0,0,0,0,464
BOSTON - CURTIS GUILD,00350062,0,11,45,57,36,44,37,34,0,0,0,0,0,0,0,0,0,264
BOSTON - DANTE ALIGHIERI,00350066,0,0,49,30,27,23,24,25,0,0,0,0,0,0,0,0,0,178
BOSTON - DAVID A ELLIS,00350072,0,0,91,84,102,94,88,83,0,0,0,0,0,0,0,0,0,542
BOSTON - DEARBORN,00350074,0,0,0,0,0,0,0,0,185,165,134,0,0,0,0,0,0,484
BOSTON - DENNIS C HALEY,00350077,0,25,37,64,63,58,32,27,0,0,0,0,0,0,0,0,0,306
BOSTON - DONALD MCKAY,00350080,0,24,71,104,104,97,81,66,54,45,34,0,0,0,0,0,0,680
BOSTON - DORCHESTER HIGH,00350520,0,0,0,0,0,0,0,0,0,0,0,357,246,234,199,0,0,"1,036"
BOSTON - DOWNTOWN EVENING ACADEMY,00350085,0,0,0,0,0,0,0,0,0,0,0,13,23,34,49,0,0,119
BOSTON - EAST BOSTON HIGH,00350530,0,0,0,0,0,0,0,0,0,0,0,452,360,232,195,0,0,"1,239"
BOSTON - EDWARD EVERETT,00350088,0,43,50,56,60,59,58,50,0,0,0,0,0,0,0,0,0,376
BOSTON - EGLESTON COMM HIGH SCHOOL,00350543,0,0,0,0,0,0,0,0,0,0,0,8,23,8,28,0,0,67
BOSTON - ELC - EAST ZONE,00350005,0,56,73,58,0,0,0,0,0,0,0,0,0,0,0,0,0,187
BOSTON - ELC - NORTH ZONE,00350003,0,46,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,91
BOSTON - ELC - WEST ZONE,00350006,0,38,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,118
BOSTON - ELIHU GREENWOOD,00350094,0,0,43,86,87,103,97,94,0,0,0,0,0,0,0,0,0,510
BOSTON - ELIOT ELEMENTARY,00350096,0,0,25,33,33,54,43,40,0,0,0,0,0,0,0,0,0,228
BOSTON - ELLIS MENDELL,00350100,0,28,49,28,54,32,35,27,0,0,0,0,0,0,0,0,0,253
BOSTON - EMILY A FIFIELD,00350102,0,0,47,85,83,78,52,41,0,0,0,0,0,0,0,0,0,386
BOSTON - EXPULSION ALT SCHOOL,00350580,0,0,0,0,0,0,0,0,0,0,3,3,8,10,8,0,0,32
BOSTON - FARRAGUT,00350108,0,0,24,60,51,38,47,40,0,0,0,0,0,0,0,0,0,260
BOSTON - FENWAY PILOT HIGH SCHOOL,00350540,0,0,0,0,0,0,0,0,0,0,0,61,71,68,47,0,0,247
BOSTON - FRANK V THOMPSON MIDDLE,00350114,0,0,0,0,0,0,0,0,151,126,144,0,0,0,0,0,0,421
BOSTON - FRANKLIN D ROOSEVELT,00350116,0,0,72,56,58,57,57,58,0,0,0,0,0,0,0,0,0,358
BOSTON - GEORGE H CONLEY,00350122,0,14,49,34,36,34,38,42,0,0,0,0,0,0,0,0,0,247
BOSTON - GROVER CLEVELAND,00350415,0,0,0,0,0,0,0,0,239,256,245,0,0,0,0,0,0,740
BOSTON - HARBOR SCHOOL,00350426,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,57
BOSTON - HARRIET A BALDWIN,00350129,0,0,45,48,47,48,33,31,0,0,0,0,0,0,0,0,0,252
BOSTON - HARVARD-KENT,00350200,0,33,95,89,80,83,87,76,0,0,0,0,0,0,0,0,0,543
BOSTON - HENRY GREW,00350135,0,0,69,59,58,52,54,49,0,0,0,0,0,0,0,0,0,341
BOSTON - HENRY L HIGGINSON,00350137,0,42,30,34,26,34,30,30,0,0,0,0,0,0,0,0,0,226
BOSTON - HORACE MANN,00350750,0,12,15,8,11,6,10,6,8,6,6,0,12,5,7,0,0,112
BOSTON - HUGH ROE O'DONNELL,00350141,0,24,59,62,51,55,52,43,0,0,0,0,0,0,0,0,0,346
BOSTON - HYDE PARK HIGH SCHOOL,00350550,0,0,0,0,0,0,0,0,0,0,0,231,218,217,204,0,0,870
BOSTON - JACKSON MANN,00350013,0,27,51,137,116,120,96,100,0,0,0,0,0,0,0,0,0,647
BOSTON - JAMES A GARFIELD ELEM,00350152,0,23,56,54,56,58,48,49,0,0,0,0,0,0,0,0,0,344
BOSTON - JAMES CONDON ELEM,00350146,0,81,102,140,145,146,133,158,0,0,0,0,0,0,0,0,0,905
BOSTON - JAMES J CHITTICK,00350154,0,15,78,91,91,60,49,60,0,0,0,0,0,0,0,0,0,444
BOSTON - JAMES M CURLEY,00350384,0,0,43,55,61,51,56,61,0,0,0,0,0,0,0,0,0,327
