SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
ABINGTON - ABINGTON ECC,00010003,0,29,191,192,206,0,0,0,0,0,0,0,0,0,0,0,0,618
ABINGTON - ABINGTON HIGH,00010505,0,0,0,0,0,0,0,0,0,0,0,142,132,161,128,0,0,563
ABINGTON - CENTER,00010005,0,0,0,0,0,52,44,51,48,0,0,0,0,0,0,0,0,195
ABINGTON - FROLIO JR HS,00010405,0,0,0,0,0,0,0,0,0,186,173,0,0,0,0,0,0,359
ABINGTON - NORTH,00010010,0,0,0,0,0,48,48,47,58,0,0,0,0,0,0,0,0,201
ABINGTON - WOODSDALE,00010015,0,0,0,0,0,92,77,96,83,0,0,0,0,0,0,0,0,348
ACADEMY OF PACIFIC RIM CH - ACADEMY OF PACIFIC RIM,04120530,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,100
ACTON - DOUGLAS,00020020,0,0,64,73,72,70,73,55,52,0,0,0,0,0,0,0,0,459
ACTON - GATES,00020025,0,0,66,71,75,71,62,88,88,0,0,0,0,0,0,0,0,521
ACTON - LUTHER CONANT,00020030,0,0,63,73,72,69,73,78,74,0,0,0,0,0,0,0,0,502
ACTON - MCCARTHY-TOWNE,00020015,0,0,60,72,72,69,71,77,76,0,0,0,0,0,0,0,0,497
ACTON - MERRIAM,00020010,0,0,42,48,47,45,50,36,40,0,0,0,0,0,0,0,0,308
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,15,0,0,0,0,0,0,0,0,0,0,362,345,301,300,0,0,"1,323"
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,0,0,0,0,0,0,0,0,0,392,345,0,0,0,0,0,0,737
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,0,21,94,104,115,108,111,132,0,0,0,0,0,0,0,0,0,685
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,0,0,0,0,0,0,0,0,123,133,128,0,0,0,0,0,0,384
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,0,0,0,0,0,0,0,0,121,177,169,0,0,0,0,0,0,467
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,0,6,44,46,38,67,42,47,49,0,0,0,0,0,0,0,0,339
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0,0,0,0,0,0,0,0,0,0,0,143,151,109,139,0,0,542
ADAMS-CHESHIRE - PLUNKET ELEMENTARY,06030020,0,48,81,118,101,112,81,93,0,0,0,0,0,0,0,0,0,634
AGAWAM - AGAWAM HIGH,00050505,0,0,0,0,0,0,0,0,0,0,0,401,277,295,324,0,0,"1,297"
AGAWAM - AGAWAM JUNIOR HIGH,00050405,0,0,0,0,0,0,0,0,0,309,364,0,0,0,0,0,0,673
AGAWAM - AGAWAM MIDDLE SCHOOL,00050303,0,0,0,0,0,0,0,345,350,0,0,0,0,0,0,0,0,695
AGAWAM - BENJAMIN J PHELPS,00050020,0,0,75,113,88,71,65,0,0,0,0,0,0,0,0,0,0,412
AGAWAM - CLIFFORD M GRANGER,00050010,0,0,106,84,91,104,91,0,0,0,0,0,0,0,0,0,0,476
AGAWAM - JAMES CLARK SCHOOL,00050030,5,0,73,77,80,74,60,0,0,0,0,0,0,0,0,0,0,369
AGAWAM - ROBINSON PARK,00050025,0,0,62,73,95,83,99,0,0,0,0,0,0,0,0,0,0,412
AMESBURY - AMESBURY ELEMENTARY,00070005,0,30,116,117,121,109,121,0,0,0,0,0,0,0,0,0,0,614
AMESBURY - AMESBURY HIGH,00070505,0,0,0,0,0,0,0,0,0,0,0,193,174,164,133,0,0,664
AMESBURY - AMESBURY MIDDLE,00070013,0,0,0,0,0,0,0,0,259,220,212,0,0,0,0,0,0,691
AMESBURY - CHARLES C CASHMAN EL,00070010,0,0,0,42,140,114,122,208,0,0,0,0,0,0,0,0,0,626
AMESBURY - HORACE MANN,00070003,0,26,92,87,0,0,0,0,0,0,0,0,0,0,0,0,0,205
AMHERST - CROCKER FARM ELEMENTARY,00080009,0,0,0,42,47,62,51,55,64,0,0,0,0,0,0,0,0,321
AMHERST - FORT RIVER ELEMENTARY,00080020,0,13,96,75,79,80,73,99,90,0,0,0,0,0,0,0,0,605
AMHERST - MARKS MEADOW LABORATORY,00080030,0,0,21,33,26,28,24,30,37,0,0,0,0,0,0,0,0,199
AMHERST - WILDWOOD ELEMENTARY,00080050,0,48,68,80,68,82,68,78,79,0,0,0,0,0,0,0,0,571
AMHERST-PELHAM - AMHERST REGIONAL HIGH,06050505,0,0,0,0,0,0,0,0,0,0,0,311,334,330,260,0,0,"1,235"
AMHERST-PELHAM - AMHERST REGIONAL MS,06050405,0,0,0,0,0,0,0,0,0,334,368,0,0,0,0,0,0,702
ANDOVER - ANDOVER HIGH,00090505,0,0,0,0,0,0,0,0,0,0,0,388,359,339,311,0,0,"1,397"
ANDOVER - ANDOVER WEST MIDDLE,00090310,6,0,0,0,0,0,0,0,227,225,213,0,0,0,0,0,0,671
ANDOVER - BANCROFT ELEMENTARY,00090003,0,0,71,89,109,116,98,111,0,0,0,0,0,0,0,0,0,594
ANDOVER - DOHERTY MIDDLE,00090305,0,0,0,0,0,0,0,0,242,248,248,0,0,0,0,0,0,738
ANDOVER - HENRY C SANBORN ELEM,00090010,0,0,66,81,70,90,84,77,0,0,0,0,0,0,0,0,0,468
ANDOVER - SHAWSHEEN EARLY CHILDHOOD,00090005,0,33,90,88,77,0,0,0,0,0,0,0,0,0,0,0,0,288
ANDOVER - SOUTH ELEMENTARY,00090020,0,6,87,99,95,106,108,119,0,0,0,0,0,0,0,0,0,620
ANDOVER - WEST ELEMENTARY,00090025,0,0,73,101,127,169,211,162,0,0,0,0,0,0,0,0,0,843
ARLINGTON - ARLINGTON HIGH,00100505,0,0,0,0,0,0,0,0,0,0,0,268,255,274,228,0,0,"1,025"
ARLINGTON - BRACKETT,00100010,0,0,50,64,54,49,53,54,47,0,0,0,0,0,0,0,0,371
ARLINGTON - CYRUS E DALLIN,00100025,0,0,57,64,63,66,61,58,46,0,0,0,0,0,0,0,0,415
ARLINGTON - HARDY,00100030,4,0,43,57,43,61,51,56,38,0,0,0,0,0,0,0,0,353
ARLINGTON - JOHN A BISHOP,00100005,0,0,50,69,63,67,64,51,0,0,0,0,0,0,0,0,0,364
ARLINGTON - M NORCROSS STRATTON,00100055,47,0,42,44,41,46,44,46,112,0,0,0,0,0,0,0,0,422
ARLINGTON - OTTOSON JR HIGH,00100410,0,0,0,0,0,0,0,0,0,311,295,0,0,0,0,0,0,606
ARLINGTON - PEIRCE,00100045,0,0,46,38,36,35,43,33,37,0,0,0,0,0,0,0,0,268
ARLINGTON - THOMPSON,00100050,0,0,56,49,74,48,54,46,46,0,0,0,0,0,0,0,0,373
ASHBURNHAM-WESTMINSTER - BRIGGS ELEM,06100025,0,0,67,74,86,88,93,99,0,0,0,0,0,0,0,0,0,507
ASHBURNHAM-WESTMINSTER - MEETINGHOUSE SCHOOL,06100010,0,0,94,95,116,0,0,0,0,0,0,0,0,0,0,0,0,305
ASHBURNHAM-WESTMINSTER - OAKMONT REGIONAL H S,06100505,0,0,0,0,0,0,0,0,0,0,0,173,167,154,135,0,0,629
ASHBURNHAM-WESTMINSTER - OVERLOOK MIDDLE SCHOOL,06100305,0,0,0,0,0,0,0,0,221,215,213,0,0,0,0,0,0,649
ASHBURNHAM-WESTMINSTER - WESTMINSTER ELEM,06100005,0,23,0,0,0,96,88,114,0,0,0,0,0,0,0,0,0,321
ASHLAND - ASHLAND HIGH,00140505,0,0,0,0,0,0,0,0,0,0,0,143,147,114,117,0,0,521
ASHLAND - ASHLAND MIDDLE,00140405,0,0,0,0,0,0,0,0,0,166,168,0,0,0,0,0,0,334
ASHLAND - DAVID MINDESS,00140015,0,0,0,0,0,0,198,160,146,0,0,0,0,0,0,0,0,504
ASHLAND - HENRY E WARREN ELEM,00140010,2,0,0,189,192,179,0,0,0,0,0,0,0,0,0,0,0,562
ASHLAND - WILLIAM PITTAWAY ELEM,00140005,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
ASSABET VALLEY - ASSABET VALLEY VOC H S,08010605,0,0,0,0,0,0,0,0,0,0,0,206,222,206,178,70,0,882
ATHOL-ROYALSTON - ATHOL HIGH,06150505,2,0,0,0,0,0,0,0,0,0,0,154,158,139,90,0,0,543
ATHOL-ROYALSTON - ATHOL MIDDLE,06150305,0,0,0,0,0,0,0,0,0,196,194,0,0,0,0,0,0,390
ATHOL-ROYALSTON - ELLEN BIGELOW,06150005,0,0,32,18,47,27,38,0,0,0,0,0,0,0,0,0,0,162
ATHOL-ROYALSTON - PLEASANT ST,06150016,10,0,28,42,40,47,42,39,40,0,0,0,0,0,0,0,0,288
ATHOL-ROYALSTON - RAYMOND,06150045,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
ATHOL-ROYALSTON - RIVERBEND,06150020,0,0,0,0,0,0,35,106,136,0,0,0,0,0,0,0,0,277
ATHOL-ROYALSTON - ROYALSTON COMMUNITY SCH,06150050,0,0,12,15,22,16,17,13,16,0,0,0,0,0,0,0,0,111
ATHOL-ROYALSTON - SANDERS STREET,06150025,0,0,44,23,49,40,0,0,0,0,0,0,0,0,0,0,0,156
ATHOL-ROYALSTON - SILVER LAKE,06150030,0,0,25,36,48,51,48,0,0,0,0,0,0,0,0,0,0,208
ATLANTIS CHARTER - ATLANTIS CS,04910550,0,0,72,69,69,66,69,25,25,25,0,0,0,0,0,0,0,420
ATTLEBORO - ATTLEBORO HIGH,00160505,0,0,0,0,0,0,0,0,0,0,0,527,335,332,275,0,0,"1,469"
ATTLEBORO - ATTLEBORO VOC TECH HIGH,00160605,0,0,0,0,0,0,0,0,0,0,0,6,128,103,68,0,0,305
ATTLEBORO - ATTLEBOROUGH ECC,00160005,0,96,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425
ATTLEBORO - CYRIL K BRENNAN MIDDLE,00160315,0,0,0,0,0,0,0,192,138,182,175,0,0,0,0,0,0,687
ATTLEBORO - HILL ROBERTS ELEM,00160045,0,0,91,119,132,108,121,0,0,0,0,0,0,0,0,0,0,571
ATTLEBORO - HYMAN FINE ELEM,00160040,0,0,0,137,170,130,137,0,0,0,0,0,0,0,0,0,0,574
ATTLEBORO - JOSEPH FINBERG,00160010,0,0,0,69,71,78,72,0,0,0,0,0,0,0,0,0,0,290
ATTLEBORO - ROBERT J COELHO MIDDLE,00160305,0,0,0,0,0,0,0,165,175,158,147,0,0,0,0,0,0,645
ATTLEBORO - STUDLEY SCHOOL,00160001,0,0,97,112,146,128,127,0,0,0,0,0,0,0,0,0,0,610
ATTLEBORO - WAMSUTTA MIDDLE,00160320,0,0,0,0,0,0,0,175,199,199,194,0,0,0,0,0,0,767
ATTLEBORO - WILLETT,00160035,0,0,0,107,120,102,88,0,0,0,0,0,0,0,0,0,0,417
AUBURN - AUBURN MIDDLE,00170305,0,0,0,0,0,0,0,0,179,176,203,0,0,0,0,0,0,558
AUBURN - AUBURN SENIOR HIGH,00170505,0,0,0,0,0,0,0,0,0,0,0,134,140,165,151,0,0,590
AUBURN - BRYN MAWR,00170010,0,0,84,89,87,0,0,0,0,0,0,0,0,0,0,0,0,260
AUBURN - JULIA BANCROFT,00170005,0,0,0,0,0,104,95,110,0,0,0,0,0,0,0,0,0,309
AUBURN - MARY D STONE,00170025,7,65,114,98,97,0,0,0,0,0,0,0,0,0,0,0,0,381
AUBURN - PAKACHOAG,00170015,0,0,0,0,0,109,108,95,0,0,0,0,0,0,0,0,0,312
AVON - AVON HIGH SCHOOL,00180505,0,0,0,0,0,0,0,0,0,0,0,63,52,49,53,0,0,217
AVON - AVON MIDDLE SCHOOL,00180305,0,0,0,0,0,0,0,59,70,67,61,0,0,0,0,0,0,257
AVON - RALPH D BUTLER,00180010,0,0,66,63,66,63,61,0,0,0,0,0,0,0,0,0,0,319
AYER - AYER HIGH,00190510,0,0,0,0,0,0,0,0,0,0,0,87,102,66,62,0,0,317
AYER - AYER MIDDLE,00190305,0,0,0,0,0,0,0,79,77,77,73,0,0,0,0,0,0,306
AYER - HILLTOP-PAGE,00190025,0,16,102,96,113,86,94,0,0,0,0,0,0,0,0,0,0,507
BARNSTABLE - BARNSTABLE HIGH,00200505,0,0,0,0,0,0,0,0,0,0,0,567,403,420,393,0,0,"1,783"
BARNSTABLE - CENTERVILLE ELEMENTARY,00200010,0,0,62,89,87,83,103,0,0,0,0,0,0,0,0,0,0,424
BARNSTABLE - COTUIT ELEM,00200015,0,0,0,0,44,66,73,0,0,0,0,0,0,0,0,0,0,183
BARNSTABLE - GRADE 5 SCHOOL,00200045,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,574
BARNSTABLE - HYANNIS ELEMENTARY,00200020,0,123,81,102,94,85,89,0,0,0,0,0,0,0,0,0,0,574
BARNSTABLE - HYANNIS WEST ELEMENTARY,00200025,0,0,75,97,89,102,79,0,0,0,0,0,0,0,0,0,0,442
BARNSTABLE - MARSTON MILLS EAST,00200032,0,31,77,83,95,106,79,0,0,0,0,0,0,0,0,0,0,471
