SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Taunton - Elizabeth Pole,02930027,0,0,0,83,102,95,96,0,0,0,0,0,0,0,0,0,0,376
Taunton - H H Galligan,02930057,0,0,72,58,59,48,56,0,0,0,0,0,0,0,0,0,0,293
Taunton - Hopewell,02930035,0,0,58,72,68,62,62,0,0,0,0,0,0,0,0,0,0,322
Taunton - James L Mulcahey,02930050,0,0,0,0,0,0,1,129,126,123,102,0,0,0,0,0,0,481
Taunton - John F Parker Middle,02930305,0,0,0,0,0,0,1,167,147,119,65,0,0,0,0,0,0,499
Taunton - Joseph C Chamberlain,02930008,0,0,134,144,129,136,123,0,0,0,0,0,0,0,0,0,0,666
Taunton - Joseph H Martin,02930042,0,0,0,0,0,0,0,226,220,210,213,0,0,0,0,0,0,869
Taunton - Lowell M Maxham,02930045,0,0,47,31,37,26,33,0,0,0,0,0,0,0,0,0,0,174
Taunton - Summer Street School,02930003,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
Taunton - Taunton High,02930505,0,0,0,0,0,0,0,0,0,0,3,554,444,441,321,0,0,"1,763"
Taunton - Walker,02930065,0,0,39,36,51,56,57,0,0,0,0,0,0,0,0,0,0,239
Tewksbury - Ella Fleming,02950003,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Tewksbury - Heath-Brook,02950010,0,0,99,101,117,102,101,0,0,0,0,0,0,0,0,0,0,520
Tewksbury - John F. Ryan,02950023,0,0,0,0,0,0,0,387,418,0,0,0,0,0,0,0,0,805
Tewksbury - John W. Wynn Middle,02950305,0,0,0,0,0,0,0,0,0,412,354,0,0,0,0,0,0,766
Tewksbury - L F Dewing,02950001,0,0,109,146,124,145,127,0,0,0,0,0,0,0,0,0,0,651
Tewksbury - Louise Davy Trahan,02950025,0,6,71,72,75,66,73,0,0,0,0,0,0,0,0,0,0,363
Tewksbury - North Street,02950020,0,0,83,74,100,88,70,0,0,0,0,0,0,0,0,0,0,415
Tewksbury - Tewksbury Memorial High,02950505,0,0,0,0,0,0,0,0,0,0,0,292,251,205,193,0,0,941
Tisbury - Tisbury Elementary,02960005,0,0,23,39,36,40,35,33,47,42,44,0,0,0,0,0,0,339
Topsfield - Proctor Elementary,02980005,0,0,0,0,0,0,124,90,1,0,0,0,0,0,0,0,0,215
Topsfield - Steward Elementary,02980010,0,6,96,98,100,106,0,0,0,0,0,0,0,0,0,0,0,406
Tri County - Tri County Reg Voc Tech,08780605,0,0,0,0,0,0,0,0,0,0,0,237,215,200,192,0,0,844
Triton - Newbury Elementary,07730020,0,18,80,71,85,96,109,92,97,0,0,0,0,0,0,0,0,648
Triton - Pine Grove,07730025,0,49,76,70,101,86,90,86,90,0,0,0,0,0,0,0,0,648
Triton - Salisbury Elementary,07730015,0,24,67,94,97,90,113,101,105,0,0,0,0,0,0,0,0,691
Triton - Triton High School,07730505,0,0,0,0,0,0,0,0,0,0,0,297,227,210,175,0,0,909
Triton - Triton Middle School,07730405,0,0,0,0,0,0,0,0,0,313,279,0,0,0,0,0,0,592
Truro - Truro Central,03000005,0,2,19,14,15,17,17,20,17,0,0,0,0,0,0,0,0,121
Tyngsborough - Lakeview,03010005,0,0,0,26,156,0,0,0,0,0,0,0,0,0,0,0,0,182
Tyngsborough - Norris Rd Elementary,03010008,0,0,0,0,0,149,152,160,187,0,0,0,0,0,0,0,0,648
Tyngsborough - Tyngsborough ECC,03010015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyngsborough - Tyngsborough Elementary,03010020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyngsborough - Tyngsborough High School,03010505,0,0,0,0,0,0,0,0,1,186,182,168,153,133,131,0,0,954
Tyngsborough - Tyngsborough Middle,03010305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyngsborough - Winslow,03010010,0,121,163,154,0,0,0,0,0,0,0,0,0,0,0,0,0,438
Up-Island Regional - Chilmark Elementary,07740010,0,0,11,8,10,11,7,11,0,0,0,0,0,0,0,0,0,58
