SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,0,119,122,123,121,122,125,123,112,116,90,83,82,88,0,"1,426"
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,97,120,136,107,0,460
Abington - Beaver Brook Elementary School,00010003,0,0,141,172,177,156,0,0,0,0,0,0,0,0,0,646
Abington - Center Elementary School,00010002,44,135,0,0,0,0,0,0,0,0,0,0,0,0,0,179
Abington - Frolio Middle School,00010405,0,0,0,0,0,0,0,0,148,181,0,0,0,0,0,329
Abington - Woodsdale Elementary School,00010015,0,0,0,0,0,0,179,161,0,0,0,0,0,0,0,340
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,0,0,0,0,0,0,72,72,76,69,70,60,48,31,0,498
Acton - Douglas,00020020,0,61,67,64,70,72,73,71,0,0,0,0,0,0,0,478
Acton - Gates,00020025,0,41,44,63,70,72,71,72,0,0,0,0,0,0,0,433
Acton - Luther Conant,00020030,0,62,64,63,71,72,72,71,0,0,0,0,0,0,0,475
Acton - McCarthy-Towne,00020015,0,63,67,66,71,70,72,73,0,0,0,0,0,0,0,482
Acton - Merriam,00020010,83,61,65,66,92,96,69,73,0,0,0,0,0,0,0,605
Acton-Boxborough - Acton-Boxborough Regional High,06000505,0,0,0,0,0,0,0,0,0,0,475,486,482,517,0,"1,960"
Acton-Boxborough - Raymond J Grey Junior High,06000405,0,0,0,0,0,0,0,0,467,463,0,0,0,0,0,930
Acushnet - Acushnet Elementary School,00030025,51,100,86,108,113,78,0,0,0,0,0,0,0,0,0,536
Acushnet - Albert F Ford Middle School,00030305,0,0,0,0,0,0,117,114,115,110,0,0,0,0,0,456
Adams-Cheshire - Cheshire Elementary,06030004,50,30,33,30,30,29,23,0,0,0,0,0,0,0,0,225
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,0,0,0,0,0,0,0,110,119,110,96,71,101,86,0,693
Adams-Cheshire - Plunkett Elementary,06030020,0,88,79,70,68,84,83,0,0,0,0,0,0,0,0,472
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0,0,0,0,0,0,0,152,149,129,142,195,129,101,0,997
Agawam - Agawam Early Childhood Center,00050003,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,356,343,300,291,0,"1,290"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,324,305,0,0,0,0,0,629
Agawam - Benjamin J Phelps,00050020,0,86,73,73,81,72,0,0,0,0,0,0,0,0,0,385
Agawam - Clifford M Granger,00050010,0,47,65,65,63,57,0,0,0,0,0,0,0,0,0,297
Agawam - James Clark School,00050030,0,72,56,68,88,69,0,0,0,0,0,0,0,0,0,353
Agawam - Roberta G. Doering School,00050303,0,0,0,0,0,0,315,288,4,2,0,0,0,0,0,609
Agawam - Robinson Park,00050025,0,81,82,89,77,71,0,0,0,0,0,0,0,0,0,400
