orgcode,address,latitude,longitude
160045,"80 Roy Avenue, Attleboro, MA 02703",41.92009735,-71.35148621
160040,"790 Oak Hill Avenue, Attleboro, MA 02703",41.91617966,-71.27257538
160050,"160 James Street, Attleboro, MA 02703",41.93292752,-71.28038317
160305,"99 Brown Street, Attleboro, MA 02703",41.909729,-71.3686764
160035,"32 Watson Avenue, Attleboro, MA 02703",41.9470888,-71.2918017
160320,"300 Locust Street, Attleboro, MA 02703",41.91355133,-71.28064728
170305,"10 Swanson Road, Auburn, MA 01501",42.2056557,-71.8407767
170505,"99 Auburn Street, Auburn, MA 01501",42.20699692,-71.83634949
170010,"35 Swanson Road, Auburn, MA 01501",42.20525421,-71.84489965
170005,"3 Vinal Street, Auburn, MA 01501",42.2197876,-71.84355164
170025,"10 Church Street, Auburn, MA 01501",42.1947469,-71.8364602
170015,"110 Pakachoag Street, Auburn, MA 01501",42.22386169,-71.81606293
180510,"287 West Main Street, Avon, MA 02322",42.12856986,-71.04198776
180010,"1 Patrick Clark Drive, Avon, MA 02322",42.11585149,-71.04568787
6160505,"141 Washington Street, Ayer, MA 01432",42.56799079,-71.57628514
6160305,"1 Hospital Road, Shirley, MA 01464",42.542623,-71.6370885
6160001,"34 Lancaster Road, Shirley, MA 01464",42.53901672,-71.6554184
6160002,"115 Washington Street, Ayer, MA 01432",42.56673954,-71.57951988
200505,"744 West Main Street, Hyannis, MA 02601",41.65612411,-70.31987762
200315,"895 Falmouth Road, Hyannis, MA 02601",41.65870667,-70.32093811
200050,"730 Osterville West Barnstable Road, Marston Mills, MA 02648",41.66180648,-70.38944654
200010,"658 Bay Ln, Centerville, MA 02632",41.64617538,-70.35355377
200025,"549 West Main Street, Hyannis, MA 02601",41.64945984,-70.31639099
200005,"2463 Main St Route 6A, West Barnstable, MA 02668",41.69753647,-70.32713318
200045,"760 Osterville-West Barnstable Road, Marstons Mills, MA 02648",41.66238517,-70.38881019
