orgcode,address,latitude,longitude
160320,"300 Locust Street, Attleboro, MA 02703",41.91360215,-71.28079791
170305,"10 Swanson Road, Auburn, MA 01501",42.20751595,-71.84114733
170505,"99 Auburn Street, Auburn, MA 01501",42.2069706,-71.83675901
170010,"35 Swanson Road, Auburn, MA 01501",42.20472705,-71.84443847
170005,"3 Vinal Street, Auburn, MA 01501",42.2197183,-71.8436811
170025,"10 Church Street, Auburn, MA 01501",42.1957765,-71.83603219
170015,"110 Pakachoag Street, Auburn, MA 01501",42.22362995,-71.8160786
180510,"287 West Main Street, Avon, MA 02322",42.128594,-71.042024
180010,"1 Patrick Clark Drive, Avon, MA 02322",42.11419775,-71.04530215
6160505,"141 Washington Street, Ayer, MA 01432",42.56755169,-71.57739445
6160305,"1 Hospital Road, Shirley, MA 01464",42.54590925,-71.6392113
6160001,"34 Lancaster Road, Shirley, MA 01464",42.539696,-71.657298
6160002,"115 Washington Street, Ayer, MA 01432",42.5670449,-71.57861989
200505,"744 West Main Street, Hyannis, MA 02601",41.654754,-70.3225068
200315,"895 Falmouth Road, Hyannis, MA 02601",41.65871125,-70.32086998
200050,"730 Osterville West Barnstable Road, Marston Mills, MA 02648",,
200010,"658 Bay Ln, Centerville, MA 02632",41.64714467,-70.35375967
200025,"549 West Main Street, Hyannis, MA 02601",41.64942965,-70.31651417
200005,"2463 Main St Route 6A, West Barnstable, MA 02668",,
200045,"760 Osterville-West Barnstable Road, Marstons Mills, MA 02648",41.6626308,-70.3872586
4270010,"165 Bearses Way, Hyannis, MA 02601",41.6557231,-70.2931858
35020405,"334 Franklin Street, Springfield, MA 01104",42.11391007,-72.58951236
230505,"9 Mudge Way, Bedford, MA 01730",42.4915713,-71.2840526
230305,"99 McMahon Road, Bedford, MA 01730",42.4875326,-71.28552723
230010,"410 Davis Rd, Bedford, MA 01730",42.484903,-71.309223
230012,"66 Sweetwater Avenue, Bedford, MA 01730",42.51475836,-71.27625267
240505,"142 Springfield Road, Belchertown, MA 01007",42.2663424,-72.40971418
240006,"59 State Street, Belchertown, MA 01007",42.26817055,-72.41310843
240005,"57 South Main Street, Belchertown, MA 01007",42.2740677,-72.39603392
