"grade","latlong","longitude","latitude","2005","2010","2015","stu_2015_2010","stu_2015_2005","stu_2015_2010_abs","stu_2015_2005_abs","name","address"
-1,"42.315 -71.078","-71.078","42.315",65,52,43,-9,-22,9,22,"Boston - Haynes Early Education Center","263 Blue Hill Avenue, Roxbury , MA 02119"
-1,"42.315 -71.087","-71.087","42.315",10,3,48,45,38,45,38,"Boston - William Monroe Trotter","135 Humboldt Avenue, Dorchester, MA 02121"
-1,"42.316 -71.093","-71.093","42.316",0,31,48,17,48,17,48,"Boston - David A Ellis","302 Walnut Avenue, Roxbury, MA 02119"
-1,"42.316 -71.101","-71.101","42.316",0,34,33,-1,33,1,33,"Boston - Ellis Mendell","164 School Street, Roxbury, MA 02119"
-1,"42.317 -71.042","-71.042","42.317",0,23,40,17,40,17,40,"Boston - Paul A Dever","325 Mt Vernon Street, Dorchester, MA 02125"
-1,"42.317 -71.091","-71.091","42.317",5,0,29,29,24,29,24,"Boston - Higginson","160 Harrishof Street, Roxbury, MA 02119"
-1,"42.318 -71.075","-71.075","42.318",21,44,28,-16,7,16,7,"Boston - John Winthrop","35 Brookford Street, Dorchester, MA 02125"
-1,"42.318 -71.113","-71.113","42.318",0,52,70,18,70,18,70,"Boston - Mary E Curley Middle","493 Centre St, Jamaica Plain, MA 02130"
-1,"42.320 -71.059","-71.059","42.320",0,43,61,18,61,18,61,"Boston - William E Russell","750 Columbia Road, Dorchester, MA 02125"
-1,"42.321 -71.085","-71.085","42.321",0,28,5,-23,5,23,5,"Boston - Higginson/Lewis K-8","131 Walnut Avenue, Roxbury, MA 02119"
-1,"42.321 -71.106","-71.106","42.321",0,0,21,21,21,21,21,"Boston - John F Kennedy","7 Bolster Street, Jamaica Plain, MA 02130"
-1,"42.323 -71.058","-71.058","42.323",0,20,21,1,21,1,21,"Boston - Roger Clap","35 Harvest Street, Dorchester, MA 02125"
-1,"42.323 -71.073","-71.073","42.323",0,4,45,41,45,41,45,"Dudley Street Neighborhood Charter School - Dudley Street Neighborhood Charter School","6 Shirley Street, Boston, MA 02119"
-1,"42.325 -71.091","-71.091","42.325",0,24,18,-6,18,6,18,"Boston - Nathan Hale","51 Cedar Street, Roxbury, MA 02119"
-1,"42.326 -71.071","-71.071","42.326",26,30,23,-7,-3,7,3,"Boston - Samuel W Mason","150 Norfolk Avenue, Roxbury, MA 02119"
-1,"42.326 -71.106","-71.106","42.326",32,33,26,-7,-6,7,6,"Boston - James W Hennigan","200 Heath Street, Jamaica Plain, MA 02130"
-1,"42.330 -71.077","-71.077","42.330",0,25,51,26,51,26,51,"Boston - Orchard Gardens ","906 Albany Street, Roxbury, MA 02119"
-1,"42.332 -71.030","-71.030","42.332",0,21,15,-6,15,6,15,"Boston - Oliver Hazard Perry","745 E. 7th Street, South Boston, MA 02127"
-1,"42.333 -71.098","-71.098","42.333",0,13,13,0,13,0,13,"Boston - Maurice J Tobin","40 Smith St, Roxbury, MA 02120"
