"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2","mingrade"
"BOSTON - ELC - WEST ZONE",350006,"1998","38",-1,1,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - ELLIS MENDELL",350100,"1998","28",-1,5,"164 School Street, Roxbury, MA 02119",42.3169155,-71.1013381,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - GEORGE H CONLEY",350122,"1998","14",-1,5,"450 Poplar Street, Roslindale, MA 02131",42.2746048,-71.12731934,2131,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - HARVARD-KENT",350200,"1998","33",-1,5,"50 Bunker Hill Street, Charlestown, MA 02129",42.3767399,-71.05702758,2129,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - HENRY L HIGGINSON",350137,"1998","42",-1,5,"160 HARRISHOF STREET, Roxbury, MA 2119",42.317677,-71.0915746,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - HORACE MANN",350750,"1998","12",-1,12,"40 Armington  Street, Allston, MA 02134",42.3519992,-71.1377044,2134,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - HUGH ROE O'DONNELL",350141,"1998","24",-1,5,"33 Trenton Street, East Boston, MA 02128",42.37824664,-71.03807576,2128,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JACKSON MANN",350013,"1998","27",-1,5,"40 Armington Street, Allston, MA 02134",42.351989,-71.137687,2134,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JAMES A GARFIELD ELEM",350152,"1998","23",-1,5,"95 BEECHCROFT STREET, Brighton, MA 2135",42.352183,-71.1607736,2135,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JAMES CONDON ELEM",350146,"1998","81",-1,5,"200 D Street, South Boston, MA 02127",42.33834839,-71.05284882,2127,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JAMES J CHITTICK",350154,"1998","15",-1,5,"154 Ruskindale Road, Mattapan, MA 02126",42.26719379,-71.10501565,2126,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JAMES OTIS",350156,"1998","41",-1,5,"218 Marion Street, East Boston, MA 02128",42.37525558,-71.03387451,2128,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JAMES W HENNIGAN",350153,"1998","39",-1,5,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOHN MARSHALL",350178,"1998","62",-1,5,"35 Westville Street, Boston, MA 02124",42.2996393,-71.0708375,2124,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOHN P HOLLAND",350167,"1998","44",-1,5,"85 Olney Street, Dorchester, MA 02121",42.30607986,-71.07362366,2121,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOHN WINTHROP",350180,"1998","49",-1,5,"35 Brookford Street, Dorchester, MA 02125",42.31838509,-71.07556365,2125,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOSEPH LEE",350183,"1998","62",-1,5,"155 Talbot Avenue, Dorchester, MA 02124",42.29253732,-71.0800463,2124,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOSEPH P TYNAN",350181,"1998","27",-1,5,"650 E.  Fourth Street, South Boston, MA 02127",42.33478747,-71.03828095,2127,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOSIAH QUINCY",350286,"1998","35",-1,5,"885 Washington Street, Boston, MA 02111",42.34798813,-71.06498718,2111,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOYCE KILMER",350190,"1998","25",-1,5,"35 Baker Street, West Roxbury, MA 02132",42.27159262,-71.16305999,2132,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - LUCY STONE",350211,"1998","24",-1,5,"22 Regina Rd, Dorchester, MA 02124",42.295497,-71.071087,2124,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MANASSAH E BRADLEY",350215,"1998","29",-1,5,"110 Beachview Road, East Boston, MA 02128",42.39142835,-71.00563981,2128,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MARGARET FULLER",350217,"1998","24",-1,5,"25 Glen Rd, Jamaica Plain, MA 02130",42.3089393,-71.103468,2130,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MATTAHUNT",350226,"1998","61",-1,5,"100 Hebron Street, Mattapan, MA 02126",42.27426142,-71.10606708,2126,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MAURICE J TOBIN",350229,"1998","44",-1,8,"40 Smith St, Roxbury, MA 02120",42.333023,-71.098335,2120,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MOZART",350237,"1998","26",-1,5,"236 Beech Street, Roslindale, MA 02131",42.28120422,-71.14104462,2131,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - O W HOLMES",350138,"1998","24",-1,5,"40 School Street, Dorchester, MA 02124",42.2966783,-71.0749007,2124,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - OLIVER HAZARD PERRY",350255,"1998","17",-1,5,"745 E. 7th Street, South Boston, MA 02127",42.33234398,-71.0302826,2127,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - PATRICK J KENNEDY",350264,"1998","24",-1,5,"343 Saratoga Street, East Boston, MA 02128",42.3785345,-71.0304827,2128,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - PATRICK O'HEARN",350266,"1998","48",-1,5,"1669 Dorchester Avenue, Dorchester, MA 02122",42.29376376,-71.06213249,2122,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - PAUL A DEVER",350268,"1998","23",-1,5,"325 Mt Vernon Street, Dorchester, MA 02125",42.31726837,-71.04293823,2125,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - PAULINE AGASSIZ SHAW",350270,"1998","16",-1,5,"429 Norfolk St, Dorchester, MA 02124",42.282101,-71.086933,2124,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - PHINEAS BATES",350278,"1998","25",-1,5,"426 Beech Street, Roslindale, MA 02131",42.27768326,-71.13510132,2131,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - QUINCY E DICKERMAN",350284,"1998","21",-1,5,"206 Magnolia St, Dorchester, MA 02121",42.3113409,-71.0735227,2121,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - RAFAEL HERNANDEZ",350691,"1998","30",-1,8,"61 School Street, Roxbury, MA 02119",42.31377706,-71.09818339,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - RICHARD J MURPHY",350240,"1998","32",-1,5,"1 Worrell Street, Dorchester, MA 02122",42.29459189,-71.04997672,2122,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - SAMUEL ADAMS",350302,"1998","23",-1,5,"165 Webster Street, East Boston, MA 02128",42.36572675,-71.03488259,2128,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - SAMUEL W MASON",350304,"1998","47",-1,5,"150 Norfolk Avenue, Roxbury, MA 02119",42.32642703,-71.07100323,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - SARAH GREENWOOD",350308,"1998","23",-1,8,"189 Glenway Street, Dorchester, MA 02121",42.29650879,-71.08069611,2121,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - THOMAS GARDNER",350326,"1998","15",-1,5,"30 Athol Street, Allston, MA 02134",42.360779,-71.133957,2134,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - THOMAS J KENNY",350328,"1998","23",-1,5,"19 Oakton Avenue, Dorchester, MA 02122",42.28668876,-71.05346225,2122,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WARREN-PRESCOTT",350346,"1998","1",-1,5,"50 School Street, Charlestown, MA 02129",42.37807833,-71.06417768,2129,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WILLIAM ELLERY CHANNING",350360,"1998","20",-1,5,"35 Sunnyside Street, Hyde Park, MA 02136",42.251552,-71.133338,2136,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WILLIAM H OHRENBERGER",350258,"1998","29",-1,5,"175 West  Boundary Road, West Roxbury, MA 02132",42.26125717,-71.14873505,2132,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WILLIAM MONROE TROTTER",350370,"1998","8",-1,5,"135 Humboldt Avenue, Dorchester, MA 02121",42.31533542,-71.08781531,2121,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WINSHIP ELEMENTARY",350374,"1998","71",-1,5,"54 Dighton Street, Brighton, MA 02135",42.34754004,-71.15443468,2135,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WM E ENDICOTT",350362,"1998","16",-1,5,"2 Mclellan Street
 Dorchester, MA 02121",42.3012516,-71.0856939,2121,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - YOUNG ACHIEVERS",350380,"1998","39",-1,4,"20 Outlook Road, Mattapan, MA 02126",42.28198349,-71.09399311,2126,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Agassiz",350007,"1999","44",-1,5,"20 Child St, Jamaica Plain, MA 02130",42.3073176,-71.1144849,2130,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Alexander Hamilton",350011,"1999","1",-1,5,"198 Strathmore Rd, Brighton, MA 02135",42.3400691,-71.1545111,2135,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Beethoven",350021,"1999","24",-1,5,"5125 Washington Street, West Roxbury, MA 02132",42.26351929,-71.15582275,2132,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Blackstone",350390,"1999","61",-1,5,"380 Shawmut Avenue, Boston, MA 02118",42.3402746,-71.07350707,2118,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Blue Hill Ave ECC",350010,"1999","63",-1,1,"263 Blue Hill Avenue, Roxbury , MA 02119",42.31538169,-71.07848391,2119,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Charles H Taylor",350054,"1999","9",-1,5,"1060 Morton Street, Mattapan, MA 02126",42.27751091,-71.07775569,2126,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Curtis Guild",350062,"1999","11",-1,5,"195 Leyden Street, East Boston, MA 02128",42.38860801,-71.00412302,2128,TRUE,FALSE,FALSE,TRUE,-1
"Boston - East Boston ECC",350009,"1999","64",-1,1,"135 Grove Street, East Boston, MA 02128",42.391456,-71.027336,2128,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Edward Everett",350088,"1999","9",-1,5,"71 Pleasant Street, Dorchester, MA 02125",42.31405869,-71.05980903,2125,TRUE,FALSE,FALSE,TRUE,-1
"Boston - ELC - East Zone",350005,"1999","57",-1,1,"370 Columbia Rd, Dorchester, MA 02125",42.311196,-71.071393,2125,TRUE,FALSE,FALSE,TRUE,-1
"Boston - ELC - North Zone",350003,"1999","42",-1,1,"121 Corey Road, Brighton, MA 02135",42.34194565,-71.14056396,2135,TRUE,FALSE,FALSE,TRUE,-1
"Boston - ELC - West Zone",350006,"1999","38",-1,1,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE,-1
"Boston - Ellis Mendell",350100,"1999","6",-1,5,"164 School Street, Roxbury, MA 02119",42.3169155,-71.1013381,2119,TRUE,FALSE,FALSE,TRUE,-1
