"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2"
"BOSTON - MAURICE J TOBIN",350229,"1998","44",-1,,"40 Smith St, Roxbury, MA 02120",42.333023,-71.098335,2120,TRUE,FALSE,FALSE,TRUE
"BOSTON - MOZART",350237,"1998","26",-1,,"236 Beech Street, Roslindale, MA 02131",42.28120422,-71.14104462,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON - O W HOLMES",350138,"1998","24",-1,,"40 School Street, Dorchester, MA 02124",42.2966783,-71.0749007,2124,TRUE,FALSE,FALSE,TRUE
"BOSTON - OLIVER HAZARD PERRY",350255,"1998","17",-1,,"745 E. 7th Street, South Boston, MA 02127",42.33234398,-71.0302826,2127,TRUE,FALSE,FALSE,TRUE
"BOSTON - PATRICK J KENNEDY",350264,"1998","24",-1,,"343 Saratoga Street, East Boston, MA 02128",42.3785345,-71.0304827,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - PATRICK O'HEARN",350266,"1998","48",-1,,"1669 Dorchester Avenue, Dorchester, MA 02122",42.29376376,-71.06213249,2122,TRUE,FALSE,FALSE,TRUE
"BOSTON - PAUL A DEVER",350268,"1998","23",-1,,"325 Mt Vernon Street, Dorchester, MA 02125",42.31726837,-71.04293823,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON - PAULINE AGASSIZ SHAW",350270,"1998","16",-1,,"429 Norfolk St, Dorchester, MA 02124",42.282101,-71.086933,2124,TRUE,FALSE,FALSE,TRUE
"BOSTON - PHINEAS BATES",350278,"1998","25",-1,,"426 Beech Street, Roslindale, MA 02131",42.27768326,-71.13510132,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON - QUINCY E DICKERMAN",350284,"1998","21",-1,,"206 Magnolia St, Dorchester, MA 02121",42.3113409,-71.0735227,2121,TRUE,FALSE,FALSE,TRUE
"BOSTON - RAFAEL HERNANDEZ",350691,"1998","30",-1,,"61 School Street, Roxbury, MA 02119",42.31377706,-71.09818339,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - RICHARD J MURPHY",350240,"1998","32",-1,,"1 Worrell Street, Dorchester, MA 02122",42.29459189,-71.04997672,2122,TRUE,FALSE,FALSE,TRUE
"BOSTON - SAMUEL ADAMS",350302,"1998","23",-1,,"165 Webster Street, East Boston, MA 02128",42.36572675,-71.03488259,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - SAMUEL W MASON",350304,"1998","47",-1,,"150 Norfolk Avenue, Roxbury, MA 02119",42.32642703,-71.07100323,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - SARAH GREENWOOD",350308,"1998","23",-1,,"189 Glenway Street, Dorchester, MA 02121",42.29650879,-71.08069611,2121,TRUE,FALSE,FALSE,TRUE
"BOSTON - THOMAS GARDNER",350326,"1998","15",-1,,"30 Athol Street, Allston, MA 02134",42.360779,-71.133957,2134,TRUE,FALSE,FALSE,TRUE
"BOSTON - THOMAS J KENNY",350328,"1998","23",-1,,"19 Oakton Avenue, Dorchester, MA 02122",42.28668876,-71.05346225,2122,TRUE,FALSE,FALSE,TRUE
"BOSTON - WARREN-PRESCOTT",350346,"1998","1",-1,,"50 School Street, Charlestown, MA 02129",42.37807833,-71.06417768,2129,TRUE,FALSE,FALSE,TRUE
"BOSTON - WILLIAM ELLERY CHANNING",350360,"1998","20",-1,,"35 Sunnyside Street, Hyde Park, MA 02136",42.251552,-71.133338,2136,TRUE,FALSE,FALSE,TRUE
"BOSTON - WILLIAM H OHRENBERGER",350258,"1998","29",-1,,"175 West  Boundary Road, West Roxbury, MA 02132",42.26125717,-71.14873505,2132,TRUE,FALSE,FALSE,TRUE
"BOSTON - WILLIAM MONROE TROTTER",350370,"1998","8",-1,,"135 Humboldt Avenue, Dorchester, MA 02121",42.31533542,-71.08781531,2121,TRUE,FALSE,FALSE,TRUE
"BOSTON - WINSHIP ELEMENTARY",350374,"1998","71",-1,,"54 Dighton Street, Brighton, MA 02135",42.34754004,-71.15443468,2135,TRUE,FALSE,FALSE,TRUE
"BOSTON - WM E ENDICOTT",350362,"1998","16",-1,,"2 Mclellan Street
 Dorchester, MA 02121",42.3012516,-71.0856939,2121,TRUE,FALSE,FALSE,TRUE
"BOSTON - YOUNG ACHIEVERS",350380,"1998","39",-1,,"20 Outlook Road, Mattapan, MA 02126",42.28198349,-71.09399311,2126,TRUE,FALSE,FALSE,TRUE
"Boston - Agassiz",350007,"1999","44",-1,,"20 Child St, Jamaica Plain, MA 02130",42.3073176,-71.1144849,2130,TRUE,FALSE,FALSE,TRUE
"Boston - Alexander Hamilton",350011,"1999","1",-1,,"198 Strathmore Rd, Brighton, MA 02135",42.3400691,-71.1545111,2135,TRUE,FALSE,FALSE,TRUE
"Boston - Beethoven",350021,"1999","24",-1,,"5125 Washington Street, West Roxbury, MA 02132",42.26351929,-71.15582275,2132,TRUE,FALSE,FALSE,TRUE
"Boston - Blackstone",350390,"1999","61",-1,,"380 Shawmut Avenue, Boston, MA 02118",42.3402746,-71.07350707,2118,TRUE,FALSE,FALSE,TRUE
"Boston - Blue Hill Ave ECC",350010,"1999","63",-1,,"263 Blue Hill Avenue, Roxbury , MA 02119",42.31538169,-71.07848391,2119,TRUE,FALSE,FALSE,TRUE
"Boston - Charles H Taylor",350054,"1999","9",-1,,"1060 Morton Street, Mattapan, MA 02126",42.27751091,-71.07775569,2126,TRUE,FALSE,FALSE,TRUE
"Boston - Curtis Guild",350062,"1999","11",-1,,"195 Leyden Street, East Boston, MA 02128",42.38860801,-71.00412302,2128,TRUE,FALSE,FALSE,TRUE
"Boston - East Boston ECC",350009,"1999","64",-1,,"135 Grove Street, East Boston, MA 02128",42.391456,-71.027336,2128,TRUE,FALSE,FALSE,TRUE
"Boston - Edward Everett",350088,"1999","9",-1,,"71 Pleasant Street, Dorchester, MA 02125",42.31405869,-71.05980903,2125,TRUE,FALSE,FALSE,TRUE
"Boston - ELC - East Zone",350005,"1999","57",-1,,"370 Columbia Rd, Dorchester, MA 02125",42.311196,-71.071393,2125,TRUE,FALSE,FALSE,TRUE
"Boston - ELC - North Zone",350003,"1999","42",-1,,"121 Corey Road, Brighton, MA 02135",42.34194565,-71.14056396,2135,TRUE,FALSE,FALSE,TRUE
"Boston - ELC - West Zone",350006,"1999","38",-1,,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE
"Boston - Ellis Mendell",350100,"1999","6",-1,,"164 School Street, Roxbury, MA 02119",42.3169155,-71.1013381,2119,TRUE,FALSE,FALSE,TRUE
"Boston - George H Conley",350122,"1999","8",-1,,"450 Poplar Street, Roslindale, MA 02131",42.2746048,-71.12731934,2131,TRUE,FALSE,FALSE,TRUE
"Boston - Harvard-Kent",350200,"1999","9",-1,,"50 Bunker Hill Street, Charlestown, MA 02129",42.3767399,-71.05702758,2129,TRUE,FALSE,FALSE,TRUE
"Boston - Henry L Higginson",350137,"1999","43",-1,,"160 HARRISHOF STREET, Roxbury, MA 2119",42.317677,-71.0915746,2119,TRUE,FALSE,FALSE,TRUE
"Boston - Horace Mann",350750,"1999","12",-1,,"40 Armington  Street, Allston, MA 02134",42.3519992,-71.1377044,2134,TRUE,FALSE,FALSE,TRUE
"Boston - Jackson Mann",350013,"1999","4",-1,,"40 Armington Street, Allston, MA 02134",42.351989,-71.137687,2134,TRUE,FALSE,FALSE,TRUE
"Boston - James Condon Elem",350146,"1999","74",-1,,"200 D Street, South Boston, MA 02127",42.33834839,-71.05284882,2127,TRUE,FALSE,FALSE,TRUE
"Boston - John Marshall",350178,"1999","2",-1,,"35 Westville Street, Boston, MA 02124",42.2996393,-71.0708375,2124,TRUE,FALSE,FALSE,TRUE
"Boston - John Winthrop",350180,"1999","25",-1,,"35 Brookford Street, Dorchester, MA 02125",42.31838509,-71.07556365,2125,TRUE,FALSE,FALSE,TRUE
"Boston - Joseph Lee",350183,"1999","34",-1,,"155 Talbot Avenue, Dorchester, MA 02124",42.29253732,-71.0800463,2124,TRUE,FALSE,FALSE,TRUE
